epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
41,41.734876,1,2.51370191e-03,4.31677269e-04,1.87423782e-02,8.79033256e-01,1.94421714e+00,5.00000000e-04,948353
42,43.822740,1,2.90097938e-03,5.08704550e-04,2.04985633e-02,8.78267527e-01,1.92404988e+00,5.00000000e-04,948353
43,42.079794,1,2.26768757e-03,3.84682230e-04,1.76435466e-02,8.84696441e-01,1.95748861e+00,5.00000000e-04,948353
44,38.759249,1,2.45110639e-03,4.21756660e-04,1.85206176e-02,9.42504859e-01,2.21672567e+00,5.00000000e-04,948353
45,34.162690,1,2.21811288e-03,3.75963573e-04,1.74446552e-02,9.48894458e-01,2.23606576e+00,5.00000000e-04,948353
46,34.833467,1,2.32478998e-03,3.97331617e-04,1.79355569e-02,9.10003967e-01,2.06429898e+00,5.00000000e-04,948353
47,39.381495,1,2.27332549e-03,3.87409483e-04,1.77554449e-02,9.13934097e-01,2.07998928e+00,5.00000000e-04,948353
48,43.522493,1,2.40727028e-03,4.14867148e-04,1.83473459e-02,9.16061087e-01,2.09952937e+00,5.00000000e-04,948353
49,43.688260,1,2.41799757e-03,4.17240579e-04,1.84343353e-02,9.45034938e-01,2.23185619e+00,5.00000000e-04,948353
50,53.826206,5,1.45346088e-01,2.88821130e-02,1.32293728e-01,6.47157555e-01,1.05444640e+00,5.00000000e-04,948353
51,59.587021,5,6.26019715e-02,1.23809934e-02,8.81360327e-02,7.49833710e-01,1.41660902e+00,5.00000000e-04,948353
52,59.006292,5,4.66579348e-02,9.20139428e-03,7.58529229e-02,7.50801828e-01,1.42375293e+00,5.00000000e-04,948353
53,58.409934,5,4.28941966e-02,8.45223934e-03,7.27265242e-02,6.11148021e-01,9.51494038e-01,5.00000000e-04,948353
54,54.218888,5,3.66193392e-02,7.20200679e-03,6.69557086e-02,6.74028337e-01,1.14740671e+00,5.00000000e-04,948353
55,51.876763,5,3.12115069e-02,6.12572715e-03,6.17178836e-02,6.84203916e-01,1.19081974e+00,5.00000000e-04,948353
56,53.219037,5,2.71850935e-02,5.32173307e-03,5.73995910e-02,6.80679584e-01,1.17252354e+00,5.00000000e-04,948353
57,52.627867,5,2.67473010e-02,5.23760818e-03,5.69923031e-02,6.39371011e-01,1.03426727e+00,5.00000000e-04,948353
58,50.374498,5,2.49908534e-02,4.88741121e-03,5.50330849e-02,6.56737580e-01,1.09847018e+00,5.00000000e-04,948353
59,48.560891,5,2.41377811e-02,4.71827258e-03,5.40463495e-02,6.04296267e-01,9.33993533e-01,5.00000000e-04,948353
60,47.958419,5,2.35529702e-02,4.60338122e-03,5.34174160e-02,5.98255348e-01,9.11870229e-01,5.00000000e-04,948353
61,46.528682,5,2.47475961e-02,4.84053236e-03,5.47903841e-02,6.04911857e-01,9.37334073e-01,5.00000000e-04,948353
62,47.169297,5,2.28299312e-02,4.45909650e-03,5.25300665e-02,6.64535577e-01,1.11583677e+00,5.00000000e-04,948353
63,47.688983,5,2.30376401e-02,4.50066340e-03,5.29253657e-02,6.45661843e-01,1.05744371e+00,5.00000000e-04,948353
64,46.858762,5,2.14558783e-02,4.18643018e-03,5.09433608e-02,6.77667646e-01,1.16010676e+00,5.00000000e-04,948353
65,47.499445,5,2.05307942e-02,4.00272950e-03,4.98346082e-02,6.23484211e-01,9.90475836e-01,5.00000000e-04,948353
66,48.055193,5,2.00361467e-02,3.90504082e-03,4.92363476e-02,6.67420521e-01,1.12586614e+00,5.00000000e-04,948353
67,35.973411,5,2.10061913e-02,4.09977935e-03,5.04337846e-02,6.64412992e-01,1.11862406e+00,5.00000000e-04,948353
68,29.093242,5,2.03017031e-02,3.96015799e-03,4.94119162e-02,6.24522197e-01,9.93202510e-01,5.00000000e-04,948353
69,32.231323,5,1.93405520e-02,3.76715541e-03,4.82519347e-02,6.25051324e-01,9.94720578e-01,5.00000000e-04,948353
70,31.980241,5,1.92784807e-02,3.75432931e-03,4.82212653e-02,6.29020336e-01,1.00507604e+00,5.00000000e-04,948353
71,30.461325,5,1.90326539e-02,3.70719056e-03,4.78957448e-02,6.41931326e-01,1.04664715e+00,5.00000000e-04,948353
72,34.175430,5,1.93149042e-02,3.76226970e-03,4.83253156e-02,6.33682065e-01,1.01874406e+00,5.00000000e-04,948353
73,35.854062,5,1.79086630e-02,3.48284295e-03,4.63271145e-02,6.15775442e-01,9.66110078e-01,5.00000000e-04,948353
74,32.075397,5,1.71075221e-02,3.32425718e-03,4.53922226e-02,6.42405424e-01,1.05311060e+00,5.00000000e-04,948353
