metric,value
low_band_spectral_rel_l2,7.37864316e-01
mid_band_spectral_rel_l2,1.00023293e+00
high_band_spectral_rel_l2,9.99999821e-01
high_frequency_energy_ratio_error,1.08106487e-05
gradient_rel_l2,9.06251788e-01
