epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
46,21.623780,5,0,5.12282725e-02,5.03878191e-02,7.29700027e-01,7.27933285e-01,5.00000000e-04,745342
47,21.932149,5,0,5.08757684e-02,5.00339995e-02,7.31194952e-01,7.30187962e-01,5.00000000e-04,745342
48,20.662030,5,0,5.04700687e-02,4.96131173e-02,7.20760322e-01,7.21347046e-01,5.00000000e-04,745342
49,22.348499,5,0,4.98515106e-02,4.89835690e-02,7.33293200e-01,7.31822674e-01,5.00000000e-04,745342
50,21.768480,5,0,4.84015966e-02,4.75492505e-02,6.96027956e-01,6.94299431e-01,5.00000000e-04,745342
51,22.310628,5,0,4.74003397e-02,4.65384713e-02,6.93517747e-01,6.94664950e-01,5.00000000e-04,745342
52,20.944901,5,0,4.68794278e-02,4.60167131e-02,7.14200559e-01,7.15004594e-01,5.00000000e-04,745342
53,22.506558,5,0,4.62572642e-02,4.53866910e-02,7.20000622e-01,7.19886918e-01,5.00000000e-04,745342
54,20.195633,5,0,4.66084674e-02,4.57300927e-02,7.26856706e-01,7.28219581e-01,5.00000000e-04,745342
55,20.870535,5,0,4.57829864e-02,4.48984018e-02,6.96883137e-01,6.97466013e-01,5.00000000e-04,745342
56,20.735438,5,0,4.46124689e-02,4.37348051e-02,7.26438208e-01,7.29384463e-01,5.00000000e-04,745342
57,21.022413,5,0,4.45567852e-02,4.36727974e-02,6.71719759e-01,6.73461645e-01,5.00000000e-04,745342
58,20.384764,5,0,4.35720274e-02,4.26975793e-02,7.10196683e-01,7.11984968e-01,5.00000000e-04,745342
59,20.361227,5,0,4.32351800e-02,4.23510936e-02,6.85744236e-01,6.88279870e-01,5.00000000e-04,745342
60,21.030763,5,0,4.23666736e-02,4.14698096e-02,7.06944251e-01,7.10393801e-01,5.00000000e-04,745342
61,20.285605,5,0,4.23996477e-02,4.14991770e-02,6.94360874e-01,6.97157624e-01,5.00000000e-04,745342
62,20.689445,5,0,4.18525313e-02,4.09541407e-02,6.84902773e-01,6.88860478e-01,5.00000000e-04,745342
63,20.552578,5,0,4.12599801e-02,4.03618083e-02,6.85458570e-01,6.88403387e-01,5.00000000e-04,745342
64,20.898778,5,0,4.10592942e-02,4.01497151e-02,6.75281622e-01,6.79766750e-01,5.00000000e-04,745342
65,20.864517,5,0,4.08811327e-02,3.99656388e-02,6.82007401e-01,6.87002251e-01,5.00000000e-04,745342
66,21.206315,5,0,3.99308680e-02,3.90254832e-02,6.85036469e-01,6.88843682e-01,5.00000000e-04,745342
67,20.729773,5,0,3.95834241e-02,3.86689496e-02,6.68878357e-01,6.73028781e-01,5.00000000e-04,745342
68,21.231792,5,0,3.87595687e-02,3.78482361e-02,6.64240751e-01,6.67924044e-01,5.00000000e-04,745342
69,21.282347,5,0,3.82720835e-02,3.73602049e-02,6.65046246e-01,6.69131393e-01,5.00000000e-04,745342
70,21.257531,5,0,3.85319238e-02,3.76076938e-02,7.03617628e-01,7.07854214e-01,5.00000000e-04,745342
71,20.472348,5,0,3.79692996e-02,3.70444375e-02,6.78178499e-01,6.82604880e-01,5.00000000e-04,745342
72,21.635479,5,0,3.75275983e-02,3.66008359e-02,6.78687212e-01,6.82555335e-01,5.00000000e-04,745342
73,20.718102,5,0,3.70296204e-02,3.61057520e-02,6.50187142e-01,6.55159791e-01,5.00000000e-04,745342
74,23.601920,5,0,3.72169389e-02,3.62873001e-02,6.67573586e-01,6.68002462e-01,5.00000000e-04,745342
75,20.711002,5,0,3.78705151e-02,3.69262422e-02,6.76599879e-01,6.82610960e-01,5.00000000e-04,745342
76,21.633675,5,0,3.68857690e-02,3.59547904e-02,6.59820933e-01,6.65881202e-01,5.00000000e-04,745342
77,20.751957,5,0,3.60607341e-02,3.51211242e-02,6.74936471e-01,6.80293899e-01,5.00000000e-04,745342
78,20.672890,5,0,3.54701948e-02,3.45359207e-02,7.06332736e-01,7.10835879e-01,5.00000000e-04,745342
79,21.166968,5,0,3.55032336e-02,3.45624788e-02,6.69739130e-01,6.75542259e-01,5.00000000e-04,745342
80,36.070726,10,0,1.59774798e-01,1.56686413e-01,5.17849650e-01,5.19636757e-01,5.00000000e-04,745342
81,35.982414,10,0,1.35296116e-01,1.32455603e-01,5.01483335e-01,5.04261861e-01,5.00000000e-04,745342
82,36.456808,10,0,1.25808771e-01,1.23031180e-01,5.34677207e-01,5.40979984e-01,5.00000000e-04,745342
83,35.659622,10,0,1.25997713e-01,1.23258962e-01,5.08646779e-01,5.12108815e-01,5.00000000e-04,745342
