epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,213.585384,6.70127864e-01,6.86188575e-01,5.54110628e-01,5.82545421e-01,1.73236477e+01,6.83106918e-02,1.19021827e+01,1.35437232e-02,1135553,5.00000000e-04
1,209.774009,4.87804129e-01,5.10409565e-01,4.37898607e-01,4.58212743e-01,9.29267626e+00,3.34982969e-02,7.54027464e+00,3.48971087e-02,1135553,5.00000000e-04
2,211.124491,4.24957503e-01,4.49570000e-01,4.03744423e-01,4.28412781e-01,7.24368061e+00,2.70186796e-02,6.57163904e+00,1.71081172e-02,1135553,5.00000000e-04
3,208.144083,3.25774450e-01,3.36727556e-01,2.76771181e-01,2.84418339e-01,4.08720011e+00,1.91235831e-02,2.88334293e+00,1.81017310e-02,1135553,5.00000000e-04
4,215.901971,2.48805722e-01,2.58916463e-01,2.24020130e-01,2.33609787e-01,2.39857275e+00,1.42983806e-02,1.94812241e+00,1.13956271e-02,1135553,5.00000000e-04
5,211.149155,2.29385874e-01,2.41987905e-01,2.10405766e-01,2.20017750e-01,2.10165962e+00,9.71671400e-03,1.71876545e+00,8.49368915e-03,1135553,5.00000000e-04
6,213.257994,2.07002007e-01,2.16727426e-01,2.03143796e-01,2.13642756e-01,1.66888139e+00,8.02113887e-03,1.62051314e+00,6.75955018e-03,1135553,5.00000000e-04
7,211.132215,1.94996601e-01,2.03727403e-01,1.90086490e-01,1.97334089e-01,1.47064392e+00,6.23655050e-03,1.37887912e+00,5.77588294e-03,1135553,5.00000000e-04
8,215.567208,1.86771931e-01,1.94885520e-01,1.83509207e-01,1.93081874e-01,1.34662392e+00,4.41840975e-03,1.32413954e+00,3.37210055e-03,1135553,5.00000000e-04
9,212.309917,1.83418612e-01,1.91399883e-01,1.75679917e-01,1.82909303e-01,1.30090680e+00,3.29735877e-03,1.18478948e+00,2.55493375e-03,1135553,5.00000000e-04
10,212.094417,1.73411230e-01,1.80550751e-01,1.87086080e-01,1.98683648e-01,1.15450922e+00,2.61722536e-03,1.40447861e+00,2.29266797e-03,1135553,5.00000000e-04
11,211.053984,1.70003100e-01,1.77259970e-01,1.64976017e-01,1.71100873e-01,1.11516023e+00,2.46175197e-03,1.03721602e+00,2.24886550e-03,1135553,5.00000000e-04
12,211.590379,1.64956611e-01,1.71755965e-01,1.61628911e-01,1.67623140e-01,1.04691149e+00,2.43338861e-03,9.95569786e-01,2.56449800e-03,1135553,5.00000000e-04
13,212.563693,1.64655600e-01,1.71568963e-01,1.52275377e-01,1.57691091e-01,1.04405248e+00,2.45358163e-03,8.78234303e-01,2.49458276e-03,1135553,5.00000000e-04
14,214.746045,1.63159595e-01,1.70500122e-01,1.49717416e-01,1.54764470e-01,1.03251078e+00,2.45237866e-03,8.47733364e-01,2.38769116e-03,1135553,5.00000000e-04
15,212.309932,1.59143610e-01,1.66101792e-01,1.52891415e-01,1.59253433e-01,9.77901214e-01,2.44983799e-03,8.96834293e-01,2.52367244e-03,1135553,5.00000000e-04
16,211.870535,1.54812508e-01,1.61110787e-01,1.73900367e-01,1.85459569e-01,9.19798189e-01,2.47953425e-03,1.21923571e+00,2.48301899e-03,1135553,5.00000000e-04
17,212.017880,1.54789456e-01,1.61310642e-01,1.45567575e-01,1.50940197e-01,9.22514750e-01,2.53660725e-03,8.04440260e-01,2.50322307e-03,1135553,5.00000000e-04
