metric,value
low_spectral_rel_l2,4.69554833e-03
mid_spectral_rel_l2,9.55275476e-01
high_spectral_rel_l2,1.93928822e+00
gradient_rel_l2,4.33693373e-01
band_config_json,"{""high"": [0.66, 1.01], ""low"": [0.0, 0.33], ""mid"": [0.33, 0.66]}"
