step,mse
0,1.31891510e-02
1,6.06018603e-02
2,1.55089960e-01
3,2.95307875e-01
4,4.67220694e-01
5,6.80303514e-01
6,9.73692775e-01
7,1.39584363e+00
8,1.97822964e+00
9,2.74119353e+00
10,3.68273807e+00
11,4.80406141e+00
12,6.02261972e+00
13,7.29880571e+00
14,8.65464115e+00
15,1.00424862e+01
16,1.15075655e+01
17,1.30224009e+01
18,1.44722433e+01
19,1.56711941e+01
20,1.66306610e+01
21,1.76186752e+01
22,1.90033607e+01
23,2.13796158e+01
24,2.51081200e+01
25,3.08253441e+01
26,4.03806229e+01
27,5.77589417e+01
28,9.44347534e+01
29,2.99211456e+02
30,8.26466312e+05
31,4.74275245e+13
32,1.57256844e+29
33,inf
34,nan
35,nan
36,nan
37,nan
38,nan
39,nan
