step,mse,rel_l2,samples
0,0.03575001657009125,0.17684833705425262,200
1,0.04955277964472771,0.1924826055765152,200
2,0.06300899386405945,0.20287150144577026,200
3,0.07923467457294464,0.21526984870433807,200
4,0.09731099754571915,0.2272944450378418,200
5,0.11633627861738205,0.23878280818462372,200
6,0.13797928392887115,0.25133708119392395,200
7,0.1647399663925171,0.2663643956184387,200
8,0.1947770118713379,0.2819772958755493,200
9,0.22101710736751556,0.29268255829811096,200
10,0.23987197875976562,0.2973712980747223,200
11,0.2569863796234131,0.3004591464996338,200
12,0.26582881808280945,0.29858559370040894,200
13,0.27746808528900146,0.2985050678253174,200
14,0.2922569215297699,0.3006056249141693,200
15,0.3032054007053375,0.30140620470046997,200
16,0.32983195781707764,0.31097376346588135,200
17,0.3747652769088745,0.327659010887146,200
18,0.42396414279937744,0.3461852967739105,200
19,0.5156803727149963,0.3803235590457916,200
20,0.6135727167129517,0.4156481623649597,200
21,0.6838337779045105,0.44142255187034607,200
22,0.7348272204399109,0.46102669835090637,200
23,0.7816985249519348,0.4785957336425781,200
24,0.8162714242935181,0.4897642135620117,200
25,0.8460819721221924,0.4972495138645172,200
26,0.8965396285057068,0.5097444653511047,200
27,0.956882655620575,0.5225925445556641,200
28,1.0129355192184448,0.5331929922103882,200
29,1.064531683921814,0.5411795973777771,200
30,1.1068739891052246,0.5475689172744751,200
31,1.1506309509277344,0.5558406114578247,200
32,1.203096628189087,0.5660433769226074,200
33,1.2613835334777832,0.5779696106910706,200
34,1.3244569301605225,0.5913105607032776,200
35,1.410893201828003,0.6079537868499756,200
36,1.511926531791687,0.6265336871147156,200
37,1.6274207830429077,0.6467340588569641,200
38,1.7510467767715454,0.6673015356063843,200
39,1.876163125038147,0.687825083732605,200
