epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
0,16.835246,1,0,7.64536147e-02,1.84767857e-02,1.53737254e+00,1.53755086e+00,5.00000000e-04,745342
1,14.987903,1,0,1.69538964e-02,1.20130139e-02,1.12785566e+00,1.13303263e+00,5.00000000e-04,745342
2,14.970941,1,0,1.23032429e-02,9.87511908e-03,1.05224319e+00,1.04411662e+00,5.00000000e-04,745342
3,13.927674,1,0,1.12010687e-02,9.01690068e-03,9.95579476e-01,9.94837728e-01,5.00000000e-04,745342
4,14.390966,1,0,1.05376026e-02,8.54743738e-03,1.00104926e+00,1.00119423e+00,5.00000000e-04,745342
5,14.382730,1,0,1.00227295e-02,8.22813480e-03,1.09149490e+00,1.09121926e+00,5.00000000e-04,745342
6,13.649871,1,0,9.62107089e-03,8.02659587e-03,1.04633784e+00,1.04795523e+00,5.00000000e-04,745342
7,14.750981,1,0,9.30756751e-03,7.90255205e-03,1.06435543e+00,1.06347980e+00,5.00000000e-04,745342
8,13.649234,1,0,8.98854629e-03,7.74648408e-03,1.14391711e+00,1.13988893e+00,5.00000000e-04,745342
9,14.096785,1,0,8.79415894e-03,7.67678758e-03,1.12795533e+00,1.12469330e+00,5.00000000e-04,745342
10,14.576139,1,0,8.60202553e-03,7.57111987e-03,1.10849059e+00,1.10522775e+00,5.00000000e-04,745342
11,14.367653,1,0,8.52723574e-03,7.55552239e-03,1.30836309e+00,1.30277187e+00,5.00000000e-04,745342
12,14.337815,1,0,8.39993303e-03,7.47334857e-03,1.19458102e+00,1.19063318e+00,5.00000000e-04,745342
13,14.165012,1,0,8.32604286e-03,7.43445310e-03,1.25028934e+00,1.24501433e+00,5.00000000e-04,745342
14,14.586418,1,0,8.23403110e-03,7.37342236e-03,1.10187972e+00,1.09675682e+00,5.00000000e-04,745342
15,14.982885,1,0,8.19867262e-03,7.36562888e-03,1.18267092e+00,1.17731350e+00,5.00000000e-04,745342
16,14.682567,1,0,8.11782302e-03,7.31264270e-03,1.07726312e+00,1.07686802e+00,5.00000000e-04,745342
17,14.589036,1,0,7.99382177e-03,7.21630939e-03,1.17909073e+00,1.17464502e+00,5.00000000e-04,745342
18,14.657005,1,0,7.87981268e-03,7.12849987e-03,1.13396238e+00,1.12983304e+00,5.00000000e-04,745342
19,13.940135,1,0,7.83502845e-03,7.10501355e-03,1.05198755e+00,1.04833286e+00,5.00000000e-04,745342
20,14.657359,1,0,7.76490503e-03,7.05672263e-03,1.05943962e+00,1.05659087e+00,5.00000000e-04,745342
21,13.715675,1,0,7.72802185e-03,7.04312338e-03,1.29082889e+00,1.28631534e+00,5.00000000e-04,745342
22,14.118515,1,0,7.57270771e-03,6.91127330e-03,1.21267297e+00,1.20700275e+00,5.00000000e-04,745342
23,14.251914,1,0,7.47176493e-03,6.83065763e-03,1.13721889e+00,1.13594038e+00,5.00000000e-04,745342
24,13.833914,1,0,7.37217163e-03,6.74803722e-03,1.15308883e+00,1.14699272e+00,5.00000000e-04,745342
25,13.869911,1,0,7.26207935e-03,6.65888549e-03,1.15182899e+00,1.14690024e+00,5.00000000e-04,745342
26,13.818961,1,0,7.11113421e-03,6.52342740e-03,1.17264153e+00,1.16907075e+00,5.00000000e-04,745342
27,13.818529,1,0,7.01901566e-03,6.44844007e-03,1.36718170e+00,1.36308864e+00,5.00000000e-04,745342
28,13.968091,1,0,6.87118033e-03,6.31327186e-03,1.20986450e+00,1.20650905e+00,5.00000000e-04,745342
29,13.687889,1,0,6.74603222e-03,6.19750309e-03,1.16740624e+00,1.16010122e+00,5.00000000e-04,745342
30,14.941368,1,0,6.60869128e-03,6.06677062e-03,1.23437522e+00,1.22722562e+00,5.00000000e-04,745342
31,14.680727,1,0,6.45136543e-03,5.91389379e-03,1.25024553e+00,1.24567645e+00,5.00000000e-04,745342
32,14.180455,1,0,6.35565021e-03,5.81933245e-03,1.21935926e+00,1.21011687e+00,5.00000000e-04,745342
33,13.835210,1,0,6.23785786e-03,5.70100319e-03,1.16776331e+00,1.15840584e+00,5.00000000e-04,745342
34,13.677481,1,0,6.13280365e-03,5.59438693e-03,1.21343863e+00,1.21022135e+00,5.00000000e-04,745342
35,13.662834,1,0,6.05179159e-03,5.51066442e-03,1.23368199e+00,1.22392605e+00,5.00000000e-04,745342
36,13.817553,1,0,5.96052637e-03,5.41554745e-03,1.24896682e+00,1.24198071e+00,5.00000000e-04,745342
37,13.844059,1,0,5.89229780e-03,5.34189689e-03,1.21491141e+00,1.20280465e+00,5.00000000e-04,745342
38,13.764906,1,0,5.82685422e-03,5.27239817e-03,1.26762541e+00,1.25673268e+00,5.00000000e-04,745342
39,14.044054,1,0,5.73844649e-03,5.17955048e-03,1.22817990e+00,1.21458883e+00,5.00000000e-04,745342
40,23.881139,5,0,1.06508753e-01,1.05110687e-01,1.03471673e+00,1.03272630e+00,5.00000000e-04,745342
41,23.405188,5,0,6.30868980e-02,6.22013129e-02,1.02218529e+00,1.01609955e+00,5.00000000e-04,745342
42,23.741106,5,0,5.84942466e-02,5.76467835e-02,1.04160939e+00,1.03375905e+00,5.00000000e-04,745342
43,24.291394,5,0,5.58043502e-02,5.49494172e-02,1.01033662e+00,1.01051455e+00,5.00000000e-04,745342
44,24.201940,5,0,5.42825351e-02,5.34382419e-02,9.97314644e-01,9.91697307e-01,5.00000000e-04,745342
45,23.788096,5,0,5.17541195e-02,5.09273965e-02,1.02686381e+00,1.01901728e+00,5.00000000e-04,745342
46,24.231154,5,0,5.12261570e-02,5.03853542e-02,1.00009583e+00,9.94547582e-01,5.00000000e-04,745342
47,23.995507,5,0,5.08882262e-02,5.00463858e-02,1.00664191e+00,1.00496765e+00,5.00000000e-04,745342
48,24.212516,5,0,5.04278731e-02,4.95713614e-02,1.00136956e+00,1.00048649e+00,5.00000000e-04,745342
49,24.677162,5,0,4.98343207e-02,4.89666086e-02,1.01126902e+00,1.00846213e+00,5.00000000e-04,745342
50,24.481350,5,0,4.83995094e-02,4.75471069e-02,1.02259363e+00,1.01238982e+00,5.00000000e-04,745342
51,24.162317,5,0,4.74036508e-02,4.65414899e-02,9.91675038e-01,9.88309045e-01,5.00000000e-04,745342
52,24.237813,5,0,4.68710961e-02,4.60084609e-02,1.01134854e+00,1.00593935e+00,5.00000000e-04,745342
53,36.475900,5,0,4.62524351e-02,4.53819792e-02,1.01682012e+00,1.00936630e+00,5.00000000e-04,745342
54,38.137726,5,0,4.66019124e-02,4.57236618e-02,1.00946202e+00,1.00950905e+00,5.00000000e-04,745342
55,25.871082,5,0,4.57932081e-02,4.49083607e-02,9.97767220e-01,9.94090710e-01,5.00000000e-04,745342
56,25.903475,5,0,4.46020949e-02,4.37243768e-02,1.01269782e+00,1.01442347e+00,5.00000000e-04,745342
57,25.530110,5,0,4.45580381e-02,4.36739310e-02,9.79710031e-01,9.78163280e-01,5.00000000e-04,745342
58,25.776422,5,0,4.35735572e-02,4.26991177e-02,9.98800716e-01,9.97004914e-01,5.00000000e-04,745342
59,27.219715,5,0,4.32274402e-02,4.23434051e-02,1.00436310e+00,1.00588352e+00,5.00000000e-04,745342
60,32.806640,5,0,4.23528411e-02,4.14560121e-02,9.78896670e-01,9.78674560e-01,5.00000000e-04,745342
