step,mse
0,1.36043010e-02
1,3.62440124e-02
2,6.28892779e-02
3,9.06453207e-02
4,1.19160853e-01
5,1.55006349e-01
6,2.05719694e-01
7,2.61619687e-01
8,3.08828473e-01
9,3.50474656e-01
10,3.75675797e-01
11,3.98934960e-01
12,4.23144877e-01
13,4.42509919e-01
14,4.60628062e-01
15,4.85612601e-01
16,5.21068275e-01
17,5.66689670e-01
18,6.37255788e-01
19,7.35021114e-01
20,8.50480258e-01
21,9.19979990e-01
22,9.52916205e-01
23,9.71461177e-01
24,9.89305973e-01
25,1.02663815e+00
26,1.07763767e+00
27,1.14355457e+00
28,1.19677091e+00
29,1.23700678e+00
30,1.28184843e+00
31,1.32875156e+00
32,1.39014697e+00
33,1.45840693e+00
34,1.52663946e+00
35,1.60672009e+00
36,1.69648349e+00
37,1.80399263e+00
38,1.92896795e+00
39,2.05468845e+00
