step,mse,rel_l2,samples
0,7.281718717422336e-05,0.01100988406687975,200
1,0.00012164455256424844,0.013543330132961273,200
2,0.0001440777414245531,0.014079119078814983,200
3,0.00013488666445482522,0.013075402937829494,200
4,0.00012115838762838393,0.011954158544540405,200
5,0.00010828804806806147,0.011017334647476673,200
6,0.00010061965440399945,0.010484430007636547,200
7,9.700137161416933e-05,0.010202161967754364,200
8,9.585623774910346e-05,0.010043320246040821,200
9,9.595556912245229e-05,0.009954077191650867,200
10,9.923292964231223e-05,0.01002754457294941,200
11,0.00010622625995893031,0.010302786715328693,200
12,0.00011377632472431287,0.010625145398080349,200
13,0.000123058125609532,0.011024940758943558,200
14,0.0001366563665214926,0.01159626618027687,200
15,0.00015310748131014407,0.012266256846487522,200
16,0.0001686992181930691,0.012878539972007275,200
17,0.0001847964886110276,0.013503586873412132,200
18,0.00019628323207143694,0.013954082503914833,200
19,0.000210860394872725,0.014508839696645737,200
20,0.00022438688029069453,0.015021106228232384,200
21,0.00023702347243670374,0.015511634759604931,200
22,0.0002485712175257504,0.01595635712146759,200
23,0.00026316125877201557,0.016488611698150635,200
24,0.00027387047884985805,0.016893303021788597,200
25,0.00028816802660003304,0.017428291961550713,200
26,0.00029916816856712103,0.01783685013651848,200
27,0.0003096353029832244,0.018207641318440437,200
28,0.00031880036112852395,0.01854860968887806,200
29,0.0003232571471016854,0.018742453306913376,200
30,0.00033347480348311365,0.01904238387942314,200
31,0.00033979862928390503,0.01921655610203743,200
32,0.00035038412897847593,0.01958342082798481,200
33,0.00035278749419376254,0.019765904173254967,200
34,0.0003628028789535165,0.020151911303400993,200
35,0.00038053852040320635,0.020735036581754684,200
36,0.0004084222891833633,0.021589135751128197,200
37,0.0004527124692685902,0.022785615175962448,200
38,0.0005204102490097284,0.024402756243944168,200
39,0.0006059242296032608,0.02631378173828125,200
