metric,value
low_band_spectral_rel_l2,4.54800576e-02
mid_band_spectral_rel_l2,3.33368011e+02
high_band_spectral_rel_l2,5.29527148e+03
high_frequency_energy_ratio_error,1.35991883e-07
gradient_rel_l2,1.14728563e-01
