step,mse
0,1.54818554e-04
1,4.84373304e-04
2,8.48946278e-04
3,1.14328112e-03
4,1.29063602e-03
5,1.28627627e-03
6,1.20000832e-03
7,1.12083857e-03
8,1.09543186e-03
9,1.11148541e-03
10,1.13672006e-03
11,1.16569793e-03
12,1.20189204e-03
13,1.23884389e-03
14,1.28737127e-03
15,1.34261267e-03
16,1.41878438e-03
17,1.51066738e-03
18,1.60139089e-03
19,1.69263710e-03
20,1.75602408e-03
21,1.82765792e-03
22,1.91252877e-03
23,1.99028454e-03
24,2.08950136e-03
25,2.16612872e-03
26,2.18035583e-03
27,2.20772228e-03
28,2.18990515e-03
29,2.15805066e-03
30,2.15236377e-03
31,2.18747626e-03
32,2.23137601e-03
33,2.29222258e-03
34,2.40574172e-03
35,2.53478857e-03
36,2.65483349e-03
37,2.77989754e-03
38,2.93587148e-03
39,3.08182859e-03
