metric,value
low_band_spectral_rel_l2,6.08338773e-01
mid_band_spectral_rel_l2,1.10119569e+00
high_band_spectral_rel_l2,1.39991474e+00
high_frequency_energy_ratio_error,3.28639908e-06
gradient_rel_l2,9.24477458e-01
