epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
41,0.206854,1,2.37996989e-04,4.66178342e-05,1.52874378e-02,1.65267432e-02,7.66129163e-05,1.00000000e-03,444025
42,0.206881,1,2.35941381e-04,4.61719004e-05,1.54316479e-02,1.59537673e-02,7.96928689e-05,1.00000000e-03,444025
43,0.205291,1,2.37669413e-04,4.65856532e-05,1.53474143e-02,1.82361257e-02,8.64901644e-05,1.00000000e-03,444025
44,0.205590,1,2.35404531e-04,4.61646847e-05,1.53940319e-02,1.62869209e-02,8.50124804e-05,1.00000000e-03,444025
45,0.196128,1,2.10778447e-04,4.12714676e-05,1.46463002e-02,1.56207013e-02,7.86334832e-05,1.00000000e-03,444025
46,0.181853,1,2.02672985e-04,3.97310121e-05,1.44250066e-02,1.71518350e-02,8.33087014e-05,1.00000000e-03,444025
47,0.223115,1,2.40561713e-04,4.72870585e-05,1.56793396e-02,1.76807374e-02,9.67919975e-05,1.00000000e-03,444025
48,0.222413,1,3.08396581e-04,6.07200716e-05,1.74898350e-02,1.82281238e-02,8.19397741e-05,1.00000000e-03,444025
49,0.227469,1,2.41626210e-04,4.74580637e-05,1.57304869e-02,1.68483615e-02,7.80196654e-05,1.00000000e-03,444025
50,0.226828,1,2.70479127e-04,5.32677522e-05,1.63879540e-02,2.02701926e-02,1.12913597e-04,1.00000000e-03,444025
51,0.230991,1,4.30087343e-04,8.50428822e-05,2.01227478e-02,2.14129245e-02,1.52215964e-04,1.00000000e-03,444025
52,0.227510,1,4.41551074e-04,8.75806972e-05,2.00280702e-02,1.87179887e-02,9.75362310e-05,1.00000000e-03,444025
53,0.228748,1,3.24622921e-04,6.42674280e-05,1.75878205e-02,1.58063090e-02,6.78667838e-05,1.00000000e-03,444025
54,0.227091,1,2.74772207e-04,5.43029740e-05,1.63346678e-02,1.70704699e-02,8.62278690e-05,1.00000000e-03,444025
55,0.228222,1,2.59758184e-04,5.12592415e-05,1.58695411e-02,1.66509229e-02,8.56520123e-05,1.00000000e-03,444025
56,0.215873,1,2.24045654e-04,4.41206142e-05,1.50187783e-02,1.61764956e-02,8.84551392e-05,1.00000000e-03,444025
57,0.221135,1,2.61052566e-04,5.14936064e-05,1.64597124e-02,2.02563757e-02,9.32432784e-05,1.00000000e-03,444025
58,0.223820,1,2.66839111e-04,5.26681239e-05,1.70522922e-02,1.65236151e-02,7.82345870e-05,1.00000000e-03,444025
59,0.221965,1,2.06941824e-04,4.07217617e-05,1.49064706e-02,1.79990768e-02,8.72271793e-05,1.00000000e-03,444025
60,0.220012,1,2.21843667e-04,4.37144084e-05,1.52779612e-02,1.67561942e-02,7.81379009e-05,1.00000000e-03,444025
61,0.224855,1,2.82310058e-04,5.58329217e-05,1.69078123e-02,1.84665900e-02,8.58222302e-05,1.00000000e-03,444025
62,0.215071,1,2.54487703e-04,5.00462937e-05,1.60622314e-02,1.61323392e-02,7.15642283e-05,1.00000000e-03,444025
63,0.209705,1,2.11156908e-04,4.14685266e-05,1.45181909e-02,1.61969358e-02,7.92881615e-05,1.00000000e-03,444025
64,0.200723,1,2.28491590e-04,4.50293969e-05,1.55719900e-02,1.46127635e-02,7.32026955e-05,1.00000000e-03,444025
65,0.206636,1,2.33904333e-04,4.62100043e-05,1.53825156e-02,1.46945554e-02,6.46398010e-05,1.00000000e-03,444025
66,0.217968,1,2.14110725e-04,4.21947297e-05,1.46897526e-02,1.47976035e-02,7.20459854e-05,1.00000000e-03,444025
