metric,value
low_band_spectral_rel_l2,3.40065926e-01
mid_band_spectral_rel_l2,9.71550903e+02
high_band_spectral_rel_l2,1.28601572e+04
high_frequency_energy_ratio_error,9.26672044e-07
gradient_rel_l2,5.19470155e-01
