step,condition_gate,matrix_spectral_mean,matrix_spectral_max,latent_rms,unet_highpass_rms
0.0,1.0,0.9291443824768066,0.9633862376213074,0.407296359539032,0.022117536514997482
1.0,1.0,0.9292652010917664,0.9633965492248535,0.4202369451522827,0.022302959114313126
2.0,1.0,0.9294655919075012,0.9634144306182861,0.44115573167800903,0.022345438599586487
3.0,1.0,0.9296534657478333,0.9634350538253784,0.4585898816585541,0.0224505253136158
4.0,1.0,0.9297863245010376,0.9634409546852112,0.4737212061882019,0.02254076674580574
5.0,1.0,0.9298992156982422,0.9634473919868469,0.48652735352516174,0.022628646343946457
6.0,1.0,0.9299368858337402,0.9634456038475037,0.4977780878543854,0.02269676886498928
7.0,1.0,0.9300037622451782,0.9634392857551575,0.50655597448349,0.022763995453715324
8.0,1.0,0.9299904704093933,0.9634320139884949,0.5143652558326721,0.02279043197631836
9.0,1.0,0.929958164691925,0.9634364247322083,0.5211668610572815,0.022799940779805183
10.0,1.0,0.9299096465110779,0.9634264707565308,0.5246076583862305,0.02290830761194229
11.0,1.0,0.9299546480178833,0.9634240865707397,0.5297300219535828,0.02292671427130699
12.0,1.0,0.9299917221069336,0.9634203910827637,0.5339342951774597,0.022935442626476288
13.0,1.0,0.9300193786621094,0.963413655757904,0.5373263955116272,0.022942721843719482
14.0,1.0,0.9300407767295837,0.9634057879447937,0.5400555729866028,0.02294781804084778
15.0,1.0,0.9300569891929626,0.9633992910385132,0.5422572493553162,0.022951088845729828
16.0,1.0,0.9300694465637207,0.9633932709693909,0.5440548658370972,0.022953364998102188
17.0,1.0,0.9300791621208191,0.9633880853652954,0.545504629611969,0.02295529469847679
18.0,1.0,0.9300867915153503,0.963384211063385,0.5466910004615784,0.022956056520342827
19.0,1.0,0.9300934076309204,0.9633813500404358,0.5476546287536621,0.022956274449825287
