metric,value
low_band_spectral_rel_l2,7.21197784e-01
mid_band_spectral_rel_l2,1.00021720e+00
high_band_spectral_rel_l2,1.00025034e+00
high_frequency_energy_ratio_error,1.08025488e-05
gradient_rel_l2,8.97916198e-01
