step,condition_gate,matrix_spectral_mean,matrix_spectral_max,latent_rms,unet_highpass_rms
0.0,1.0,0.8711612820625305,0.9198495745658875,0.4675576984882355,0.0
1.0,1.0,0.8762998580932617,0.9262121915817261,0.48098140954971313,0.0
2.0,1.0,0.8822450637817383,0.9316228032112122,0.49286413192749023,0.0
3.0,1.0,0.8884164690971375,0.9345417618751526,0.5036223530769348,0.0
4.0,1.0,0.8940805792808533,0.9347555041313171,0.5145028233528137,0.0
5.0,1.0,0.8986726999282837,0.9347503185272217,0.5254141092300415,0.0
6.0,1.0,0.9019582867622375,0.9341412782669067,0.5342777371406555,0.0
7.0,1.0,0.9039236307144165,0.9340906143188477,0.5411789417266846,0.0
8.0,1.0,0.9046406149864197,0.9353858232498169,0.5476229190826416,0.0
9.0,1.0,0.9041717648506165,0.9354627728462219,0.5533416867256165,0.0
10.0,1.0,0.9026665091514587,0.9354418516159058,0.5556749701499939,0.0
11.0,1.0,0.9003944396972656,0.9354578852653503,0.5601955056190491,0.0
12.0,1.0,0.8977140784263611,0.9346086978912354,0.5638070106506348,0.0
13.0,1.0,0.8949577212333679,0.932519257068634,0.5710521340370178,0.0
14.0,1.0,0.8923789858818054,0.9328790307044983,0.5765925049781799,0.0
15.0,1.0,0.8900346755981445,0.9335691928863525,0.5759050250053406,0.0
16.0,1.0,0.8880355954170227,0.933927595615387,0.5754685997962952,0.0
17.0,1.0,0.8862575888633728,0.9341016411781311,0.5771082639694214,0.0
18.0,1.0,0.8847128748893738,0.9341708421707153,0.5801631212234497,0.0
19.0,1.0,0.8833276629447937,0.9341813325881958,0.5859108567237854,0.0
