metric,value
low_band_spectral_rel_l2,4.57040489e-01
mid_band_spectral_rel_l2,1.13038707e+00
high_band_spectral_rel_l2,1.28383267e+00
high_frequency_energy_ratio_error,4.66099755e-06
gradient_rel_l2,8.40078950e-01
