nohup: ignoring input
epoch 0081 | 97.36s | train_full 5.766383e-02 | test_full 4.770495e-02
epoch 0082 | 98.57s | train_full 5.593796e-02 | test_full 4.691430e-02
epoch 0083 | 98.26s | train_full 5.954210e-02 | test_full 5.974229e-02
epoch 0084 | 97.84s | train_full 5.282845e-02 | test_full 5.452433e-02
epoch 0085 | 97.10s | train_full 5.745743e-02 | test_full 6.243715e-02
epoch 0086 | 94.75s | train_full 5.724699e-02 | test_full 5.734953e-02
epoch 0087 | 96.06s | train_full 5.781203e-02 | test_full 5.605372e-02
epoch 0088 | 100.09s | train_full 5.175522e-02 | test_full 4.556794e-02
epoch 0089 | 99.81s | train_full 6.037147e-02 | test_full 9.231159e-02
epoch 0090 | 101.49s | train_full 5.413539e-02 | test_full 5.799117e-02
epoch 0091 | 101.39s | train_full 5.683741e-02 | test_full 6.333641e-02
epoch 0092 | 105.29s | train_full 5.930990e-02 | test_full 6.846786e-02
epoch 0093 | 104.03s | train_full 5.443690e-02 | test_full 5.412620e-02
epoch 0094 | 103.98s | train_full 5.718131e-02 | test_full 5.948079e-02
epoch 0095 | 102.01s | train_full 5.640898e-02 | test_full 6.126339e-02
epoch 0096 | 106.11s | train_full 5.659577e-02 | test_full 4.329077e-02
epoch 0097 | 125.97s | train_full 5.492497e-02 | test_full 5.973467e-02
epoch 0098 | 114.84s | train_full 5.103425e-02 | test_full 6.513729e-02
epoch 0099 | 100.66s | train_full 5.378739e-02 | test_full 4.599045e-02
epoch 0100 | 100.97s | train_full 4.326215e-02 | test_full 4.941203e-02
epoch 0101 | 101.51s | train_full 3.905351e-02 | test_full 3.665121e-02
epoch 0102 | 100.03s | train_full 4.127521e-02 | test_full 5.063372e-02
epoch 0103 | 99.67s | train_full 4.080520e-02 | test_full 3.875329e-02
epoch 0104 | 98.54s | train_full 3.770442e-02 | test_full 3.975663e-02
epoch 0105 | 99.84s | train_full 3.736564e-02 | test_full 3.875705e-02
epoch 0106 | 100.09s | train_full 3.901925e-02 | test_full 4.404852e-02
epoch 0107 | 99.32s | train_full 4.112431e-02 | test_full 3.746411e-02
epoch 0108 | 101.45s | train_full 3.818175e-02 | test_full 3.512932e-02
epoch 0109 | 99.88s | train_full 3.835242e-02 | test_full 4.825750e-02
epoch 0110 | 102.36s | train_full 3.716951e-02 | test_full 3.428212e-02
epoch 0111 | 99.86s | train_full 3.475937e-02 | test_full 3.680583e-02
epoch 0112 | 101.94s | train_full 3.837631e-02 | test_full 3.104237e-02
epoch 0113 | 102.12s | train_full 3.617648e-02 | test_full 3.589941e-02
epoch 0114 | 103.00s | train_full 3.555123e-02 | test_full 4.394312e-02
epoch 0115 | 101.73s | train_full 3.602453e-02 | test_full 4.705883e-02
epoch 0116 | 106.29s | train_full 3.780793e-02 | test_full 4.450187e-02
epoch 0117 | 105.73s | train_full 3.521836e-02 | test_full 3.327910e-02
epoch 0118 | 102.01s | train_full 3.552935e-02 | test_full 3.451811e-02
epoch 0119 | 116.85s | train_full 3.477144e-02 | test_full 3.035961e-02
epoch 0120 | 109.07s | train_full 3.813985e-02 | test_full 3.948373e-02
epoch 0121 | 105.15s | train_full 3.572261e-02 | test_full 3.648495e-02
epoch 0122 | 106.57s | train_full 3.576210e-02 | test_full 3.226700e-02
epoch 0123 | 101.23s | train_full 3.736850e-02 | test_full 2.810264e-02
epoch 0124 | 98.91s | train_full 3.839615e-02 | test_full 3.779826e-02
epoch 0125 | 97.66s | train_full 3.637518e-02 | test_full 3.360146e-02
epoch 0126 | 99.71s | train_full 3.990033e-02 | test_full 3.360388e-02
epoch 0127 | 98.92s | train_full 3.691812e-02 | test_full 3.320651e-02
epoch 0128 | 100.55s | train_full 3.508159e-02 | test_full 3.541886e-02
epoch 0129 | 100.24s | train_full 3.742807e-02 | test_full 4.252362e-02
epoch 0130 | 99.75s | train_full 3.517747e-02 | test_full 2.871479e-02
epoch 0131 | 99.05s | train_full 3.538334e-02 | test_full 3.940984e-02
epoch 0132 | 98.95s | train_full 3.748289e-02 | test_full 4.381675e-02
epoch 0133 | 99.86s | train_full 3.479392e-02 | test_full 3.144242e-02
epoch 0134 | 99.67s | train_full 3.613901e-02 | test_full 3.607759e-02
epoch 0135 | 101.40s | train_full 3.788804e-02 | test_full 4.239085e-02
epoch 0136 | 98.25s | train_full 3.516481e-02 | test_full 4.282877e-02
epoch 0137 | 98.28s | train_full 3.496435e-02 | test_full 3.307340e-02
epoch 0138 | 96.84s | train_full 3.797077e-02 | test_full 4.126427e-02
epoch 0139 | 101.09s | train_full 3.559108e-02 | test_full 3.560530e-02
epoch 0140 | 96.44s | train_full 3.577047e-02 | test_full 2.919189e-02
epoch 0141 | 98.87s | train_full 3.330309e-02 | test_full 4.674805e-02
epoch 0142 | 102.79s | train_full 3.435319e-02 | test_full 3.262048e-02
epoch 0143 | 108.66s | train_full 3.557696e-02 | test_full 3.578889e-02
epoch 0144 | 100.56s | train_full 3.512764e-02 | test_full 3.481073e-02
epoch 0145 | 108.19s | train_full 3.442908e-02 | test_full 4.523131e-02
epoch 0146 | 112.36s | train_full 3.430568e-02 | test_full 3.277265e-02
epoch 0147 | 185.63s | train_full 3.320577e-02 | test_full 3.556722e-02
epoch 0148 | 126.35s | train_full 3.752368e-02 | test_full 3.027674e-02
epoch 0149 | 131.04s | train_full 3.397070e-02 | test_full 3.357534e-02
epoch 0150 | 115.32s | train_full 3.585538e-02 | test_full 3.107702e-02
epoch 0151 | 107.61s | train_full 3.619255e-02 | test_full 3.348461e-02
epoch 0152 | 106.25s | train_full 3.472261e-02 | test_full 3.773900e-02
epoch 0153 | 101.47s | train_full 3.476388e-02 | test_full 5.006413e-02
epoch 0154 | 109.01s | train_full 3.535742e-02 | test_full 4.312653e-02
epoch 0155 | 109.09s | train_full 3.513968e-02 | test_full 2.977304e-02
epoch 0156 | 108.74s | train_full 3.385141e-02 | test_full 3.684893e-02
epoch 0157 | 107.28s | train_full 3.439741e-02 | test_full 3.241491e-02
epoch 0158 | 103.92s | train_full 3.434997e-02 | test_full 3.316013e-02
epoch 0159 | 99.41s | train_full 3.367182e-02 | test_full 2.957232e-02
epoch 0160 | 100.86s | train_full 3.578202e-02 | test_full 3.374946e-02
