metric,value
low_band_spectral_rel_l2,1.71120856e-02
mid_band_spectral_rel_l2,3.47550702e+00
high_band_spectral_rel_l2,1.88178909e+02
high_frequency_energy_ratio_error,1.35905343e-10
gradient_rel_l2,6.67881891e-02
