epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,94.712064,5.47843702e-01,5.68889431e-01,3.17530777e-01,3.30454494e-01,1.23546545e+01,2.01272259e-01,3.84690158e+00,4.64666846e-02,915585,5.00000000e-04
1,90.646622,2.53470264e-01,2.61842472e-01,1.93904436e-01,1.97677523e-01,2.46880828e+00,3.13435164e-02,1.38543682e+00,1.68308704e-02,915585,5.00000000e-04
2,90.659218,1.99671959e-01,2.07897110e-01,1.61595755e-01,1.67613624e-01,1.56987054e+00,1.40004322e-02,9.98155487e-01,1.35274484e-02,915585,5.00000000e-04
3,89.436330,1.65192716e-01,1.71867942e-01,1.54527036e-01,1.61219037e-01,1.07407751e+00,1.41530491e-02,9.33545002e-01,1.35152803e-02,915585,5.00000000e-04
4,90.195120,1.49740663e-01,1.56677477e-01,1.42040945e-01,1.48262978e-01,8.89269875e-01,1.32951119e-02,7.96758264e-01,1.26723621e-02,915585,5.00000000e-04
5,89.638371,1.45941347e-01,1.53180324e-01,1.18745412e-01,1.21939173e-01,8.63999067e-01,1.16546210e-02,5.35662419e-01,1.05903802e-02,915585,5.00000000e-04
6,91.773620,1.33613320e-01,1.40036877e-01,1.35057800e-01,1.44513901e-01,7.15031060e-01,9.76590236e-03,7.59177670e-01,8.39158218e-03,915585,5.00000000e-04
7,90.403706,1.32258340e-01,1.40080291e-01,1.37993777e-01,1.48608339e-01,7.23547027e-01,7.79485057e-03,7.89341670e-01,5.88783644e-03,915585,5.00000000e-04
8,88.534843,1.25263625e-01,1.31722500e-01,1.07154392e-01,1.10458137e-01,6.33001449e-01,6.65615850e-03,4.36915527e-01,6.63493047e-03,915585,5.00000000e-04
9,86.938082,1.15916568e-01,1.21856681e-01,1.08976021e-01,1.13051021e-01,5.41393095e-01,6.18992669e-03,4.58743605e-01,6.24229562e-03,915585,5.00000000e-04
10,89.790684,1.12343661e-01,1.18105569e-01,1.14847085e-01,1.22485237e-01,5.10805061e-01,6.05609045e-03,5.34696396e-01,6.15859961e-03,915585,5.00000000e-04
11,89.104443,1.22327890e-01,1.30674935e-01,1.28252818e-01,1.38979710e-01,6.44349304e-01,5.86511333e-03,6.92241889e-01,5.27095538e-03,915585,5.00000000e-04
12,89.700424,1.16415384e-01,1.23113326e-01,1.44209188e-01,1.56761909e-01,5.65110459e-01,5.73358125e-03,8.99298081e-01,6.34301657e-03,915585,5.00000000e-04
13,90.592724,1.14436658e-01,1.21777563e-01,1.08816277e-01,1.15539469e-01,5.41188482e-01,5.55773700e-03,4.84194058e-01,5.33717200e-03,915585,5.00000000e-04
14,88.696458,1.06060864e-01,1.12091063e-01,1.17960843e-01,1.25140186e-01,4.62834116e-01,5.57623326e-03,5.72980151e-01,5.37666950e-03,915585,5.00000000e-04
15,88.608845,1.00986460e-01,1.06424104e-01,9.98976560e-02,1.04893782e-01,4.22056934e-01,5.55311655e-03,3.91482633e-01,5.83611991e-03,915585,5.00000000e-04
16,88.390921,1.02276086e-01,1.08859894e-01,1.49829514e-01,1.62949693e-01,4.40242113e-01,5.35667534e-03,9.41510457e-01,5.79762120e-03,915585,5.00000000e-04
17,90.308142,1.00902438e-01,1.06541297e-01,9.13781114e-02,9.57979295e-02,4.18588080e-01,5.39066675e-03,3.33027989e-01,5.58985192e-03,915585,5.00000000e-04
18,89.881223,9.57070778e-02,1.00964063e-01,9.55576839e-02,1.01595415e-01,3.74427163e-01,5.38556974e-03,3.70005885e-01,5.60782736e-03,915585,5.00000000e-04
19,90.891884,1.00409108e-01,1.06905740e-01,1.02370833e-01,1.10282854e-01,4.21747019e-01,5.34705662e-03,4.42696102e-01,4.91898648e-03,915585,5.00000000e-04
20,89.593604,9.63446350e-02,1.02593332e-01,9.16540790e-02,9.79892713e-02,3.90741904e-01,5.19579520e-03,3.44458240e-01,4.98296132e-03,915585,5.00000000e-04
21,93.018976,8.83043957e-02,9.35976292e-02,7.81969061e-02,8.11838531e-02,3.25271125e-01,5.07303488e-03,2.33887129e-01,5.21161424e-03,915585,5.00000000e-04
22,96.619302,8.66931990e-02,9.18531623e-02,7.26336670e-02,7.53892076e-02,3.09843584e-01,4.95745721e-03,2.02017442e-01,5.20758467e-03,915585,5.00000000e-04
23,94.572546,8.43982238e-02,8.95606051e-02,8.46436098e-02,9.01940957e-02,2.93034828e-01,4.83489021e-03,2.90299287e-01,4.71244453e-03,915585,5.00000000e-04
24,95.440750,8.42264334e-02,8.90663165e-02,9.74747605e-02,1.04180208e-01,2.89442439e-01,4.80225131e-03,3.88436130e-01,4.91476526e-03,915585,5.00000000e-04
25,96.707127,8.09036481e-02,8.58641689e-02,9.24281359e-02,1.01218956e-01,2.71579214e-01,4.62795440e-03,3.66640311e-01,4.48205102e-03,915585,5.00000000e-04
26,94.917976,8.81646238e-02,9.41217341e-02,8.48473060e-02,8.94446093e-02,3.30806488e-01,4.50122843e-03,2.88259034e-01,4.53722585e-03,915585,5.00000000e-04
