metric,value
low_band_spectral_rel_l2,1.14800595e-02
mid_band_spectral_rel_l2,1.00863659e+00
high_band_spectral_rel_l2,1.09921241e+00
high_frequency_energy_ratio_error,3.77343497e-07
gradient_rel_l2,5.48315525e-01
