step,condition_gate,matrix_spectral_mean,matrix_spectral_max,latent_rms,unet_highpass_rms
0.0,0.5,0.9632989764213562,0.9730785489082336,0.4048379361629486,0.0
1.0,0.5,0.9632989764213562,0.9730785489082336,0.4047923982143402,0.0
2.0,0.5,0.9632989764213562,0.9730785489082336,0.40477919578552246,0.0
3.0,0.5,0.9632989764213562,0.9730785489082336,0.40478235483169556,0.0
4.0,0.5,0.9632989764213562,0.9730785489082336,0.40479353070259094,0.0
5.0,0.5,0.9632989764213562,0.9730785489082336,0.40480804443359375,0.0
6.0,0.5,0.9632989764213562,0.9730785489082336,0.40482181310653687,0.0
7.0,0.5,0.9632989764213562,0.9730785489082336,0.40483158826828003,0.0
8.0,0.5,0.9632989764213562,0.9730785489082336,0.4048369526863098,0.0
9.0,0.5,0.9632989764213562,0.9730785489082336,0.40483909845352173,0.0
10.0,0.5,0.9632989764213562,0.9730785489082336,0.4048387408256531,0.0
11.0,0.5,0.9632989764213562,0.9730785489082336,0.4048464000225067,0.0
12.0,0.5,0.9632989764213562,0.9730785489082336,0.40485939383506775,0.0
13.0,0.5,0.9632989764213562,0.9730785489082336,0.4048747718334198,0.0
14.0,0.5,0.9632989764213562,0.9730785489082336,0.40488970279693604,0.0
15.0,0.5,0.9632989764213562,0.9730785489082336,0.40490204095840454,0.0
16.0,0.5,0.9632989764213562,0.9730785489082336,0.40491053462028503,0.0
17.0,0.5,0.9632989764213562,0.9730785489082336,0.4049147069454193,0.0
18.0,0.5,0.9632989764213562,0.9730785489082336,0.40491411089897156,0.0
19.0,0.5,0.9632989764213562,0.9730785489082336,0.4049088954925537,0.0
20.0,0.5,0.9632989764213562,0.9730785489082336,0.40489956736564636,0.0
21.0,0.5,0.9632989764213562,0.9730785489082336,0.40488696098327637,0.0
22.0,0.5,0.9632989764213562,0.9730785489082336,0.40487170219421387,0.0
23.0,0.5,0.9632989764213562,0.9730785489082336,0.40485450625419617,0.0
24.0,0.5,0.9632989764213562,0.9730785489082336,0.40483590960502625,0.0
25.0,0.5,0.9632989764213562,0.9730785489082336,0.4048163592815399,0.0
26.0,0.5,0.9632989764213562,0.9730785489082336,0.40479588508605957,0.0
27.0,0.5,0.9632989764213562,0.9730785489082336,0.40477433800697327,0.0
28.0,0.5,0.9632989764213562,0.9730785489082336,0.4047519266605377,0.0
29.0,0.5,0.9632989764213562,0.9730785489082336,0.40472912788391113,0.0
30.0,0.5,0.9632989764213562,0.9730785489082336,0.4047068953514099,0.0
31.0,0.5,0.9632989764213562,0.9730785489082336,0.40468648076057434,0.0
32.0,0.5,0.9632989764213562,0.9730785489082336,0.4046690762042999,0.0
33.0,0.5,0.9632989764213562,0.9730785489082336,0.4046556353569031,0.0
34.0,0.5,0.9632989764213562,0.9730785489082336,0.40464669466018677,0.0
35.0,0.5,0.9632989764213562,0.9730785489082336,0.4046424925327301,0.0
36.0,0.5,0.9632989764213562,0.9730785489082336,0.4046432077884674,0.0
37.0,0.5,0.9632989764213562,0.9730785489082336,0.40464892983436584,0.0
38.0,0.5,0.9632989764213562,0.9730785489082336,0.40466001629829407,0.0
39.0,0.5,0.9632989764213562,0.9730785489082336,0.4046768248081207,0.0
