metric,value
low_band_spectral_rel_l2,3.82972211e-02
mid_band_spectral_rel_l2,6.56362915e+02
high_band_spectral_rel_l2,6.62485596e+03
high_frequency_energy_ratio_error,2.12348823e-07
gradient_rel_l2,1.28558561e-01
