epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
54,0.267786,1,1.93212775e-04,3.79989222e-05,1.41609110e-02,,,1.00000000e-03,444025
55,0.206151,1,2.38712364e-04,4.71834633e-05,1.51363127e-02,,,1.00000000e-03,444025
56,0.220838,1,2.04251133e-04,4.02840287e-05,1.44702528e-02,,,1.00000000e-03,444025
57,0.236679,1,2.35696832e-04,4.65779291e-05,1.56612346e-02,,,1.00000000e-03,444025
58,0.242345,1,2.74664662e-04,5.43282668e-05,1.64582490e-02,,,1.00000000e-03,444025
59,0.256490,1,2.61254814e-04,5.16857138e-05,1.59823610e-02,,,1.00000000e-03,444025
60,0.205352,1,1.97825185e-04,3.90582015e-05,1.42958435e-02,,,1.00000000e-03,444025
61,0.212994,1,2.21762957e-04,4.38390433e-05,1.47066865e-02,,,1.00000000e-03,444025
62,0.204903,1,2.33844071e-04,4.62957450e-05,1.52937661e-02,,,1.00000000e-03,444025
63,0.236465,1,2.02447138e-04,4.00269360e-05,1.41894614e-02,,,1.00000000e-03,444025
64,0.269596,1,2.08849527e-04,4.12376341e-05,1.42697766e-02,,,1.00000000e-03,444025
65,0.288729,1,2.06333092e-04,4.07512320e-05,1.48508242e-02,,,1.00000000e-03,444025
66,0.283306,1,1.93243615e-04,3.81884491e-05,1.42050162e-02,,,1.00000000e-03,444025
67,0.250737,1,1.70554563e-04,3.36956741e-05,1.33686153e-02,,,1.00000000e-03,444025
68,0.251916,1,1.62461868e-04,3.20850370e-05,1.30824678e-02,,,1.00000000e-03,444025
69,0.270162,1,1.61689334e-04,3.19374439e-05,1.26811777e-02,,,1.00000000e-03,444025
70,0.238215,1,2.23745959e-04,4.43416233e-05,1.45989475e-02,,,1.00000000e-03,444025
71,0.243983,1,2.44803116e-04,4.84503857e-05,1.54930279e-02,,,1.00000000e-03,444025
72,0.243233,1,2.62990761e-04,5.20785757e-05,1.58209305e-02,,,1.00000000e-03,444025
73,0.226600,1,2.96658562e-04,5.88875487e-05,1.68096811e-02,,,1.00000000e-03,444025
74,0.257700,1,5.39828166e-04,1.07396087e-04,2.28089030e-02,,,1.00000000e-03,444025
75,0.250183,1,3.85360800e-04,7.65736264e-05,1.99427181e-02,,,1.00000000e-03,444025
76,0.226690,1,4.33516911e-04,8.62290208e-05,1.97088201e-02,,,1.00000000e-03,444025
77,0.236804,1,2.53708921e-04,5.02308467e-05,1.58430772e-02,,,1.00000000e-03,444025
78,0.228444,1,2.55513917e-04,5.06536131e-05,1.55035207e-02,,,1.00000000e-03,444025
79,0.265924,1,1.91905348e-04,3.79379460e-05,1.39575129e-02,,,1.00000000e-03,444025
80,0.265369,1,1.67298820e-04,3.29843087e-05,1.31169990e-02,,,1.00000000e-03,444025
81,0.265411,1,1.54338662e-04,3.04452000e-05,1.25096049e-02,,,1.00000000e-03,444025
82,0.299854,1,2.02325242e-04,3.99924463e-05,1.49572979e-02,,,1.00000000e-03,444025
83,0.306015,1,1.89733234e-04,3.76022620e-05,1.35786098e-02,,,1.00000000e-03,444025
84,0.292629,1,2.08137582e-04,4.12703178e-05,1.44340116e-02,,,1.00000000e-03,444025
85,0.226618,1,1.34965329e-04,2.66438723e-05,1.18697926e-02,,,1.00000000e-03,444025
86,0.221458,1,1.70375649e-04,3.37017995e-05,1.29398381e-02,,,1.00000000e-03,444025
87,0.223669,1,2.49767886e-04,4.95761888e-05,1.58425012e-02,,,1.00000000e-03,444025
88,0.258829,1,2.82702986e-04,5.61681588e-05,1.63366879e-02,,,1.00000000e-03,444025
89,0.263264,1,4.13971536e-04,8.23440640e-05,1.99475279e-02,,,1.00000000e-03,444025
90,0.264368,1,4.69314020e-04,9.33026035e-05,2.14463167e-02,,,1.00000000e-03,444025
91,0.278142,1,4.19268034e-04,8.33410130e-05,2.00061437e-02,,,1.00000000e-03,444025
92,0.269935,1,3.35912001e-04,6.66817551e-05,1.76563358e-02,,,1.00000000e-03,444025
93,0.309312,1,2.23877018e-04,4.42019220e-05,1.49487186e-02,,,1.00000000e-03,444025
94,0.292595,1,2.23431324e-04,4.41687246e-05,1.44423441e-02,,,1.00000000e-03,444025
95,0.267162,1,2.50853236e-04,4.97732050e-05,1.52079238e-02,,,1.00000000e-03,444025
96,0.325086,1,2.19668098e-04,4.35673227e-05,1.48288740e-02,,,1.00000000e-03,444025
97,0.240359,1,1.71741282e-04,3.40128931e-05,1.34946487e-02,,,1.00000000e-03,444025
98,0.279063,1,2.03634916e-04,4.03623445e-05,1.44958597e-02,,,1.00000000e-03,444025
99,0.255031,1,1.87437008e-04,3.71146436e-05,1.39431385e-02,,,5.00000000e-04,444025
100,0.247002,1,1.18916869e-04,2.34635201e-05,1.13688840e-02,,,5.00000000e-04,444025
101,0.226861,1,1.02677665e-04,2.02122644e-05,1.03477100e-02,,,5.00000000e-04,444025
102,0.367967,1,9.51615833e-05,1.87511328e-05,1.00306968e-02,,,5.00000000e-04,444025
103,0.361555,1,8.90071270e-05,1.74899870e-05,9.78121084e-03,,,5.00000000e-04,444025
104,0.267029,1,9.03484068e-05,1.77736460e-05,9.80664164e-03,,,5.00000000e-04,444025
105,0.279483,1,8.64298431e-05,1.70050110e-05,9.63545865e-03,,,5.00000000e-04,444025
106,0.277187,1,9.01651731e-05,1.77411982e-05,9.85179892e-03,,,5.00000000e-04,444025
107,0.263313,1,9.27613921e-05,1.82727566e-05,9.98507965e-03,,,5.00000000e-04,444025
108,0.248611,1,9.38106366e-05,1.84983817e-05,1.00196621e-02,,,5.00000000e-04,444025
109,0.243169,1,9.68722590e-05,1.91022774e-05,1.00464390e-02,,,5.00000000e-04,444025
110,0.267190,1,9.42455277e-05,1.85771774e-05,9.93790463e-03,,,5.00000000e-04,444025
111,0.291473,1,8.63597085e-05,1.69878399e-05,9.62213218e-03,,,5.00000000e-04,444025
112,0.242266,1,8.76445969e-05,1.72395420e-05,9.69601500e-03,,,5.00000000e-04,444025
113,0.248549,1,8.58616232e-05,1.68952367e-05,9.61932537e-03,,,5.00000000e-04,444025
114,0.239767,1,9.38311365e-05,1.84967654e-05,9.94993216e-03,,,5.00000000e-04,444025
115,0.224733,1,8.97717715e-05,1.76791909e-05,9.86775801e-03,,,5.00000000e-04,444025
116,0.247512,1,8.98506129e-05,1.77078145e-05,9.80113772e-03,,,5.00000000e-04,444025
117,0.227517,1,8.72923919e-05,1.71774156e-05,9.65343019e-03,,,5.00000000e-04,444025
118,0.302354,1,8.66914847e-05,1.70770618e-05,9.60726190e-03,,,5.00000000e-04,444025
119,0.307094,1,8.49044458e-05,1.67241857e-05,9.54133323e-03,,,5.00000000e-04,444025
120,0.315757,1,8.13016654e-05,1.59734866e-05,9.27322304e-03,,,5.00000000e-04,444025
121,0.221107,1,7.94057024e-05,1.55948378e-05,9.21159697e-03,,,5.00000000e-04,444025
122,0.221804,1,8.94267239e-05,1.76008847e-05,9.71975374e-03,,,5.00000000e-04,444025
123,0.296682,1,7.96359641e-05,1.56568948e-05,9.36745906e-03,,,5.00000000e-04,444025
124,0.228686,1,8.54714589e-05,1.68119905e-05,9.56967759e-03,,,5.00000000e-04,444025
125,0.234993,1,8.25831046e-05,1.62521610e-05,9.42240489e-03,,,5.00000000e-04,444025
126,0.285641,1,8.51967823e-05,1.67796160e-05,9.67604679e-03,,,5.00000000e-04,444025
127,0.223025,1,8.26939283e-05,1.62591664e-05,9.38824177e-03,,,5.00000000e-04,444025
128,0.305912,1,8.52943339e-05,1.67811488e-05,9.56126219e-03,,,5.00000000e-04,444025
129,0.275062,1,9.84529493e-05,1.94134178e-05,1.00081504e-02,,,5.00000000e-04,444025
130,0.265950,1,8.93746610e-05,1.75583632e-05,9.65661997e-03,,,5.00000000e-04,444025
131,0.289465,1,8.73498852e-05,1.71795575e-05,9.56642359e-03,,,5.00000000e-04,444025
132,0.224419,1,9.13892870e-05,1.80183072e-05,9.68867519e-03,,,5.00000000e-04,444025
133,0.339581,1,8.75678698e-05,1.72246022e-05,9.66814417e-03,,,5.00000000e-04,444025
134,0.323117,1,9.92931017e-05,1.95607920e-05,1.02933536e-02,,,5.00000000e-04,444025
135,0.249311,1,9.27880035e-05,1.82992554e-05,9.88372037e-03,,,5.00000000e-04,444025
136,0.272631,1,9.13952762e-05,1.80019409e-05,9.91010439e-03,,,5.00000000e-04,444025
137,0.295734,1,9.18828329e-05,1.80939658e-05,9.83825070e-03,,,5.00000000e-04,444025
138,0.204356,1,8.27237229e-05,1.62619438e-05,9.41630304e-03,,,5.00000000e-04,444025
139,0.219007,1,8.08169994e-05,1.58949063e-05,9.25724125e-03,,,5.00000000e-04,444025
140,0.218009,1,8.61936539e-05,1.69804640e-05,9.38650477e-03,,,5.00000000e-04,444025
141,0.238561,1,8.12702291e-05,1.59871302e-05,9.26049072e-03,,,5.00000000e-04,444025
142,0.238810,1,8.59673648e-05,1.69011346e-05,9.58984518e-03,,,5.00000000e-04,444025
143,0.249892,1,8.05359888e-05,1.58441119e-05,9.37580013e-03,,,5.00000000e-04,444025
144,0.261439,1,9.69889116e-05,1.90837829e-05,1.01859237e-02,,,5.00000000e-04,444025
145,0.291473,1,8.30729738e-05,1.63310106e-05,9.31442672e-03,,,5.00000000e-04,444025
146,0.268065,1,8.33814183e-05,1.63967490e-05,9.34882927e-03,,,5.00000000e-04,444025
147,0.250630,1,8.64598004e-05,1.70385420e-05,9.65610391e-03,,,5.00000000e-04,444025
148,0.245196,1,8.03544003e-05,1.58158487e-05,9.27083987e-03,,,5.00000000e-04,444025
149,0.270093,1,8.05819218e-05,1.58450905e-05,9.20957601e-03,,,5.00000000e-04,444025
150,0.317344,1,8.28803224e-05,1.63036424e-05,9.51467097e-03,,,5.00000000e-04,444025
151,0.246661,1,8.39231497e-05,1.65169139e-05,9.52246255e-03,,,5.00000000e-04,444025
152,0.230528,1,8.42572110e-05,1.65446158e-05,9.36956489e-03,,,5.00000000e-04,444025
153,0.325447,1,9.05669933e-05,1.78330945e-05,9.78318453e-03,,,5.00000000e-04,444025
154,0.231056,1,8.59307208e-05,1.69495278e-05,9.53697470e-03,,,5.00000000e-04,444025
155,0.271752,1,8.37510743e-05,1.64548468e-05,9.35696578e-03,,,5.00000000e-04,444025
156,0.254940,1,9.29031706e-05,1.82804705e-05,9.89266860e-03,,,5.00000000e-04,444025
157,0.241716,1,1.15848854e-04,2.28581399e-05,1.10206354e-02,,,5.00000000e-04,444025
158,0.267950,1,8.74457787e-05,1.72190547e-05,9.45549524e-03,,,5.00000000e-04,444025
159,0.236682,1,1.08001991e-04,2.13365224e-05,1.07286623e-02,,,5.00000000e-04,444025
160,0.245429,1,1.06142988e-04,2.09398867e-05,1.03723158e-02,,,5.00000000e-04,444025
161,0.259344,1,8.17799918e-05,1.60497376e-05,9.28873757e-03,,,5.00000000e-04,444025
162,0.291633,1,8.68002985e-05,1.70413398e-05,9.51040995e-03,,,5.00000000e-04,444025
163,0.211471,1,9.08958000e-05,1.78695169e-05,9.70504558e-03,,,5.00000000e-04,444025
164,0.267194,1,9.58328735e-05,1.88295492e-05,1.04272243e-02,,,5.00000000e-04,444025
165,0.260307,1,9.48730902e-05,1.86781336e-05,1.02043073e-02,,,5.00000000e-04,444025
