step,mse
0,3.29841772e-04
1,8.61568027e-04
2,1.17835146e-03
3,1.29081169e-03
4,1.34885195e-03
5,1.36226357e-03
6,1.32021890e-03
7,1.28570374e-03
8,1.29264814e-03
9,1.32875855e-03
10,1.39664102e-03
11,1.48225843e-03
12,1.53122935e-03
13,1.53924013e-03
14,1.57448754e-03
15,1.64660404e-03
16,1.74114248e-03
17,1.83802296e-03
18,1.97588722e-03
19,2.10202904e-03
20,2.18003825e-03
21,2.28871172e-03
22,2.42184103e-03
23,2.52924929e-03
24,2.62075965e-03
25,2.65196315e-03
26,2.69705057e-03
27,2.75486778e-03
28,2.77378643e-03
29,2.78090755e-03
30,2.78336741e-03
31,2.82169436e-03
32,2.87224422e-03
33,2.98709981e-03
34,3.15753929e-03
35,3.34282941e-03
36,3.49505153e-03
37,3.64316278e-03
38,3.82908504e-03
39,4.05073166e-03
