step,condition_gate,matrix_spectral_mean,matrix_spectral_max,latent_rms,unet_highpass_rms
0.0,1.0,0.9646087884902954,0.97542405128479,0.37664470076560974,0.0
1.0,1.0,0.9646087884902954,0.97542405128479,0.3766117990016937,0.0
2.0,1.0,0.9646087884902954,0.97542405128479,0.37662768363952637,0.0
3.0,1.0,0.9646087884902954,0.97542405128479,0.3766666054725647,0.0
4.0,1.0,0.9646087884902954,0.97542405128479,0.37671592831611633,0.0
5.0,1.0,0.9646087884902954,0.97542405128479,0.3767678737640381,0.0
6.0,1.0,0.9646087884902954,0.97542405128479,0.3768182098865509,0.0
7.0,1.0,0.9646087884902954,0.97542405128479,0.3768638074398041,0.0
8.0,1.0,0.9646087884902954,0.97542405128479,0.3769053816795349,0.0
9.0,1.0,0.9646087884902954,0.97542405128479,0.3769446313381195,0.0
10.0,1.0,0.9646087884902954,0.97542405128479,0.3769826591014862,0.0
11.0,1.0,0.9646087884902954,0.97542405128479,0.3770260810852051,0.0
12.0,1.0,0.9646087884902954,0.97542405128479,0.37707310914993286,0.0
13.0,1.0,0.9646087884902954,0.97542405128479,0.37712129950523376,0.0
14.0,1.0,0.9646087884902954,0.97542405128479,0.3771684169769287,0.0
15.0,1.0,0.9646087884902954,0.97542405128479,0.3772128224372864,0.0
16.0,1.0,0.9646087884902954,0.97542405128479,0.37725386023521423,0.0
17.0,1.0,0.9646087884902954,0.97542405128479,0.37729114294052124,0.0
18.0,1.0,0.9646087884902954,0.97542405128479,0.37732431292533875,0.0
19.0,1.0,0.9646087884902954,0.97542405128479,0.37735313177108765,0.0
20.0,1.0,0.9646087884902954,0.97542405128479,0.3773778975009918,0.0
21.0,1.0,0.9646087884902954,0.97542405128479,0.377399206161499,0.0
22.0,1.0,0.9646087884902954,0.97542405128479,0.3774179220199585,0.0
23.0,1.0,0.9646087884902954,0.97542405128479,0.3774349093437195,0.0
24.0,1.0,0.9646087884902954,0.97542405128479,0.3774513006210327,0.0
25.0,1.0,0.9646087884902954,0.97542405128479,0.37746766209602356,0.0
26.0,1.0,0.9646087884902954,0.97542405128479,0.37748387455940247,0.0
27.0,1.0,0.9646087884902954,0.97542405128479,0.37749946117401123,0.0
28.0,1.0,0.9646087884902954,0.97542405128479,0.37751418352127075,0.0
29.0,1.0,0.9646087884902954,0.97542405128479,0.37752822041511536,0.0
30.0,1.0,0.9646087884902954,0.97542405128479,0.3775421977043152,0.0
31.0,1.0,0.9646087884902954,0.97542405128479,0.3775574266910553,0.0
32.0,1.0,0.9646087884902954,0.97542405128479,0.37757566571235657,0.0
33.0,1.0,0.9646087884902954,0.97542405128479,0.37759828567504883,0.0
34.0,1.0,0.9646087884902954,0.97542405128479,0.3776260316371918,0.0
35.0,1.0,0.9646087884902954,0.97542405128479,0.3776591718196869,0.0
36.0,1.0,0.9646087884902954,0.97542405128479,0.3776979148387909,0.0
37.0,1.0,0.9646087884902954,0.97542405128479,0.37774235010147095,0.0
38.0,1.0,0.9646087884902954,0.97542405128479,0.3777927756309509,0.0
39.0,1.0,0.9646087884902954,0.97542405128479,0.3778496980667114,0.0
