metric,value
low_band_spectral_rel_l2,5.41515574e-02
mid_band_spectral_rel_l2,2.15252256e+00
high_band_spectral_rel_l2,3.29087868e+01
high_frequency_energy_ratio_error,5.00978553e-04
gradient_rel_l2,2.32359838e+00
