metric,value
low_band_spectral_rel_l2,1.37176970e-02
mid_band_spectral_rel_l2,3.68820333e+00
high_band_spectral_rel_l2,2.38851837e+02
high_frequency_energy_ratio_error,2.19157387e-10
gradient_rel_l2,6.26472905e-02
