metric,value
low_band_spectral_rel_l2,1.24372768e+00
mid_band_spectral_rel_l2,1.22431791e+00
high_band_spectral_rel_l2,2.34733129e+00
high_frequency_energy_ratio_error,5.48208882e-05
gradient_rel_l2,1.29481077e+00
