nohup: ignoring input
epoch 0081 | 104.70s | train_full 3.314332e-01 | test_full 3.230929e-01
epoch 0082 | 102.36s | train_full 3.345239e-01 | test_full 3.261701e-01
epoch 0083 | 103.06s | train_full 3.318871e-01 | test_full 3.237330e-01
epoch 0084 | 104.05s | train_full 3.373153e-01 | test_full 3.322996e-01
epoch 0085 | 103.12s | train_full 3.331924e-01 | test_full 3.240135e-01
epoch 0086 | 102.45s | train_full 3.283807e-01 | test_full 3.185547e-01
epoch 0087 | 104.19s | train_full 3.289990e-01 | test_full 3.252278e-01
epoch 0088 | 104.92s | train_full 3.284406e-01 | test_full 3.277215e-01
epoch 0089 | 105.27s | train_full 3.349594e-01 | test_full 3.248808e-01
epoch 0090 | 105.26s | train_full 3.331197e-01 | test_full 3.228963e-01
epoch 0091 | 105.47s | train_full 3.285989e-01 | test_full 3.351196e-01
epoch 0092 | 104.57s | train_full 3.297808e-01 | test_full 3.236459e-01
epoch 0093 | 104.93s | train_full 3.313850e-01 | test_full 3.326364e-01
epoch 0094 | 104.59s | train_full 3.291253e-01 | test_full 3.257340e-01
epoch 0095 | 104.38s | train_full 3.244390e-01 | test_full 3.231597e-01
epoch 0096 | 104.02s | train_full 3.334894e-01 | test_full 3.149495e-01
epoch 0097 | 102.47s | train_full 3.267779e-01 | test_full 3.340896e-01
epoch 0098 | 104.66s | train_full 3.256151e-01 | test_full 3.393441e-01
epoch 0099 | 103.48s | train_full 3.264167e-01 | test_full 3.144129e-01
epoch 0100 | 102.71s | train_full 3.147815e-01 | test_full 3.074323e-01
epoch 0101 | 105.08s | train_full 3.163004e-01 | test_full 3.117018e-01
epoch 0102 | 104.12s | train_full 3.128722e-01 | test_full 3.066602e-01
epoch 0103 | 104.51s | train_full 3.121709e-01 | test_full 3.094727e-01
epoch 0104 | 105.51s | train_full 3.126937e-01 | test_full 3.038262e-01
epoch 0105 | 104.52s | train_full 3.141611e-01 | test_full 3.089290e-01
epoch 0106 | 105.20s | train_full 3.105670e-01 | test_full 3.053565e-01
epoch 0107 | 102.18s | train_full 3.104783e-01 | test_full 3.145511e-01
epoch 0108 | 101.91s | train_full 3.141934e-01 | test_full 3.066040e-01
epoch 0109 | 104.66s | train_full 3.140472e-01 | test_full 3.094938e-01
epoch 0110 | 104.32s | train_full 3.118912e-01 | test_full 3.028531e-01
epoch 0111 | 103.32s | train_full 3.112152e-01 | test_full 3.030553e-01
epoch 0112 | 102.56s | train_full 3.075172e-01 | test_full 3.083798e-01
epoch 0113 | 103.68s | train_full 3.109545e-01 | test_full 3.062737e-01
epoch 0114 | 104.44s | train_full 3.096586e-01 | test_full 3.030452e-01
epoch 0115 | 104.20s | train_full 3.069254e-01 | test_full 3.036049e-01
epoch 0116 | 104.40s | train_full 3.101536e-01 | test_full 3.044870e-01
epoch 0117 | 102.36s | train_full 3.080896e-01 | test_full 3.026525e-01
epoch 0118 | 101.88s | train_full 3.115184e-01 | test_full 3.029782e-01
epoch 0119 | 102.50s | train_full 3.074185e-01 | test_full 3.044549e-01
epoch 0120 | 102.07s | train_full 3.082473e-01 | test_full 3.121586e-01
epoch 0121 | 103.41s | train_full 3.111141e-01 | test_full 3.069160e-01
epoch 0122 | 107.49s | train_full 3.075488e-01 | test_full 3.003817e-01
epoch 0123 | 104.90s | train_full 3.074318e-01 | test_full 3.151287e-01
epoch 0124 | 101.89s | train_full 3.098582e-01 | test_full 3.083392e-01
epoch 0125 | 104.23s | train_full 3.062365e-01 | test_full 3.164136e-01
epoch 0126 | 104.00s | train_full 3.078937e-01 | test_full 3.019457e-01
epoch 0127 | 104.32s | train_full 3.047525e-01 | test_full 2.997676e-01
epoch 0128 | 104.42s | train_full 3.064907e-01 | test_full 3.043781e-01
epoch 0129 | 105.36s | train_full 3.089405e-01 | test_full 3.006751e-01
epoch 0130 | 104.47s | train_full 3.041985e-01 | test_full 3.045381e-01
epoch 0131 | 104.38s | train_full 3.037189e-01 | test_full 2.966656e-01
epoch 0132 | 104.27s | train_full 3.050111e-01 | test_full 2.976287e-01
epoch 0133 | 102.07s | train_full 3.054590e-01 | test_full 3.137646e-01
epoch 0134 | 101.85s | train_full 3.037309e-01 | test_full 3.000135e-01
epoch 0135 | 104.24s | train_full 3.114111e-01 | test_full 3.004996e-01
epoch 0136 | 104.04s | train_full 3.062452e-01 | test_full 3.102762e-01
epoch 0137 | 104.68s | train_full 3.049160e-01 | test_full 3.066438e-01
epoch 0138 | 104.93s | train_full 3.053131e-01 | test_full 3.004094e-01
epoch 0139 | 106.08s | train_full 3.012851e-01 | test_full 3.036206e-01
epoch 0140 | 105.21s | train_full 3.061748e-01 | test_full 3.046850e-01
epoch 0141 | 104.92s | train_full 3.044266e-01 | test_full 2.966212e-01
epoch 0142 | 104.83s | train_full 3.046550e-01 | test_full 2.944537e-01
epoch 0143 | 104.45s | train_full 3.038759e-01 | test_full 3.009970e-01
epoch 0144 | 104.97s | train_full 3.080327e-01 | test_full 3.041789e-01
epoch 0145 | 102.47s | train_full 3.068186e-01 | test_full 3.056879e-01
epoch 0146 | 102.98s | train_full 3.016870e-01 | test_full 3.032086e-01
epoch 0147 | 102.55s | train_full 3.044972e-01 | test_full 3.021699e-01
epoch 0148 | 103.37s | train_full 3.033771e-01 | test_full 3.010168e-01
epoch 0149 | 104.27s | train_full 3.007853e-01 | test_full 2.950074e-01
epoch 0150 | 103.17s | train_full 3.059967e-01 | test_full 3.141504e-01
epoch 0151 | 104.69s | train_full 3.085186e-01 | test_full 2.982120e-01
epoch 0152 | 104.28s | train_full 3.012156e-01 | test_full 3.005017e-01
epoch 0153 | 103.65s | train_full 3.003232e-01 | test_full 3.159372e-01
epoch 0154 | 103.71s | train_full 3.017463e-01 | test_full 2.942558e-01
epoch 0155 | 103.94s | train_full 3.013750e-01 | test_full 2.993584e-01
epoch 0156 | 103.78s | train_full 2.998146e-01 | test_full 2.974762e-01
epoch 0157 | 104.69s | train_full 3.037486e-01 | test_full 2.961135e-01
epoch 0158 | 104.14s | train_full 2.995272e-01 | test_full 2.986738e-01
epoch 0159 | 104.86s | train_full 3.021327e-01 | test_full 3.063321e-01
epoch 0160 | 101.63s | train_full 2.988766e-01 | test_full 3.046950e-01
epoch 0161 | 103.95s | train_full 3.046707e-01 | test_full 3.055286e-01
epoch 0162 | 104.71s | train_full 2.997416e-01 | test_full 2.933085e-01
epoch 0163 | 104.49s | train_full 3.016382e-01 | test_full 3.044467e-01
epoch 0164 | 104.99s | train_full 3.089606e-01 | test_full 3.156173e-01
epoch 0165 | 104.45s | train_full 3.011104e-01 | test_full 2.936082e-01
epoch 0166 | 104.93s | train_full 2.987313e-01 | test_full 2.949279e-01
epoch 0167 | 103.13s | train_full 3.004151e-01 | test_full 3.001176e-01
epoch 0168 | 101.43s | train_full 2.991708e-01 | test_full 3.155593e-01
epoch 0169 | 102.88s | train_full 3.002600e-01 | test_full 2.987828e-01
epoch 0170 | 104.80s | train_full 2.967599e-01 | test_full 3.023988e-01
epoch 0171 | 105.25s | train_full 3.011235e-01 | test_full 3.040380e-01
epoch 0172 | 105.14s | train_full 3.087686e-01 | test_full 2.975050e-01
epoch 0173 | 104.99s | train_full 3.011497e-01 | test_full 3.011307e-01
epoch 0174 | 104.55s | train_full 2.966024e-01 | test_full 2.926474e-01
epoch 0175 | 102.57s | train_full 3.018929e-01 | test_full 3.131170e-01
epoch 0176 | 104.47s | train_full 2.987434e-01 | test_full 2.961284e-01
epoch 0177 | 104.05s | train_full 2.987606e-01 | test_full 3.034489e-01
epoch 0178 | 104.87s | train_full 2.977030e-01 | test_full 3.022742e-01
epoch 0179 | 105.40s | train_full 3.008489e-01 | test_full 3.020232e-01
epoch 0180 | 104.82s | train_full 2.966239e-01 | test_full 2.941936e-01
epoch 0181 | 103.75s | train_full 2.951069e-01 | test_full 2.928337e-01
epoch 0182 | 104.50s | train_full 2.989807e-01 | test_full 2.892449e-01
epoch 0183 | 105.01s | train_full 2.971072e-01 | test_full 2.934708e-01
epoch 0184 | 104.49s | train_full 2.994039e-01 | test_full 2.938953e-01
epoch 0185 | 102.82s | train_full 3.047735e-01 | test_full 3.012337e-01
epoch 0186 | 103.80s | train_full 3.011341e-01 | test_full 2.919475e-01
epoch 0187 | 104.70s | train_full 2.976289e-01 | test_full 2.904141e-01
epoch 0188 | 104.47s | train_full 2.986335e-01 | test_full 2.971093e-01
epoch 0189 | 104.29s | train_full 2.959796e-01 | test_full 2.997540e-01
epoch 0190 | 105.41s | train_full 2.969581e-01 | test_full 2.963525e-01
epoch 0191 | 104.60s | train_full 2.959364e-01 | test_full 2.949214e-01
epoch 0192 | 104.40s | train_full 2.958724e-01 | test_full 2.900040e-01
epoch 0193 | 103.65s | train_full 2.953783e-01 | test_full 2.886153e-01
epoch 0194 | 103.84s | train_full 2.995582e-01 | test_full 2.928526e-01
epoch 0195 | 104.09s | train_full 2.992182e-01 | test_full 3.036238e-01
epoch 0196 | 103.92s | train_full 2.968177e-01 | test_full 2.985203e-01
epoch 0197 | 103.83s | train_full 2.955810e-01 | test_full 2.960416e-01
epoch 0198 | 103.34s | train_full 2.928235e-01 | test_full 3.077648e-01
epoch 0199 | 104.68s | train_full 2.918292e-01 | test_full 2.860662e-01
epoch 0200 | 104.21s | train_full 2.869013e-01 | test_full 2.851368e-01
epoch 0201 | 103.57s | train_full 2.851226e-01 | test_full 2.908306e-01
epoch 0202 | 102.77s | train_full 2.866297e-01 | test_full 2.845295e-01
epoch 0203 | 101.72s | train_full 2.857269e-01 | test_full 2.871484e-01
epoch 0204 | 102.97s | train_full 2.846801e-01 | test_full 2.919738e-01
epoch 0205 | 104.17s | train_full 2.901082e-01 | test_full 2.838670e-01
epoch 0206 | 105.14s | train_full 2.861427e-01 | test_full 2.869965e-01
epoch 0207 | 104.43s | train_full 2.836710e-01 | test_full 2.840674e-01
epoch 0208 | 104.76s | train_full 2.836012e-01 | test_full 2.868030e-01
epoch 0209 | 103.61s | train_full 2.861900e-01 | test_full 2.866955e-01
epoch 0210 | 104.56s | train_full 2.841828e-01 | test_full 2.976950e-01
epoch 0211 | 105.15s | train_full 2.848768e-01 | test_full 2.928654e-01
epoch 0212 | 104.76s | train_full 2.855285e-01 | test_full 2.851472e-01
epoch 0213 | 104.74s | train_full 2.849535e-01 | test_full 2.848091e-01
epoch 0214 | 102.90s | train_full 2.840770e-01 | test_full 2.867825e-01
epoch 0215 | 104.81s | train_full 2.877191e-01 | test_full 2.992924e-01
epoch 0216 | 104.92s | train_full 2.848304e-01 | test_full 2.833297e-01
epoch 0217 | 104.33s | train_full 2.830631e-01 | test_full 2.879325e-01
