nohup: ignoring input
epoch 0000 | 223.23s | train_full 6.830777e-01 | test_full 5.778396e-01
epoch 0001 | 222.39s | train_full 4.997499e-01 | test_full 4.429699e-01
epoch 0002 | 222.73s | train_full 4.459626e-01 | test_full 4.297412e-01
epoch 0003 | 223.84s | train_full 3.541633e-01 | test_full 2.700156e-01
epoch 0004 | 226.88s | train_full 2.641334e-01 | test_full 2.427865e-01
epoch 0005 | 225.53s | train_full 2.361617e-01 | test_full 2.379604e-01
epoch 0006 | 228.58s | train_full 2.266548e-01 | test_full 2.751014e-01
epoch 0007 | 227.13s | train_full 2.139435e-01 | test_full 2.180209e-01
epoch 0008 | 212.63s | train_full 1.960299e-01 | test_full 2.207119e-01
epoch 0009 | 211.21s | train_full 1.890325e-01 | test_full 1.735852e-01
epoch 0010 | 207.29s | train_full 1.779124e-01 | test_full 1.684394e-01
epoch 0011 | 208.27s | train_full 1.702602e-01 | test_full 1.558123e-01
epoch 0012 | 209.51s | train_full 1.617329e-01 | test_full 1.546116e-01
epoch 0013 | 210.22s | train_full 1.578028e-01 | test_full 1.693856e-01
epoch 0014 | 208.10s | train_full 1.576445e-01 | test_full 1.446088e-01
epoch 0015 | 207.41s | train_full 1.556880e-01 | test_full 1.539475e-01
epoch 0016 | 208.00s | train_full 1.497758e-01 | test_full 1.464682e-01
epoch 0017 | 225.16s | train_full 1.512700e-01 | test_full 1.603923e-01
epoch 0018 | 207.16s | train_full 1.467417e-01 | test_full 1.364210e-01
epoch 0019 | 206.18s | train_full 1.520798e-01 | test_full 1.318532e-01
epoch 0020 | 207.06s | train_full 1.434635e-01 | test_full 1.474288e-01
epoch 0021 | 207.44s | train_full 1.388588e-01 | test_full 1.418201e-01
epoch 0022 | 206.59s | train_full 1.361532e-01 | test_full 1.248111e-01
epoch 0023 | 203.23s | train_full 1.396347e-01 | test_full 1.987180e-01
epoch 0024 | 204.82s | train_full 1.389294e-01 | test_full 1.314033e-01
epoch 0025 | 206.29s | train_full 1.372502e-01 | test_full 1.184480e-01
epoch 0026 | 205.94s | train_full 1.270417e-01 | test_full 1.577863e-01
epoch 0027 | 204.66s | train_full 1.420374e-01 | test_full 1.252943e-01
epoch 0028 | 206.61s | train_full 1.383290e-01 | test_full 1.191444e-01
epoch 0029 | 206.45s | train_full 1.301458e-01 | test_full 1.270821e-01
epoch 0030 | 204.18s | train_full 1.335517e-01 | test_full 1.335268e-01
epoch 0031 | 205.59s | train_full 1.273233e-01 | test_full 1.152235e-01
epoch 0032 | 206.88s | train_full 1.257354e-01 | test_full 1.300725e-01
epoch 0033 | 204.45s | train_full 1.268387e-01 | test_full 1.193134e-01
epoch 0034 | 204.42s | train_full 1.277223e-01 | test_full 1.220266e-01
epoch 0035 | 206.07s | train_full 1.204778e-01 | test_full 1.134499e-01
epoch 0036 | 206.45s | train_full 1.215399e-01 | test_full 1.327687e-01
epoch 0037 | 206.15s | train_full 1.166692e-01 | test_full 1.208285e-01
epoch 0038 | 206.80s | train_full 1.214629e-01 | test_full 1.126314e-01
epoch 0039 | 205.29s | train_full 1.240002e-01 | test_full 1.094493e-01
epoch 0040 | 205.57s | train_full 1.133234e-01 | test_full 1.265667e-01
epoch 0041 | 202.44s | train_full 1.235852e-01 | test_full 1.080763e-01
epoch 0042 | 202.36s | train_full 1.221390e-01 | test_full 1.143031e-01
epoch 0043 | 205.24s | train_full 1.190325e-01 | test_full 1.299740e-01
epoch 0044 | 203.63s | train_full 1.183459e-01 | test_full 1.064738e-01
epoch 0045 | 202.61s | train_full 1.169783e-01 | test_full 1.106070e-01
epoch 0046 | 204.30s | train_full 1.185576e-01 | test_full 1.156036e-01
epoch 0047 | 202.21s | train_full 1.127071e-01 | test_full 1.185453e-01
epoch 0048 | 204.95s | train_full 1.192586e-01 | test_full 1.257750e-01
epoch 0049 | 206.28s | train_full 1.101948e-01 | test_full 1.007306e-01
epoch 0050 | 206.92s | train_full 1.099123e-01 | test_full 1.157837e-01
epoch 0051 | 205.69s | train_full 1.152707e-01 | test_full 1.162957e-01
epoch 0052 | 206.42s | train_full 1.099621e-01 | test_full 1.073848e-01
epoch 0053 | 206.41s | train_full 1.154987e-01 | test_full 1.105873e-01
epoch 0054 | 205.90s | train_full 1.103115e-01 | test_full 1.163672e-01
epoch 0055 | 205.10s | train_full 1.169823e-01 | test_full 1.083782e-01
epoch 0056 | 205.75s | train_full 1.103338e-01 | test_full 1.062341e-01
epoch 0057 | 205.95s | train_full 1.119201e-01 | test_full 9.441463e-02
epoch 0058 | 205.47s | train_full 1.064370e-01 | test_full 1.023038e-01
epoch 0059 | 205.09s | train_full 1.131038e-01 | test_full 1.117296e-01
epoch 0060 | 204.79s | train_full 1.201454e-01 | test_full 1.072524e-01
epoch 0061 | 205.40s | train_full 1.165498e-01 | test_full 1.048208e-01
epoch 0062 | 203.50s | train_full 1.292826e-01 | test_full 1.195150e-01
epoch 0063 | 205.95s | train_full 1.084673e-01 | test_full 1.241656e-01
epoch 0064 | 206.59s | train_full 1.116472e-01 | test_full 1.165424e-01
epoch 0065 | 206.52s | train_full 1.044387e-01 | test_full 1.521987e-01
epoch 0066 | 207.12s | train_full 1.076554e-01 | test_full 1.036965e-01
epoch 0067 | 206.68s | train_full 1.086538e-01 | test_full 9.869109e-02
epoch 0068 | 207.38s | train_full 1.024265e-01 | test_full 9.491429e-02
epoch 0069 | 206.96s | train_full 1.105881e-01 | test_full 1.060451e-01
epoch 0070 | 207.58s | train_full 1.068364e-01 | test_full 9.622635e-02
epoch 0071 | 206.07s | train_full 1.034460e-01 | test_full 1.097969e-01
epoch 0072 | 206.36s | train_full 1.050325e-01 | test_full 9.946530e-02
epoch 0073 | 207.07s | train_full 1.065322e-01 | test_full 9.462360e-02
epoch 0074 | 204.70s | train_full 1.059521e-01 | test_full 1.113142e-01
epoch 0075 | 204.17s | train_full 1.017481e-01 | test_full 9.400356e-02
epoch 0076 | 205.47s | train_full 1.001994e-01 | test_full 1.117018e-01
epoch 0077 | 203.89s | train_full 1.027940e-01 | test_full 1.052564e-01
epoch 0078 | 205.65s | train_full 1.031339e-01 | test_full 9.517953e-02
epoch 0079 | 206.22s | train_full 1.026753e-01 | test_full 1.093445e-01
epoch 0080 | 206.11s | train_full 1.078628e-01 | test_full 9.374010e-02
epoch 0081 | 205.72s | train_full 1.053459e-01 | test_full 1.226419e-01
epoch 0082 | 205.80s | train_full 1.063089e-01 | test_full 9.240605e-02
epoch 0083 | 206.20s | train_full 1.044687e-01 | test_full 1.087669e-01
epoch 0084 | 206.38s | train_full 9.943566e-02 | test_full 1.018051e-01
epoch 0085 | 207.02s | train_full 1.022421e-01 | test_full 9.179808e-02
epoch 0086 | 207.51s | train_full 9.873652e-02 | test_full 1.065122e-01
epoch 0087 | 222.03s | train_full 1.052414e-01 | test_full 1.011958e-01
epoch 0088 | 206.35s | train_full 1.011060e-01 | test_full 9.909508e-02
epoch 0089 | 207.51s | train_full 1.021585e-01 | test_full 9.874612e-02
epoch 0090 | 206.58s | train_full 9.788966e-02 | test_full 9.451546e-02
epoch 0091 | 204.22s | train_full 1.063028e-01 | test_full 1.120677e-01
epoch 0092 | 204.63s | train_full 1.059177e-01 | test_full 9.842642e-02
epoch 0093 | 205.94s | train_full 9.706914e-02 | test_full 1.007094e-01
epoch 0094 | 206.88s | train_full 1.022427e-01 | test_full 9.775073e-02
epoch 0095 | 206.78s | train_full 1.041674e-01 | test_full 8.862514e-02
epoch 0096 | 207.65s | train_full 1.037798e-01 | test_full 9.646159e-02
epoch 0097 | 205.74s | train_full 1.005364e-01 | test_full 9.052191e-02
epoch 0098 | 207.66s | train_full 1.075941e-01 | test_full 8.616108e-02
epoch 0099 | 206.69s | train_full 9.386788e-02 | test_full 9.148198e-02
epoch 0100 | 203.31s | train_full 8.735311e-02 | test_full 7.930529e-02
epoch 0101 | 202.62s | train_full 8.280896e-02 | test_full 8.081523e-02
epoch 0102 | 213.76s | train_full 8.296629e-02 | test_full 8.191510e-02
epoch 0103 | 206.41s | train_full 8.093874e-02 | test_full 7.717993e-02
epoch 0104 | 205.59s | train_full 8.263338e-02 | test_full 9.481289e-02
epoch 0105 | 205.68s | train_full 8.494588e-02 | test_full 7.799986e-02
epoch 0106 | 204.59s | train_full 8.182949e-02 | test_full 8.179685e-02
epoch 0107 | 206.96s | train_full 7.997373e-02 | test_full 7.772597e-02
epoch 0108 | 204.17s | train_full 8.225984e-02 | test_full 9.138477e-02
epoch 0109 | 206.55s | train_full 9.158357e-02 | test_full 8.867948e-02
epoch 0110 | 204.69s | train_full 8.193774e-02 | test_full 8.118908e-02
epoch 0111 | 207.30s | train_full 8.176507e-02 | test_full 9.365374e-02
epoch 0112 | 207.95s | train_full 8.827988e-02 | test_full 7.610358e-02
epoch 0113 | 207.06s | train_full 8.098400e-02 | test_full 9.198993e-02
epoch 0114 | 207.01s | train_full 8.995053e-02 | test_full 9.286453e-02
epoch 0115 | 205.01s | train_full 7.863683e-02 | test_full 8.087353e-02
epoch 0116 | 202.41s | train_full 8.637033e-02 | test_full 9.309109e-02
epoch 0117 | 202.91s | train_full 7.945757e-02 | test_full 8.011915e-02
epoch 0118 | 206.24s | train_full 7.942943e-02 | test_full 7.734680e-02
epoch 0119 | 206.44s | train_full 8.016552e-02 | test_full 8.531551e-02
epoch 0120 | 205.59s | train_full 8.074590e-02 | test_full 7.463098e-02
epoch 0121 | 203.23s | train_full 7.892552e-02 | test_full 7.526908e-02
epoch 0122 | 202.65s | train_full 7.890951e-02 | test_full 7.880692e-02
epoch 0123 | 203.16s | train_full 8.064185e-02 | test_full 8.033789e-02
epoch 0124 | 205.64s | train_full 8.312385e-02 | test_full 7.182635e-02
epoch 0125 | 207.07s | train_full 8.076438e-02 | test_full 7.473505e-02
epoch 0126 | 206.77s | train_full 7.800708e-02 | test_full 6.966668e-02
epoch 0127 | 206.25s | train_full 7.844752e-02 | test_full 7.396464e-02
epoch 0128 | 205.73s | train_full 8.057649e-02 | test_full 9.010153e-02
epoch 0129 | 204.95s | train_full 7.735825e-02 | test_full 7.364727e-02
epoch 0130 | 205.11s | train_full 7.741922e-02 | test_full 8.573971e-02
epoch 0131 | 207.49s | train_full 7.855081e-02 | test_full 7.531867e-02
epoch 0132 | 205.51s | train_full 7.769142e-02 | test_full 7.915574e-02
epoch 0133 | 207.69s | train_full 7.700277e-02 | test_full 7.602068e-02
epoch 0134 | 206.90s | train_full 7.779916e-02 | test_full 7.882902e-02
epoch 0135 | 206.99s | train_full 8.140346e-02 | test_full 7.985107e-02
epoch 0136 | 206.60s | train_full 7.432609e-02 | test_full 8.666938e-02
epoch 0137 | 207.97s | train_full 7.764544e-02 | test_full 7.464508e-02
epoch 0138 | 208.18s | train_full 7.798042e-02 | test_full 7.383052e-02
epoch 0139 | 206.70s | train_full 7.417507e-02 | test_full 6.989400e-02
epoch 0140 | 205.29s | train_full 7.797925e-02 | test_full 7.826478e-02
epoch 0141 | 204.21s | train_full 7.746645e-02 | test_full 7.401212e-02
epoch 0142 | 203.31s | train_full 7.523767e-02 | test_full 8.250854e-02
epoch 0143 | 203.61s | train_full 7.844713e-02 | test_full 7.338013e-02
epoch 0144 | 205.72s | train_full 7.990331e-02 | test_full 8.040072e-02
epoch 0145 | 207.98s | train_full 9.023776e-02 | test_full 7.016925e-02
epoch 0146 | 206.44s | train_full 7.806236e-02 | test_full 7.193972e-02
epoch 0147 | 206.46s | train_full 7.966697e-02 | test_full 8.363659e-02
epoch 0148 | 206.30s | train_full 7.768660e-02 | test_full 7.769029e-02
epoch 0149 | 206.83s | train_full 7.670176e-02 | test_full 6.858108e-02
epoch 0150 | 207.50s | train_full 7.454333e-02 | test_full 7.082661e-02
epoch 0151 | 206.74s | train_full 7.876039e-02 | test_full 1.008133e-01
epoch 0152 | 207.05s | train_full 8.297581e-02 | test_full 7.473213e-02
epoch 0153 | 204.84s | train_full 7.558354e-02 | test_full 7.776263e-02
epoch 0154 | 205.75s | train_full 7.756562e-02 | test_full 9.546818e-02
epoch 0155 | 205.15s | train_full 7.716510e-02 | test_full 7.394282e-02
epoch 0156 | 207.12s | train_full 7.711778e-02 | test_full 8.087128e-02
epoch 0157 | 206.05s | train_full 7.593524e-02 | test_full 6.791541e-02
epoch 0158 | 204.94s | train_full 7.874436e-02 | test_full 9.817738e-02
epoch 0159 | 206.26s | train_full 8.694363e-02 | test_full 7.115836e-02
epoch 0160 | 206.65s | train_full 7.869956e-02 | test_full 7.353098e-02
epoch 0161 | 206.44s | train_full 7.492814e-02 | test_full 6.992899e-02
epoch 0162 | 207.13s | train_full 7.295782e-02 | test_full 7.300380e-02
epoch 0163 | 207.68s | train_full 7.754610e-02 | test_full 7.587273e-02
epoch 0164 | 208.61s | train_full 7.617388e-02 | test_full 6.896936e-02
epoch 0165 | 209.01s | train_full 7.619146e-02 | test_full 7.625604e-02
epoch 0166 | 209.33s | train_full 8.089302e-02 | test_full 6.796499e-02
epoch 0167 | 207.76s | train_full 7.676926e-02 | test_full 7.988467e-02
epoch 0168 | 207.57s | train_full 7.842218e-02 | test_full 7.289649e-02
epoch 0169 | 207.25s | train_full 8.196795e-02 | test_full 7.020906e-02
epoch 0170 | 207.16s | train_full 7.632559e-02 | test_full 7.396606e-02
epoch 0171 | 206.43s | train_full 7.521089e-02 | test_full 7.129726e-02
epoch 0172 | 206.30s | train_full 7.317938e-02 | test_full 7.390751e-02
epoch 0173 | 207.19s | train_full 7.405133e-02 | test_full 8.552954e-02
epoch 0174 | 204.30s | train_full 7.603040e-02 | test_full 6.916201e-02
epoch 0175 | 207.94s | train_full 7.536626e-02 | test_full 7.662977e-02
epoch 0176 | 203.26s | train_full 7.374297e-02 | test_full 7.962554e-02
epoch 0177 | 207.13s | train_full 7.421156e-02 | test_full 6.775106e-02
epoch 0178 | 207.00s | train_full 8.063950e-02 | test_full 8.485746e-02
epoch 0179 | 205.05s | train_full 7.987007e-02 | test_full 6.899152e-02
epoch 0180 | 206.70s | train_full 7.241086e-02 | test_full 7.116861e-02
epoch 0181 | 207.36s | train_full 7.569390e-02 | test_full 7.744201e-02
epoch 0182 | 208.23s | train_full 8.256351e-02 | test_full 7.326496e-02
epoch 0183 | 207.57s | train_full 7.210248e-02 | test_full 6.725037e-02
epoch 0184 | 207.42s | train_full 7.957872e-02 | test_full 6.979780e-02
epoch 0185 | 204.75s | train_full 7.254286e-02 | test_full 7.343611e-02
epoch 0186 | 213.32s | train_full 7.778093e-02 | test_full 7.587679e-02
epoch 0187 | 212.49s | train_full 7.484485e-02 | test_full 6.521723e-02
epoch 0188 | 206.60s | train_full 7.262552e-02 | test_full 8.109864e-02
epoch 0189 | 205.32s | train_full 7.880447e-02 | test_full 9.233803e-02
epoch 0190 | 202.59s | train_full 8.285338e-02 | test_full 9.374561e-02
epoch 0191 | 203.05s | train_full 7.624139e-02 | test_full 7.611665e-02
epoch 0192 | 204.27s | train_full 7.778347e-02 | test_full 7.030372e-02
epoch 0193 | 204.68s | train_full 7.171812e-02 | test_full 7.364297e-02
epoch 0194 | 205.07s | train_full 7.224849e-02 | test_full 7.057231e-02
epoch 0195 | 207.41s | train_full 7.138221e-02 | test_full 7.419372e-02
epoch 0196 | 208.10s | train_full 7.244915e-02 | test_full 6.746875e-02
epoch 0197 | 208.47s | train_full 7.137182e-02 | test_full 6.832005e-02
epoch 0198 | 204.70s | train_full 7.644935e-02 | test_full 7.061764e-02
epoch 0199 | 203.40s | train_full 7.255262e-02 | test_full 9.599995e-02
epoch 0200 | 206.31s | train_full 6.864279e-02 | test_full 6.230630e-02
epoch 0201 | 205.94s | train_full 6.436311e-02 | test_full 6.284449e-02
epoch 0202 | 207.55s | train_full 6.493465e-02 | test_full 6.281824e-02
epoch 0203 | 207.43s | train_full 6.437013e-02 | test_full 6.125017e-02
epoch 0204 | 207.90s | train_full 6.364895e-02 | test_full 6.094378e-02
epoch 0205 | 208.07s | train_full 6.648938e-02 | test_full 6.244097e-02
epoch 0206 | 208.47s | train_full 6.390251e-02 | test_full 6.175480e-02
epoch 0207 | 208.72s | train_full 6.242473e-02 | test_full 5.981264e-02
epoch 0208 | 208.69s | train_full 6.677600e-02 | test_full 5.943564e-02
epoch 0209 | 207.85s | train_full 6.566250e-02 | test_full 6.467482e-02
epoch 0210 | 207.72s | train_full 6.246211e-02 | test_full 6.609263e-02
epoch 0211 | 208.26s | train_full 6.952976e-02 | test_full 6.129530e-02
epoch 0212 | 208.84s | train_full 6.444567e-02 | test_full 6.490171e-02
epoch 0213 | 207.91s | train_full 6.148212e-02 | test_full 6.134733e-02
