metric,value
low_band_spectral_rel_l2,1.87907405e-02
mid_band_spectral_rel_l2,4.67399549e+00
high_band_spectral_rel_l2,7.81055969e+02
high_frequency_energy_ratio_error,2.32814790e-09
gradient_rel_l2,1.05176285e-01
