nohup: ignoring input
epoch 0075 | 0.24s | horizon 01 | train 1.363096e-03 | test 6.093931e-02
epoch 0076 | 0.24s | horizon 01 | train 1.367594e-03 | test 5.215926e-02
epoch 0077 | 0.24s | horizon 01 | train 1.331634e-03 | test 5.452469e-02
epoch 0078 | 0.25s | horizon 01 | train 1.335060e-03 | test 5.303818e-02
epoch 0079 | 0.24s | horizon 01 | train 1.326446e-03 | test 5.327091e-02
epoch 0080 | 0.24s | horizon 01 | train 1.326556e-03 | test 5.734684e-02
epoch 0081 | 0.24s | horizon 01 | train 1.381701e-03 | test 5.718091e-02
epoch 0082 | 0.24s | horizon 01 | train 1.397402e-03 | test 6.354484e-02
epoch 0083 | 0.25s | horizon 01 | train 1.421228e-03 | test 6.552018e-02
epoch 0084 | 0.24s | horizon 01 | train 1.359651e-03 | test 5.018352e-02
epoch 0085 | 0.27s | horizon 01 | train 1.324234e-03 | test 5.090028e-02
epoch 0086 | 0.26s | horizon 01 | train 1.312829e-03 | test 5.059473e-02
epoch 0087 | 0.34s | horizon 01 | train 1.334316e-03 | test 6.912811e-02
epoch 0088 | 0.62s | horizon 01 | train 1.327666e-03 | test 5.598985e-02
epoch 0089 | 0.27s | horizon 01 | train 1.304231e-03 | test 5.249084e-02
epoch 0090 | 0.25s | horizon 01 | train 1.347694e-03 | test 6.059354e-02
epoch 0091 | 0.24s | horizon 01 | train 1.338963e-03 | test 4.834099e-02
epoch 0092 | 0.24s | horizon 01 | train 1.309951e-03 | test 5.294555e-02
epoch 0093 | 0.28s | horizon 01 | train 1.309067e-03 | test 4.860882e-02
epoch 0094 | 0.27s | horizon 01 | train 1.288997e-03 | test 5.217219e-02
epoch 0095 | 0.27s | horizon 01 | train 1.272153e-03 | test 4.958338e-02
epoch 0096 | 0.28s | horizon 01 | train 1.254095e-03 | test 6.165313e-02
epoch 0097 | 0.27s | horizon 01 | train 1.290903e-03 | test 5.431029e-02
epoch 0098 | 0.31s | horizon 01 | train 1.287031e-03 | test 5.291589e-02
epoch 0099 | 0.32s | horizon 01 | train 1.271314e-03 | test 4.986375e-02
epoch 0100 | 0.32s | horizon 01 | train 1.226124e-03 | test 4.843098e-02
epoch 0101 | 0.33s | horizon 01 | train 1.221686e-03 | test 4.808626e-02
epoch 0102 | 0.32s | horizon 01 | train 1.219372e-03 | test 4.733244e-02
epoch 0103 | 0.33s | horizon 01 | train 1.222969e-03 | test 4.763189e-02
epoch 0104 | 0.33s | horizon 01 | train 1.218227e-03 | test 4.829486e-02
epoch 0105 | 0.32s | horizon 01 | train 1.214306e-03 | test 4.979193e-02
epoch 0106 | 0.32s | horizon 01 | train 1.219659e-03 | test 4.880680e-02
epoch 0107 | 0.31s | horizon 01 | train 1.208618e-03 | test 4.763118e-02
epoch 0108 | 0.29s | horizon 01 | train 1.214176e-03 | test 4.692526e-02
epoch 0109 | 0.27s | horizon 01 | train 1.204368e-03 | test 4.898008e-02
epoch 0110 | 0.30s | horizon 01 | train 1.188673e-03 | test 4.659797e-02
epoch 0111 | 0.30s | horizon 01 | train 1.196129e-03 | test 5.216460e-02
epoch 0112 | 0.30s | horizon 01 | train 1.201702e-03 | test 4.881263e-02
epoch 0113 | 0.30s | horizon 01 | train 1.223098e-03 | test 5.022965e-02
epoch 0114 | 0.30s | horizon 01 | train 1.199673e-03 | test 4.675881e-02
epoch 0115 | 0.25s | horizon 01 | train 1.188531e-03 | test 4.656615e-02
epoch 0116 | 0.24s | horizon 01 | train 1.185229e-03 | test 4.933278e-02
epoch 0117 | 0.25s | horizon 01 | train 1.190319e-03 | test 4.643490e-02
epoch 0118 | 0.24s | horizon 01 | train 1.199603e-03 | test 4.802091e-02
epoch 0119 | 0.29s | horizon 01 | train 1.195871e-03 | test 4.727203e-02
epoch 0120 | 0.26s | horizon 01 | train 1.191610e-03 | test 4.624524e-02
epoch 0121 | 0.24s | horizon 01 | train 1.181362e-03 | test 5.079340e-02
epoch 0122 | 0.24s | horizon 01 | train 1.195231e-03 | test 5.003825e-02
epoch 0123 | 0.24s | horizon 01 | train 1.196852e-03 | test 4.697922e-02
epoch 0124 | 0.25s | horizon 01 | train 1.187260e-03 | test 4.634909e-02
epoch 0125 | 0.24s | horizon 01 | train 1.184833e-03 | test 4.821055e-02
epoch 0126 | 0.24s | horizon 01 | train 1.182360e-03 | test 4.609792e-02
epoch 0127 | 0.24s | horizon 01 | train 1.177644e-03 | test 4.886079e-02
epoch 0128 | 0.24s | horizon 01 | train 1.182534e-03 | test 4.860496e-02
epoch 0129 | 0.25s | horizon 01 | train 1.166971e-03 | test 4.648812e-02
epoch 0130 | 0.24s | horizon 01 | train 1.157392e-03 | test 4.649474e-02
epoch 0131 | 0.24s | horizon 01 | train 1.158375e-03 | test 4.625540e-02
epoch 0132 | 0.24s | horizon 01 | train 1.154133e-03 | test 4.817085e-02
epoch 0133 | 0.24s | horizon 01 | train 1.170365e-03 | test 4.870252e-02
epoch 0134 | 0.27s | horizon 01 | train 1.169841e-03 | test 4.714312e-02
epoch 0135 | 0.29s | horizon 01 | train 1.161849e-03 | test 4.618268e-02
epoch 0136 | 0.28s | horizon 01 | train 1.162644e-03 | test 4.713494e-02
epoch 0137 | 0.24s | horizon 01 | train 1.153924e-03 | test 4.770029e-02
epoch 0138 | 0.28s | horizon 01 | train 1.146609e-03 | test 4.738523e-02
epoch 0139 | 0.27s | horizon 01 | train 1.157011e-03 | test 4.548604e-02
epoch 0140 | 0.29s | horizon 01 | train 1.143624e-03 | test 4.700864e-02
epoch 0141 | 0.30s | horizon 01 | train 1.158522e-03 | test 4.809663e-02
epoch 0142 | 0.36s | horizon 01 | train 1.163741e-03 | test 4.719262e-02
epoch 0143 | 0.63s | horizon 01 | train 1.161318e-03 | test 4.901133e-02
epoch 0144 | 0.26s | horizon 01 | train 1.148365e-03 | test 4.700995e-02
epoch 0145 | 0.24s | horizon 01 | train 1.160264e-03 | test 5.006496e-02
epoch 0146 | 0.24s | horizon 01 | train 1.149456e-03 | test 4.708359e-02
epoch 0147 | 0.24s | horizon 01 | train 1.172529e-03 | test 4.905229e-02
epoch 0148 | 0.29s | horizon 01 | train 1.142923e-03 | test 4.856732e-02
epoch 0149 | 0.25s | horizon 01 | train 1.154006e-03 | test 4.680116e-02
epoch 0150 | 0.24s | horizon 01 | train 1.138350e-03 | test 4.952303e-02
epoch 0151 | 0.24s | horizon 01 | train 1.134785e-03 | test 4.669358e-02
epoch 0152 | 0.24s | horizon 01 | train 1.132253e-03 | test 4.518711e-02
epoch 0153 | 0.24s | horizon 01 | train 1.127097e-03 | test 4.622042e-02
epoch 0154 | 0.24s | horizon 01 | train 1.122632e-03 | test 4.898030e-02
epoch 0155 | 0.24s | horizon 01 | train 1.164116e-03 | test 4.928185e-02
epoch 0156 | 0.24s | horizon 01 | train 1.141592e-03 | test 4.582023e-02
epoch 0157 | 0.24s | horizon 01 | train 1.121655e-03 | test 4.675791e-02
epoch 0158 | 0.25s | horizon 01 | train 1.130838e-03 | test 4.570965e-02
epoch 0159 | 0.29s | horizon 01 | train 1.144321e-03 | test 5.075287e-02
epoch 0160 | 0.30s | horizon 01 | train 1.133730e-03 | test 5.201493e-02
epoch 0161 | 0.29s | horizon 01 | train 1.126737e-03 | test 4.822706e-02
epoch 0162 | 0.30s | horizon 01 | train 1.111393e-03 | test 4.621203e-02
epoch 0163 | 0.29s | horizon 01 | train 1.114554e-03 | test 4.904627e-02
epoch 0164 | 0.30s | horizon 01 | train 1.140648e-03 | test 4.616082e-02
epoch 0165 | 0.30s | horizon 01 | train 1.117076e-03 | test 4.710523e-02
epoch 0166 | 0.28s | horizon 01 | train 1.111661e-03 | test 4.731249e-02
epoch 0167 | 0.29s | horizon 01 | train 1.113130e-03 | test 4.850938e-02
