nohup: ignoring input
epoch 0082 | 63.18s | horizon 10 | train 4.349942e-03 | test 6.776925e-01
epoch 0083 | 70.46s | horizon 10 | train 3.904445e-03 | test 6.596881e-01
epoch 0084 | 70.93s | horizon 10 | train 3.858473e-03 | test 6.337361e-01
epoch 0085 | 60.96s | horizon 10 | train 3.836187e-03 | test 6.498957e-01
epoch 0086 | 58.06s | horizon 10 | train 3.786382e-03 | test 5.892515e-01
epoch 0087 | 57.92s | horizon 10 | train 3.745486e-03 | test 6.689613e-01
epoch 0088 | 61.68s | horizon 10 | train 3.738690e-03 | test 6.369355e-01
epoch 0089 | 58.28s | horizon 10 | train 3.714978e-03 | test 6.266092e-01
epoch 0090 | 53.76s | horizon 10 | train 3.696007e-03 | test 6.349861e-01
epoch 0091 | 59.63s | horizon 10 | train 3.641505e-03 | test 6.014610e-01
epoch 0092 | 57.68s | horizon 10 | train 3.609182e-03 | test 6.333042e-01
epoch 0093 | 53.65s | horizon 10 | train 3.615763e-03 | test 6.103785e-01
epoch 0094 | 58.54s | horizon 10 | train 3.469033e-03 | test 5.869864e-01
epoch 0095 | 56.25s | horizon 10 | train 3.688294e-03 | test 6.047115e-01
epoch 0096 | 56.97s | horizon 10 | train 3.520761e-03 | test 6.120407e-01
epoch 0097 | 53.51s | horizon 10 | train 3.492241e-03 | test 6.112856e-01
epoch 0098 | 53.12s | horizon 10 | train 3.583559e-03 | test 6.180377e-01
epoch 0099 | 55.80s | horizon 10 | train 3.409541e-03 | test 5.871159e-01
epoch 0100 | 55.93s | horizon 10 | train 3.319622e-03 | test 6.125951e-01
epoch 0101 | 52.48s | horizon 10 | train 3.299582e-03 | test 6.159692e-01
epoch 0102 | 53.96s | horizon 10 | train 3.308500e-03 | test 6.250082e-01
epoch 0103 | 53.24s | horizon 10 | train 3.275978e-03 | test 6.201515e-01
epoch 0104 | 54.93s | horizon 10 | train 3.377363e-03 | test 6.101773e-01
epoch 0105 | 52.07s | horizon 10 | train 3.258820e-03 | test 5.908985e-01
epoch 0106 | 53.48s | horizon 10 | train 3.327717e-03 | test 6.068850e-01
epoch 0107 | 46.13s | horizon 10 | train 3.322840e-03 | test 5.893155e-01
epoch 0108 | 48.24s | horizon 10 | train 3.308031e-03 | test 6.142560e-01
epoch 0109 | 47.43s | horizon 10 | train 3.279706e-03 | test 6.237167e-01
epoch 0110 | 45.17s | horizon 10 | train 3.259993e-03 | test 6.037042e-01
epoch 0111 | 45.99s | horizon 10 | train 3.300861e-03 | test 6.165060e-01
epoch 0112 | 46.06s | horizon 10 | train 3.294151e-03 | test 6.070111e-01
epoch 0113 | 46.59s | horizon 10 | train 3.291441e-03 | test 6.059087e-01
epoch 0114 | 45.11s | horizon 10 | train 3.302002e-03 | test 6.068399e-01
epoch 0115 | 45.81s | horizon 10 | train 3.238038e-03 | test 6.120448e-01
epoch 0116 | 47.19s | horizon 10 | train 3.221947e-03 | test 6.066257e-01
epoch 0117 | 46.87s | horizon 10 | train 3.343146e-03 | test 5.931645e-01
epoch 0118 | 46.54s | horizon 10 | train 3.245475e-03 | test 5.883796e-01
epoch 0119 | 43.10s | horizon 10 | train 3.240814e-03 | test 6.083866e-01
epoch 0120 | 126.18s | horizon 40 | train 9.790441e-02 | test 2.388230e-01
epoch 0121 | 125.77s | horizon 40 | train 5.458490e-02 | test 2.373075e-01
epoch 0122 | 126.51s | horizon 40 | train 4.909999e-02 | test 2.349360e-01
epoch 0123 | 137.09s | horizon 40 | train 4.638936e-02 | test 2.086206e-01
epoch 0124 | 127.70s | horizon 40 | train 4.509052e-02 | test 2.101540e-01
epoch 0125 | 128.58s | horizon 40 | train 4.288697e-02 | test 2.041474e-01
epoch 0126 | 125.05s | horizon 40 | train 4.196471e-02 | test 2.037224e-01
epoch 0127 | 122.10s | horizon 40 | train 4.081532e-02 | test 1.975951e-01
epoch 0128 | 122.25s | horizon 40 | train 3.876828e-02 | test 1.964856e-01
epoch 0129 | 122.12s | horizon 40 | train 3.750197e-02 | test 2.022694e-01
epoch 0130 | 119.56s | horizon 40 | train 3.706042e-02 | test 1.916379e-01
epoch 0131 | 117.83s | horizon 40 | train 3.663094e-02 | test 1.897373e-01
epoch 0132 | 119.91s | horizon 40 | train 3.579143e-02 | test 1.873346e-01
epoch 0133 | 115.47s | horizon 40 | train 3.510426e-02 | test 1.869216e-01
epoch 0134 | 109.88s | horizon 40 | train 3.555499e-02 | test 1.880179e-01
epoch 0135 | 110.04s | horizon 40 | train 3.509566e-02 | test 1.863756e-01
epoch 0136 | 110.55s | horizon 40 | train 3.430515e-02 | test 1.828227e-01
epoch 0137 | 111.20s | horizon 40 | train 3.332798e-02 | test 1.852481e-01
epoch 0138 | 109.18s | horizon 40 | train 3.344366e-02 | test 1.808183e-01
epoch 0139 | 110.58s | horizon 40 | train 3.365235e-02 | test 1.859235e-01
epoch 0140 | 109.43s | horizon 40 | train 3.306490e-02 | test 1.839119e-01
epoch 0141 | 108.79s | horizon 40 | train 3.260429e-02 | test 1.791618e-01
epoch 0142 | 111.45s | horizon 40 | train 3.189027e-02 | test 1.841620e-01
epoch 0143 | 110.60s | horizon 40 | train 3.238936e-02 | test 1.831342e-01
epoch 0144 | 109.41s | horizon 40 | train 3.192418e-02 | test 1.764676e-01
epoch 0145 | 111.56s | horizon 40 | train 3.114203e-02 | test 1.755517e-01
epoch 0146 | 111.58s | horizon 40 | train 3.044842e-02 | test 1.760020e-01
epoch 0147 | 111.77s | horizon 40 | train 3.065489e-02 | test 1.758161e-01
epoch 0148 | 109.17s | horizon 40 | train 3.034192e-02 | test 1.740161e-01
epoch 0149 | 110.39s | horizon 40 | train 3.045449e-02 | test 1.763624e-01
epoch 0150 | 110.94s | horizon 40 | train 2.991955e-02 | test 1.751571e-01
epoch 0151 | 109.07s | horizon 40 | train 2.945904e-02 | test 1.779862e-01
epoch 0152 | 108.42s | horizon 40 | train 2.931369e-02 | test 1.720577e-01
epoch 0153 | 106.44s | horizon 40 | train 2.939956e-02 | test 1.689263e-01
epoch 0154 | 109.48s | horizon 40 | train 2.878579e-02 | test 1.706457e-01
epoch 0155 | 109.86s | horizon 40 | train 2.926477e-02 | test 1.709936e-01
epoch 0156 | 109.70s | horizon 40 | train 2.905905e-02 | test 1.674992e-01
epoch 0157 | 110.09s | horizon 40 | train 2.838676e-02 | test 1.701502e-01
epoch 0158 | 110.48s | horizon 40 | train 2.859246e-02 | test 1.685797e-01
epoch 0159 | 111.02s | horizon 40 | train 2.803730e-02 | test 1.693858e-01
epoch 0160 | 109.26s | horizon 40 | train 2.791024e-02 | test 1.665502e-01
epoch 0161 | 111.09s | horizon 40 | train 2.784589e-02 | test 1.893871e-01
epoch 0162 | 110.54s | horizon 40 | train 2.843812e-02 | test 1.654588e-01
epoch 0163 | 109.11s | horizon 40 | train 2.805840e-02 | test 1.647216e-01
epoch 0164 | 110.78s | horizon 40 | train 2.758311e-02 | test 1.657392e-01
epoch 0165 | 108.37s | horizon 40 | train 2.731868e-02 | test 1.667995e-01
epoch 0166 | 111.48s | horizon 40 | train 2.711028e-02 | test 1.640919e-01
epoch 0167 | 111.22s | horizon 40 | train 2.683380e-02 | test 1.626910e-01
epoch 0168 | 108.63s | horizon 40 | train 2.655905e-02 | test 1.625050e-01
epoch 0169 | 107.06s | horizon 40 | train 2.650028e-02 | test 1.619134e-01
epoch 0170 | 110.70s | horizon 40 | train 2.618028e-02 | test 1.638667e-01
epoch 0171 | 111.22s | horizon 40 | train 2.612951e-02 | test 1.608512e-01
epoch 0172 | 110.85s | horizon 40 | train 2.580883e-02 | test 1.603569e-01
epoch 0173 | 111.41s | horizon 40 | train 2.587056e-02 | test 1.598428e-01
epoch 0174 | 111.96s | horizon 40 | train 2.564270e-02 | test 1.595364e-01
epoch 0175 | 111.14s | horizon 40 | train 2.565802e-02 | test 1.575941e-01
epoch 0176 | 109.47s | horizon 40 | train 2.522853e-02 | test 1.572361e-01
epoch 0177 | 110.73s | horizon 40 | train 2.556233e-02 | test 1.583508e-01
epoch 0178 | 109.09s | horizon 40 | train 2.500707e-02 | test 1.568629e-01
epoch 0179 | 109.62s | horizon 40 | train 2.544055e-02 | test 1.581691e-01
epoch 0180 | 109.85s | horizon 40 | train 2.494185e-02 | test 1.558398e-01
epoch 0181 | 109.72s | horizon 40 | train 2.458822e-02 | test 1.640076e-01
epoch 0182 | 110.44s | horizon 40 | train 2.451136e-02 | test 1.564886e-01
epoch 0183 | 110.28s | horizon 40 | train 2.454129e-02 | test 1.579284e-01
epoch 0184 | 110.73s | horizon 40 | train 2.455041e-02 | test 1.537811e-01
epoch 0185 | 109.26s | horizon 40 | train 2.408560e-02 | test 1.529651e-01
epoch 0186 | 110.62s | horizon 40 | train 2.409219e-02 | test 1.541774e-01
epoch 0187 | 110.96s | horizon 40 | train 2.440787e-02 | test 1.531490e-01
epoch 0188 | 108.16s | horizon 40 | train 2.374009e-02 | test 1.530424e-01
epoch 0189 | 109.86s | horizon 40 | train 2.354584e-02 | test 1.530070e-01
epoch 0190 | 107.20s | horizon 40 | train 2.340745e-02 | test 1.506865e-01
epoch 0191 | 108.42s | horizon 40 | train 2.327533e-02 | test 1.508007e-01
epoch 0192 | 110.55s | horizon 40 | train 2.342536e-02 | test 1.546488e-01
epoch 0193 | 109.97s | horizon 40 | train 2.323649e-02 | test 1.526207e-01
epoch 0194 | 110.18s | horizon 40 | train 2.309295e-02 | test 1.502749e-01
epoch 0195 | 110.17s | horizon 40 | train 2.277213e-02 | test 1.494955e-01
epoch 0196 | 110.77s | horizon 40 | train 2.248026e-02 | test 1.491888e-01
epoch 0197 | 110.31s | horizon 40 | train 2.240295e-02 | test 1.503744e-01
epoch 0198 | 109.04s | horizon 40 | train 2.254243e-02 | test 1.505307e-01
epoch 0199 | 109.34s | horizon 40 | train 2.238199e-02 | test 1.478589e-01
epoch 0200 | 110.04s | horizon 40 | train 2.168962e-02 | test 1.479407e-01
epoch 0201 | 107.73s | horizon 40 | train 2.179802e-02 | test 1.472013e-01
epoch 0202 | 107.12s | horizon 40 | train 2.170880e-02 | test 1.463061e-01
epoch 0203 | 107.62s | horizon 40 | train 2.160673e-02 | test 1.459307e-01
epoch 0204 | 108.79s | horizon 40 | train 2.160230e-02 | test 1.463245e-01
epoch 0205 | 108.11s | horizon 40 | train 2.155119e-02 | test 1.460749e-01
epoch 0206 | 110.44s | horizon 40 | train 2.160500e-02 | test 1.452844e-01
epoch 0207 | 111.07s | horizon 40 | train 2.131544e-02 | test 1.470610e-01
epoch 0208 | 111.04s | horizon 40 | train 2.134815e-02 | test 1.452180e-01
epoch 0209 | 111.12s | horizon 40 | train 2.118995e-02 | test 1.458328e-01
epoch 0210 | 107.64s | horizon 40 | train 2.114264e-02 | test 1.442442e-01
epoch 0211 | 110.36s | horizon 40 | train 2.107666e-02 | test 1.452951e-01
epoch 0212 | 109.29s | horizon 40 | train 2.112102e-02 | test 1.453917e-01
epoch 0213 | 110.52s | horizon 40 | train 2.111631e-02 | test 1.439074e-01
epoch 0214 | 108.57s | horizon 40 | train 2.087165e-02 | test 1.459200e-01
epoch 0215 | 109.75s | horizon 40 | train 2.117772e-02 | test 1.439400e-01
epoch 0216 | 110.87s | horizon 40 | train 2.096480e-02 | test 1.435794e-01
epoch 0217 | 110.75s | horizon 40 | train 2.069212e-02 | test 1.429768e-01
epoch 0218 | 110.32s | horizon 40 | train 2.070651e-02 | test 1.439061e-01
epoch 0219 | 110.42s | horizon 40 | train 2.061637e-02 | test 1.435343e-01
epoch 0220 | 108.56s | horizon 40 | train 2.071921e-02 | test 1.422730e-01
epoch 0221 | 111.53s | horizon 40 | train 2.049891e-02 | test 1.420963e-01
epoch 0222 | 111.42s | horizon 40 | train 2.102875e-02 | test 1.460564e-01
epoch 0223 | 110.40s | horizon 40 | train 2.042741e-02 | test 1.427993e-01
epoch 0224 | 111.27s | horizon 40 | train 2.037482e-02 | test 1.418491e-01
epoch 0225 | 109.61s | horizon 40 | train 2.033952e-02 | test 1.414024e-01
epoch 0226 | 109.81s | horizon 40 | train 2.054981e-02 | test 1.467487e-01
epoch 0227 | 108.13s | horizon 40 | train 2.021173e-02 | test 1.419380e-01
epoch 0228 | 108.71s | horizon 40 | train 2.009787e-02 | test 1.432335e-01
epoch 0229 | 111.01s | horizon 40 | train 2.023385e-02 | test 1.407535e-01
epoch 0230 | 110.18s | horizon 40 | train 2.001790e-02 | test 1.415344e-01
epoch 0231 | 111.35s | horizon 40 | train 1.997765e-02 | test 1.413253e-01
epoch 0232 | 110.77s | horizon 40 | train 1.986272e-02 | test 1.408276e-01
epoch 0233 | 110.60s | horizon 40 | train 1.973754e-02 | test 1.415532e-01
epoch 0234 | 110.41s | horizon 40 | train 1.989179e-02 | test 1.395820e-01
epoch 0235 | 111.35s | horizon 40 | train 1.987079e-02 | test 1.400844e-01
epoch 0236 | 110.81s | horizon 40 | train 1.984863e-02 | test 1.407607e-01
epoch 0237 | 109.25s | horizon 40 | train 1.959865e-02 | test 1.399467e-01
epoch 0238 | 110.85s | horizon 40 | train 1.965032e-02 | test 1.389660e-01
epoch 0239 | 111.21s | horizon 40 | train 1.954185e-02 | test 1.388015e-01
epoch 0240 | 108.39s | horizon 40 | train 1.966641e-02 | test 1.390102e-01
epoch 0241 | 108.44s | horizon 40 | train 1.954815e-02 | test 1.398892e-01
epoch 0242 | 111.20s | horizon 40 | train 1.971472e-02 | test 1.415853e-01
epoch 0243 | 110.82s | horizon 40 | train 1.966845e-02 | test 1.414511e-01
epoch 0244 | 111.08s | horizon 40 | train 1.944531e-02 | test 1.396877e-01
epoch 0245 | 108.05s | horizon 40 | train 1.950283e-02 | test 1.389394e-01
epoch 0246 | 109.29s | horizon 40 | train 1.921798e-02 | test 1.402079e-01
epoch 0247 | 108.25s | horizon 40 | train 1.935663e-02 | test 1.376665e-01
epoch 0248 | 109.30s | horizon 40 | train 1.939492e-02 | test 1.376329e-01
epoch 0249 | 110.49s | horizon 40 | train 1.919384e-02 | test 1.369373e-01
epoch 0250 | 111.17s | horizon 40 | train 1.904181e-02 | test 1.388171e-01
epoch 0251 | 110.96s | horizon 40 | train 1.910155e-02 | test 1.366793e-01
epoch 0252 | 109.93s | horizon 40 | train 1.908709e-02 | test 1.363981e-01
epoch 0253 | 111.22s | horizon 40 | train 1.898003e-02 | test 1.377794e-01
epoch 0254 | 110.56s | horizon 40 | train 1.901481e-02 | test 1.370768e-01
epoch 0255 | 109.02s | horizon 40 | train 1.889129e-02 | test 1.375993e-01
epoch 0256 | 111.39s | horizon 40 | train 1.892275e-02 | test 1.370150e-01
epoch 0257 | 110.48s | horizon 40 | train 1.887725e-02 | test 1.368449e-01
epoch 0258 | 110.93s | horizon 40 | train 1.870376e-02 | test 1.365143e-01
epoch 0259 | 109.74s | horizon 40 | train 1.870202e-02 | test 1.352719e-01
epoch 0260 | 111.09s | horizon 40 | train 1.859759e-02 | test 1.362832e-01
epoch 0261 | 112.29s | horizon 40 | train 1.851837e-02 | test 1.360562e-01
epoch 0262 | 109.37s | horizon 40 | train 1.880249e-02 | test 1.374927e-01
epoch 0263 | 107.62s | horizon 40 | train 1.854089e-02 | test 1.367562e-01
epoch 0264 | 107.62s | horizon 40 | train 1.850272e-02 | test 1.343800e-01
epoch 0265 | 110.41s | horizon 40 | train 1.840565e-02 | test 1.349750e-01
epoch 0266 | 110.07s | horizon 40 | train 1.841783e-02 | test 1.347297e-01
epoch 0267 | 109.62s | horizon 40 | train 1.833586e-02 | test 1.347533e-01
epoch 0268 | 109.32s | horizon 40 | train 1.824663e-02 | test 1.339331e-01
epoch 0269 | 108.56s | horizon 40 | train 1.824842e-02 | test 1.349906e-01
