nohup: ignoring input
epoch 0065 | 20.86s | horizon 05 | fallback 00 | train 4.088113e-02 | test 6.870023e-01
epoch 0066 | 21.21s | horizon 05 | fallback 00 | train 3.993087e-02 | test 6.888437e-01
epoch 0067 | 20.73s | horizon 05 | fallback 00 | train 3.958342e-02 | test 6.730288e-01
epoch 0068 | 21.23s | horizon 05 | fallback 00 | train 3.875957e-02 | test 6.679240e-01
epoch 0069 | 21.28s | horizon 05 | fallback 00 | train 3.827208e-02 | test 6.691314e-01
epoch 0070 | 21.26s | horizon 05 | fallback 00 | train 3.853192e-02 | test 7.078542e-01
epoch 0071 | 20.47s | horizon 05 | fallback 00 | train 3.796930e-02 | test 6.826049e-01
epoch 0072 | 21.64s | horizon 05 | fallback 00 | train 3.752760e-02 | test 6.825553e-01
epoch 0073 | 20.72s | horizon 05 | fallback 00 | train 3.702962e-02 | test 6.551598e-01
epoch 0074 | 23.60s | horizon 05 | fallback 00 | train 3.721694e-02 | test 6.680025e-01
epoch 0075 | 20.71s | horizon 05 | fallback 00 | train 3.787052e-02 | test 6.826110e-01
epoch 0076 | 21.63s | horizon 05 | fallback 00 | train 3.688577e-02 | test 6.658812e-01
epoch 0077 | 20.75s | horizon 05 | fallback 00 | train 3.606073e-02 | test 6.802939e-01
epoch 0078 | 20.67s | horizon 05 | fallback 00 | train 3.547019e-02 | test 7.108359e-01
epoch 0079 | 21.17s | horizon 05 | fallback 00 | train 3.550323e-02 | test 6.755423e-01
epoch 0080 | 36.07s | horizon 10 | fallback 00 | train 1.597748e-01 | test 5.196368e-01
epoch 0081 | 35.98s | horizon 10 | fallback 00 | train 1.352961e-01 | test 5.042619e-01
epoch 0082 | 36.46s | horizon 10 | fallback 00 | train 1.258088e-01 | test 5.409800e-01
epoch 0083 | 35.66s | horizon 10 | fallback 00 | train 1.259977e-01 | test 5.121088e-01
epoch 0084 | 36.56s | horizon 10 | fallback 00 | train 1.177379e-01 | test 4.992879e-01
epoch 0085 | 36.13s | horizon 10 | fallback 00 | train 1.133764e-01 | test 4.853966e-01
epoch 0086 | 35.79s | horizon 10 | fallback 00 | train 1.135316e-01 | test 4.735357e-01
epoch 0087 | 34.50s | horizon 10 | fallback 00 | train 1.105622e-01 | test 4.631809e-01
epoch 0088 | 36.44s | horizon 10 | fallback 00 | train 1.096075e-01 | test 5.235392e-01
epoch 0089 | 36.23s | horizon 10 | fallback 00 | train 1.065345e-01 | test 5.190104e-01
epoch 0090 | 37.75s | horizon 10 | fallback 00 | train 1.031524e-01 | test 5.226952e-01
epoch 0091 | 37.06s | horizon 10 | fallback 00 | train 1.042549e-01 | test 4.603720e-01
epoch 0092 | 35.53s | horizon 10 | fallback 00 | train 1.007580e-01 | test 5.085081e-01
epoch 0093 | 34.61s | horizon 10 | fallback 00 | train 1.011322e-01 | test 4.474068e-01
epoch 0094 | 34.84s | horizon 10 | fallback 00 | train 9.892377e-02 | test 4.671965e-01
epoch 0095 | 34.58s | horizon 10 | fallback 00 | train 9.632338e-02 | test 4.947096e-01
epoch 0096 | 35.90s | horizon 10 | fallback 00 | train 9.525956e-02 | test 4.803214e-01
epoch 0097 | 35.31s | horizon 10 | fallback 00 | train 9.480196e-02 | test 4.828306e-01
