epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
53,24.032367,5,0,1.77752985e-04,1.03827017e-04,,4.62504010e-02,5.00000000e-05,745342
54,23.579915,5,0,1.76569390e-04,1.02920009e-04,,4.64459331e-02,5.00000000e-05,745342
55,24.160699,5,0,1.76039119e-04,1.02681242e-04,,4.59170736e-02,5.00000000e-05,745342
56,23.947219,5,0,1.74154633e-04,1.01193310e-04,,4.71226425e-02,5.00000000e-05,745342
57,23.714919,5,0,1.72652725e-04,9.99514764e-05,,5.84215021e-02,5.00000000e-05,745342
58,24.332151,5,0,1.74500911e-04,1.01977694e-04,,6.32187788e-02,5.00000000e-05,745342
59,24.038534,5,0,1.71914911e-04,9.97827116e-05,,4.91516036e-02,5.00000000e-05,745342
60,23.492758,5,0,1.70308309e-04,9.85975908e-05,,6.69909459e-02,5.00000000e-05,745342
61,23.629847,5,0,1.69600333e-04,9.81397162e-05,,4.80179451e-02,5.00000000e-05,745342
62,24.022598,5,0,1.69437594e-04,9.82681274e-05,,5.17720826e-02,5.00000000e-05,745342
63,27.525970,5,0,1.70103782e-04,9.91875917e-05,,4.85670094e-02,5.00000000e-05,745342
64,28.527000,5,0,1.68561174e-04,9.79681664e-05,,7.79639938e-02,5.00000000e-05,745342
65,25.402638,5,0,1.67161511e-04,9.68596029e-05,,5.02112329e-02,5.00000000e-05,745342
66,23.635230,5,0,1.64579121e-04,9.46874015e-05,,5.82767330e-02,5.00000000e-05,745342
67,24.151143,5,0,1.69137507e-04,9.93127692e-05,,5.39037517e-02,5.00000000e-05,745342
68,23.657615,5,0,1.63249616e-04,9.39523590e-05,,1.00555486e-01,5.00000000e-05,745342
69,23.369146,5,0,1.62164055e-04,9.30915432e-05,,8.07782352e-02,5.00000000e-05,745342
70,23.594724,5,0,1.61736767e-04,9.29703921e-05,,5.30839838e-02,5.00000000e-05,745342
71,30.190389,5,0,1.61790028e-04,9.32407808e-05,,1.03403230e-01,5.00000000e-05,745342
72,30.518176,5,0,1.63412823e-04,9.50111229e-05,,5.78764731e-02,5.00000000e-05,745342
73,31.162159,5,0,1.60196626e-04,9.21355831e-05,,8.54302070e-02,5.00000000e-05,745342
74,31.116421,5,0,1.58554709e-04,9.07159699e-05,,8.39791143e-02,5.00000000e-05,745342
75,29.190452,5,0,1.58107273e-04,9.04754293e-05,,6.32975286e-02,5.00000000e-05,745342
76,28.007821,5,0,1.60366694e-04,9.28169616e-05,,5.74497774e-02,5.00000000e-05,745342
77,29.711772,5,0,1.57151819e-04,8.99643161e-05,,6.51289237e-02,5.00000000e-05,745342
78,29.964186,5,0,1.57266453e-04,9.01871816e-05,,7.04169515e-02,5.00000000e-05,745342
79,29.161014,5,0,1.56026809e-04,8.91431402e-05,,6.83999985e-02,5.00000000e-05,745342
80,47.308409,10,0,3.29354109e-04,2.73373012e-04,,1.04831984e-01,5.00000000e-05,745342
81,47.405591,10,0,2.94246649e-04,2.33727714e-04,,4.54439732e-02,5.00000000e-05,745342
82,47.790418,10,0,2.46566215e-04,1.83596603e-04,,4.52975383e-02,5.00000000e-05,745342
83,47.343663,10,0,2.57908549e-04,1.93164679e-04,,1.22317628e-01,5.00000000e-05,745342
84,43.851485,10,0,2.58076189e-04,1.90918213e-04,,4.62877157e-02,5.00000000e-05,745342
85,44.553333,10,0,2.22865656e-04,1.54903164e-04,,4.25096446e-02,5.00000000e-05,745342
86,44.424950,10,0,2.40429412e-04,1.71729317e-04,,8.90473273e-02,5.00000000e-05,745342
87,45.402609,10,0,2.12291850e-04,1.43612980e-04,,4.67190193e-02,5.00000000e-05,745342
88,44.336948,10,0,2.41928857e-04,1.72274425e-04,,5.94287699e-02,5.00000000e-05,745342
