metric,value
low_band_spectral_rel_l2,1.85520649e-02
mid_band_spectral_rel_l2,6.05333757e+00
high_band_spectral_rel_l2,9.17889587e+02
high_frequency_energy_ratio_error,3.22304183e-09
gradient_rel_l2,1.04622647e-01
