nohup: ignoring input
epoch 0000 | 38.57s | train_full 6.637538e-01 | test_full 4.831036e-01
epoch 0001 | 34.52s | train_full 4.397295e-01 | test_full 3.902584e-01
epoch 0002 | 34.48s | train_full 3.750468e-01 | test_full 3.599524e-01
epoch 0003 | 33.88s | train_full 3.545113e-01 | test_full 3.457008e-01
epoch 0004 | 34.38s | train_full 3.373480e-01 | test_full 3.293240e-01
epoch 0005 | 34.56s | train_full 3.336494e-01 | test_full 3.076504e-01
epoch 0006 | 34.32s | train_full 3.108612e-01 | test_full 3.005063e-01
epoch 0007 | 34.68s | train_full 3.019698e-01 | test_full 3.245174e-01
epoch 0008 | 33.97s | train_full 3.105942e-01 | test_full 3.137946e-01
epoch 0009 | 33.85s | train_full 2.919382e-01 | test_full 3.051725e-01
epoch 0010 | 34.43s | train_full 2.951087e-01 | test_full 2.904070e-01
epoch 0011 | 34.11s | train_full 2.855604e-01 | test_full 2.746995e-01
epoch 0012 | 34.22s | train_full 2.814470e-01 | test_full 2.989266e-01
epoch 0013 | 34.14s | train_full 2.740966e-01 | test_full 2.881692e-01
epoch 0014 | 34.01s | train_full 2.694992e-01 | test_full 2.899361e-01
epoch 0015 | 34.17s | train_full 2.717865e-01 | test_full 2.715102e-01
epoch 0016 | 34.23s | train_full 2.622697e-01 | test_full 2.631044e-01
epoch 0017 | 34.40s | train_full 2.663510e-01 | test_full 2.757890e-01
epoch 0018 | 33.72s | train_full 2.723501e-01 | test_full 2.780586e-01
epoch 0019 | 33.93s | train_full 2.601857e-01 | test_full 2.585166e-01
epoch 0020 | 33.96s | train_full 2.629368e-01 | test_full 2.706519e-01
epoch 0021 | 34.36s | train_full 2.582516e-01 | test_full 2.909724e-01
epoch 0022 | 34.37s | train_full 2.573999e-01 | test_full 2.499457e-01
epoch 0023 | 34.31s | train_full 2.561793e-01 | test_full 2.675166e-01
epoch 0024 | 33.89s | train_full 2.538320e-01 | test_full 2.492448e-01
epoch 0025 | 34.30s | train_full 2.404020e-01 | test_full 2.463973e-01
epoch 0026 | 34.06s | train_full 2.399921e-01 | test_full 2.691181e-01
epoch 0027 | 34.12s | train_full 2.460334e-01 | test_full 2.579303e-01
epoch 0028 | 33.72s | train_full 2.479875e-01 | test_full 2.493047e-01
epoch 0029 | 33.78s | train_full 2.382603e-01 | test_full 2.435920e-01
epoch 0030 | 35.09s | train_full 2.447543e-01 | test_full 2.428797e-01
epoch 0031 | 35.47s | train_full 2.434254e-01 | test_full 2.512631e-01
epoch 0032 | 35.30s | train_full 2.365011e-01 | test_full 2.460899e-01
epoch 0033 | 35.23s | train_full 2.302004e-01 | test_full 2.456788e-01
epoch 0034 | 34.93s | train_full 2.486087e-01 | test_full 2.450097e-01
epoch 0035 | 34.45s | train_full 2.304268e-01 | test_full 2.438659e-01
epoch 0036 | 34.75s | train_full 2.380125e-01 | test_full 2.414124e-01
