nohup: ignoring input
epoch 0074 | 50.17s | horizon 05 | train 6.215173e-03 | val 2.28773807e-01
epoch 0075 | 71.37s | horizon 10 | train 1.030128e-02 | val 2.68386325e-02
epoch 0076 | 80.46s | horizon 10 | train 1.012068e-02 | val 6.13240227e-02
epoch 0077 | 91.32s | horizon 10 | train 9.391984e-03 | val 1.72340924e-01
epoch 0078 | 90.98s | horizon 10 | train 9.516622e-03 | val 2.98024467e-02
epoch 0079 | 85.68s | horizon 10 | train 9.499521e-03 | val 5.83236627e-02
epoch 0080 | 81.56s | horizon 10 | train 9.274381e-03 | val 1.54827258e-01
epoch 0081 | 83.24s | horizon 10 | train 9.264825e-03 | val 2.85669270e-02
epoch 0082 | 80.29s | horizon 10 | train 9.294068e-03 | val 4.07119009e-02
epoch 0083 | 79.08s | horizon 10 | train 9.328573e-03 | val 1.42776918e-01
epoch 0084 | 80.61s | horizon 10 | train 9.229243e-03 | val 3.29216225e-02
epoch 0085 | 77.03s | horizon 10 | train 9.393363e-03 | val 4.52673082e-02
epoch 0086 | 73.32s | horizon 10 | train 9.205167e-03 | val 1.24641081e-01
epoch 0087 | 77.01s | horizon 10 | train 9.180360e-03 | val 2.52004549e-02
epoch 0088 | 72.68s | horizon 10 | train 9.151463e-03 | val 3.72284597e-02
epoch 0089 | 72.36s | horizon 10 | train 9.118295e-03 | val 1.22800882e-01
epoch 0090 | 69.32s | horizon 10 | train 9.136892e-03 | val 3.24840830e-02
epoch 0091 | 70.18s | horizon 10 | train 9.141764e-03 | val 3.89908819e-02
epoch 0092 | 71.80s | horizon 10 | train 9.049265e-03 | val 1.13523111e-01
epoch 0093 | 69.52s | horizon 10 | train 9.071424e-03 | val 3.32746249e-02
epoch 0094 | 65.76s | horizon 10 | train 9.035293e-03 | val 4.23663199e-02
epoch 0095 | 53.90s | horizon 10 | train 9.022351e-03 | val 1.13014349e-01
epoch 0096 | 55.80s | horizon 10 | train 9.021056e-03 | val 2.68639495e-02
epoch 0097 | 53.62s | horizon 10 | train 9.007178e-03 | val 3.73056743e-02
epoch 0098 | 58.03s | horizon 10 | train 8.974244e-03 | val 1.05093367e-01
epoch 0099 | 51.53s | horizon 10 | train 8.974203e-03 | val 2.52893470e-02
epoch 0100 | 134.35s | horizon 40 | train 5.106077e-02 | val 5.66192397e-02
epoch 0101 | 128.81s | horizon 40 | train 4.011722e-02 | val 2.29622705e-02
epoch 0102 | 132.19s | horizon 40 | train 3.301770e-02 | val 2.62123920e-02
epoch 0103 | 128.88s | horizon 40 | train 2.221245e-02 | val 2.41041951e-02
epoch 0104 | 123.18s | horizon 40 | train 2.143279e-02 | val 2.37964805e-02
epoch 0105 | 122.27s | horizon 40 | train 2.437283e-02 | val 1.83182553e-02
epoch 0106 | 122.21s | horizon 40 | train 2.072472e-02 | val 1.77327191e-02
epoch 0107 | 114.39s | horizon 40 | train 2.028606e-02 | val 1.74649747e-02
epoch 0108 | 110.65s | horizon 40 | train 2.006091e-02 | val 1.75641045e-02
epoch 0109 | 113.19s | horizon 40 | train 3.930561e-02 | val 2.16239253e-02
epoch 0110 | 112.49s | horizon 40 | train 3.747330e-02 | val 3.77488048e-02
epoch 0111 | 112.96s | horizon 40 | train 3.413721e-02 | val 3.24556887e-02
epoch 0112 | 114.03s | horizon 40 | train 3.414845e-02 | val 3.11623572e-02
epoch 0113 | 110.53s | horizon 40 | train 3.239188e-02 | val 3.35491060e-02
epoch 0114 | 109.33s | horizon 40 | train 3.180347e-02 | val 3.91849741e-02
epoch 0115 | 110.85s | horizon 40 | train 3.408074e-02 | val 2.09787570e-02
epoch 0116 | 110.88s | horizon 40 | train 3.024458e-02 | val 1.97708058e-02
epoch 0117 | 112.22s | horizon 40 | train 2.490234e-02 | val 3.86828764e-02
epoch 0118 | 110.90s | horizon 40 | train 2.712883e-02 | val 2.33055642e-02
epoch 0119 | 113.45s | horizon 40 | train 2.335907e-02 | val 2.54475348e-02
epoch 0120 | 112.53s | horizon 40 | train 2.310403e-02 | val 2.37926369e-02
epoch 0121 | 113.62s | horizon 40 | train 2.376928e-02 | val 2.59088729e-02
epoch 0122 | 113.65s | horizon 40 | train 2.644633e-02 | val 2.53715119e-02
epoch 0123 | 111.57s | horizon 40 | train 2.262073e-02 | val 2.29002015e-02
epoch 0124 | 113.35s | horizon 40 | train 2.275491e-02 | val 3.21112314e-02
epoch 0125 | 111.20s | horizon 40 | train 2.701726e-02 | val 2.88042070e-02
epoch 0126 | 110.67s | horizon 40 | train 2.208701e-02 | val 1.79655355e-02
epoch 0127 | 112.41s | horizon 40 | train 2.200430e-02 | val 1.90770450e-02
epoch 0128 | 110.16s | horizon 40 | train 2.198389e-02 | val 2.66557263e-02
epoch 0129 | 109.41s | horizon 40 | train 2.195656e-02 | val 1.85404874e-02
epoch 0130 | 109.53s | horizon 40 | train 2.193157e-02 | val 4.14400561e-02
epoch 0131 | 110.22s | horizon 40 | train 3.002358e-02 | val 3.86705826e-02
epoch 0132 | 116.89s | horizon 40 | train 2.028324e-02 | val 2.81371880e-02
epoch 0133 | 112.29s | horizon 40 | train 2.149721e-02 | val 1.79228020e-02
epoch 0134 | 110.96s | horizon 40 | train 2.317706e-02 | val 2.20734466e-02
epoch 0135 | 111.63s | horizon 40 | train 2.783050e-02 | val 3.12285480e-02
epoch 0136 | 112.40s | horizon 40 | train 2.701552e-02 | val 2.77365391e-02
epoch 0137 | 112.14s | horizon 40 | train 2.664829e-02 | val 3.15709400e-02
epoch 0138 | 111.14s | horizon 40 | train 2.649530e-02 | val 3.04152514e-02
epoch 0139 | 112.14s | horizon 40 | train 2.629390e-02 | val 2.83568738e-02
epoch 0140 | 113.67s | horizon 40 | train 2.624869e-02 | val 2.89996117e-02
epoch 0141 | 112.32s | horizon 40 | train 2.655575e-02 | val 2.89902678e-02
epoch 0142 | 112.55s | horizon 40 | train 2.201348e-02 | val 1.84634715e-02
epoch 0143 | 111.98s | horizon 40 | train 2.069058e-02 | val 2.29844878e-02
