nohup: ignoring input
epoch 0074 | 0.24s | horizon 01 | train 1.958986e-02 | val 2.07815713e-02
epoch 0075 | 0.21s | horizon 01 | train 1.593065e-02 | val 1.76350248e-02
epoch 0076 | 0.21s | horizon 01 | train 1.600515e-02 | val 1.60321993e-02
epoch 0077 | 0.22s | horizon 01 | train 1.417783e-02 | val 1.62333119e-02
epoch 0078 | 0.22s | horizon 01 | train 1.530015e-02 | val 1.71512693e-02
epoch 0079 | 0.22s | horizon 01 | train 1.529192e-02 | val 1.47537392e-02
epoch 0080 | 0.23s | horizon 01 | train 1.326784e-02 | val 1.37617216e-02
epoch 0081 | 0.22s | horizon 01 | train 1.292498e-02 | val 1.83167452e-02
epoch 0082 | 0.22s | horizon 01 | train 1.473068e-02 | val 2.06552625e-02
epoch 0083 | 0.23s | horizon 01 | train 1.832247e-02 | val 2.20178157e-02
epoch 0084 | 0.25s | horizon 01 | train 1.763836e-02 | val 1.76514775e-02
epoch 0085 | 0.25s | horizon 01 | train 1.586749e-02 | val 2.13486439e-02
epoch 0086 | 0.25s | horizon 01 | train 1.750313e-02 | val 2.31034297e-02
epoch 0087 | 0.26s | horizon 01 | train 2.107468e-02 | val 2.03288817e-02
epoch 0088 | 0.27s | horizon 01 | train 1.726178e-02 | val 2.51210457e-02
epoch 0089 | 0.27s | horizon 01 | train 2.246847e-02 | val 2.23754054e-02
epoch 0090 | 0.28s | horizon 01 | train 1.990375e-02 | val 2.04134721e-02
epoch 0091 | 0.24s | horizon 01 | train 2.032901e-02 | val 3.06655085e-02
epoch 0092 | 0.27s | horizon 01 | train 3.396204e-02 | val 2.98058331e-02
epoch 0093 | 0.27s | horizon 01 | train 2.620614e-02 | val 2.80907834e-02
epoch 0094 | 0.27s | horizon 01 | train 2.004156e-02 | val 1.63119888e-02
epoch 0095 | 0.27s | horizon 01 | train 1.567487e-02 | val 1.81072688e-02
epoch 0096 | 0.25s | horizon 01 | train 1.536841e-02 | val 1.63606882e-02
epoch 0097 | 0.25s | horizon 01 | train 1.414555e-02 | val 1.48443919e-02
epoch 0098 | 0.25s | horizon 01 | train 1.353844e-02 | val 1.90714979e-02
epoch 0099 | 0.22s | horizon 01 | train 1.610479e-02 | val 2.02994287e-02
epoch 0100 | 0.22s | horizon 01 | train 1.680992e-02 | val 1.91343677e-02
epoch 0101 | 0.22s | horizon 01 | train 1.715903e-02 | val 1.76838338e-02
epoch 0102 | 0.22s | horizon 01 | train 1.479920e-02 | val 1.41675389e-02
epoch 0103 | 0.22s | horizon 01 | train 1.247411e-02 | val 1.45494336e-02
epoch 0104 | 0.22s | horizon 01 | train 1.392208e-02 | val 1.41760355e-02
epoch 0105 | 0.22s | horizon 01 | train 1.352251e-02 | val 1.38988817e-02
epoch 0106 | 0.22s | horizon 01 | train 1.172422e-02 | val 1.22744623e-02
epoch 0107 | 0.23s | horizon 01 | train 1.115046e-02 | val 1.12447718e-02
epoch 0108 | 0.24s | horizon 01 | train 1.070030e-02 | val 1.13169566e-02
epoch 0109 | 0.24s | horizon 01 | train 1.092832e-02 | val 1.18738514e-02
epoch 0110 | 0.24s | horizon 01 | train 1.154711e-02 | val 1.16129881e-02
epoch 0111 | 0.26s | horizon 01 | train 1.096487e-02 | val 1.17105734e-02
epoch 0112 | 0.26s | horizon 01 | train 1.082032e-02 | val 1.20059913e-02
epoch 0113 | 0.24s | horizon 01 | train 1.134977e-02 | val 1.29392722e-02
epoch 0114 | 0.26s | horizon 01 | train 1.203175e-02 | val 1.46290982e-02
epoch 0115 | 0.28s | horizon 01 | train 1.303879e-02 | val 1.49343562e-02
epoch 0116 | 0.21s | horizon 01 | train 1.255795e-02 | val 1.20521280e-02
epoch 0117 | 0.22s | horizon 01 | train 1.135059e-02 | val 1.15427959e-02
epoch 0118 | 0.22s | horizon 01 | train 1.084259e-02 | val 1.14027512e-02
epoch 0119 | 0.23s | horizon 01 | train 1.053050e-02 | val 1.24885860e-02
epoch 0120 | 0.23s | horizon 01 | train 1.134641e-02 | val 1.21116102e-02
epoch 0121 | 0.23s | horizon 01 | train 1.075418e-02 | val 1.11385533e-02
epoch 0122 | 0.22s | horizon 01 | train 1.017572e-02 | val 1.10363251e-02
epoch 0123 | 0.23s | horizon 01 | train 1.073187e-02 | val 1.17754087e-02
epoch 0124 | 0.22s | horizon 01 | train 1.099597e-02 | val 1.11769158e-02
epoch 0125 | 0.22s | horizon 01 | train 1.057467e-02 | val 1.15270162e-02
epoch 0126 | 0.20s | horizon 01 | train 1.089691e-02 | val 1.18850559e-02
epoch 0127 | 0.21s | horizon 01 | train 1.096263e-02 | val 1.21509603e-02
epoch 0128 | 0.21s | horizon 01 | train 1.055604e-02 | val 1.23219997e-02
epoch 0129 | 0.21s | horizon 01 | train 1.083949e-02 | val 1.12757248e-02
epoch 0130 | 0.20s | horizon 01 | train 1.029854e-02 | val 1.43567169e-02
epoch 0131 | 0.21s | horizon 01 | train 1.172543e-02 | val 1.12272477e-02
epoch 0132 | 0.21s | horizon 01 | train 1.065034e-02 | val 1.08425140e-02
epoch 0133 | 0.21s | horizon 01 | train 1.009698e-02 | val 1.09758973e-02
epoch 0134 | 0.21s | horizon 01 | train 1.017003e-02 | val 1.13239005e-02
epoch 0135 | 0.21s | horizon 01 | train 1.032873e-02 | val 1.18361950e-02
epoch 0136 | 0.21s | horizon 01 | train 1.062601e-02 | val 1.20328251e-02
epoch 0137 | 0.21s | horizon 01 | train 1.113515e-02 | val 1.18103555e-02
epoch 0138 | 0.21s | horizon 01 | train 1.075172e-02 | val 1.20591784e-02
epoch 0139 | 0.21s | horizon 01 | train 1.038696e-02 | val 1.13195831e-02
epoch 0140 | 0.19s | horizon 01 | train 1.015036e-02 | val 1.56037372e-02
epoch 0141 | 0.20s | horizon 01 | train 1.626215e-02 | val 1.43055838e-02
epoch 0142 | 0.19s | horizon 01 | train 1.208154e-02 | val 1.45456713e-02
epoch 0143 | 0.22s | horizon 01 | train 1.352477e-02 | val 1.24591726e-02
epoch 0144 | 0.22s | horizon 01 | train 1.244681e-02 | val 1.28892621e-02
epoch 0145 | 0.23s | horizon 01 | train 1.382600e-02 | val 1.23200864e-02
epoch 0146 | 0.22s | horizon 01 | train 1.181816e-02 | val 1.15687710e-02
epoch 0147 | 0.23s | horizon 01 | train 1.048291e-02 | val 1.17109859e-02
epoch 0148 | 0.23s | horizon 01 | train 1.086965e-02 | val 1.14506024e-02
epoch 0149 | 0.23s | horizon 01 | train 1.077742e-02 | val 1.06054974e-02
epoch 0150 | 0.25s | horizon 01 | train 1.026458e-02 | val 1.19367599e-02
epoch 0151 | 0.24s | horizon 01 | train 1.110462e-02 | val 1.20707321e-02
epoch 0152 | 0.23s | horizon 01 | train 1.099265e-02 | val 1.10435703e-02
epoch 0153 | 0.23s | horizon 01 | train 1.043561e-02 | val 1.16464522e-02
epoch 0154 | 0.23s | horizon 01 | train 1.110729e-02 | val 1.45486712e-02
epoch 0155 | 0.23s | horizon 01 | train 1.239828e-02 | val 1.13717496e-02
epoch 0156 | 0.23s | horizon 01 | train 1.045213e-02 | val 1.60311466e-02
epoch 0157 | 0.23s | horizon 01 | train 1.477004e-02 | val 1.65558565e-02
epoch 0158 | 0.22s | horizon 01 | train 1.330326e-02 | val 1.64825356e-02
