nohup: ignoring input
epoch 0086 | 41.21s | horizon 10 | train 9.446902e-03 | val n/a
epoch 0087 | 41.23s | horizon 10 | train 9.297142e-03 | val n/a
epoch 0088 | 41.18s | horizon 10 | train 9.520933e-03 | val n/a
epoch 0089 | 41.80s | horizon 10 | train 9.299563e-03 | val n/a
epoch 0090 | 41.96s | horizon 10 | train 9.313409e-03 | val n/a
epoch 0091 | 42.18s | horizon 10 | train 9.213523e-03 | val n/a
epoch 0092 | 42.64s | horizon 10 | train 9.270630e-03 | val n/a
epoch 0093 | 42.22s | horizon 10 | train 9.160450e-03 | val n/a
epoch 0094 | 42.63s | horizon 10 | train 9.172422e-03 | val n/a
epoch 0095 | 41.69s | horizon 10 | train 9.143267e-03 | val n/a
epoch 0096 | 41.67s | horizon 10 | train 8.984873e-03 | val n/a
epoch 0097 | 42.54s | horizon 10 | train 9.175508e-03 | val n/a
epoch 0098 | 41.08s | horizon 10 | train 8.927251e-03 | val n/a
epoch 0099 | 43.52s | horizon 10 | train 8.952615e-03 | val n/a
epoch 0100 | 158.11s | horizon 40 | train 1.111690e-01 | val n/a
epoch 0101 | 157.02s | horizon 40 | train 7.017659e-02 | val n/a
epoch 0102 | 158.33s | horizon 40 | train 6.669511e-02 | val n/a
epoch 0103 | 158.37s | horizon 40 | train 3.731052e-02 | val n/a
epoch 0104 | 158.32s | horizon 40 | train 3.433634e-02 | val n/a
epoch 0105 | 159.86s | horizon 40 | train 3.347739e-02 | val n/a
epoch 0106 | 159.76s | horizon 40 | train 3.287340e-02 | val n/a
epoch 0107 | 158.52s | horizon 40 | train 3.237140e-02 | val n/a
epoch 0108 | 158.76s | horizon 40 | train 5.229010e-02 | val n/a
epoch 0109 | 157.78s | horizon 40 | train 4.207703e-02 | val n/a
epoch 0110 | 156.63s | horizon 40 | train 2.968912e-02 | val n/a
epoch 0111 | 157.22s | horizon 40 | train 2.845713e-02 | val n/a
epoch 0112 | 157.45s | horizon 40 | train 2.788424e-02 | val n/a
epoch 0113 | 159.65s | horizon 40 | train 2.748117e-02 | val n/a
epoch 0114 | 159.44s | horizon 40 | train 2.694481e-02 | val n/a
