nohup: ignoring input
epoch 0074 | 23.15s | horizon 05 | train 1.022739e-02 | val 6.27793937e-01
epoch 0075 | 34.04s | horizon 10 | train 5.092282e-02 | val 4.79711459e-01
epoch 0076 | 34.14s | horizon 10 | train 1.922033e-02 | val 4.33408692e-01
epoch 0077 | 33.73s | horizon 10 | train 1.801630e-02 | val 4.22287095e-01
epoch 0078 | 31.64s | horizon 10 | train 1.800313e-02 | val 4.68371921e-01
epoch 0079 | 30.45s | horizon 10 | train 1.534328e-02 | val 4.00035789e-01
epoch 0080 | 30.39s | horizon 10 | train 1.459372e-02 | val 4.22445525e-01
epoch 0081 | 31.81s | horizon 10 | train 1.313649e-02 | val 3.92516595e-01
epoch 0082 | 38.32s | horizon 10 | train 1.490858e-02 | val 3.93694556e-01
epoch 0083 | 37.35s | horizon 10 | train 1.337271e-02 | val 3.83272117e-01
epoch 0084 | 36.81s | horizon 10 | train 1.388477e-02 | val 3.80640721e-01
epoch 0085 | 33.58s | horizon 10 | train 1.345594e-02 | val 3.97103366e-01
epoch 0086 | 31.25s | horizon 10 | train 1.220640e-02 | val 3.71835455e-01
epoch 0087 | 30.34s | horizon 10 | train 1.280844e-02 | val 3.54104023e-01
epoch 0088 | 30.83s | horizon 10 | train 1.267593e-02 | val 3.94639024e-01
epoch 0089 | 30.43s | horizon 10 | train 1.251353e-02 | val 3.93886486e-01
epoch 0090 | 30.89s | horizon 10 | train 1.258812e-02 | val 3.98473771e-01
epoch 0091 | 30.85s | horizon 10 | train 1.392905e-02 | val 3.58983141e-01
epoch 0092 | 31.74s | horizon 10 | train 1.264516e-02 | val 3.71684976e-01
epoch 0093 | 29.93s | horizon 10 | train 1.246010e-02 | val 3.70833601e-01
epoch 0094 | 30.77s | horizon 10 | train 1.303185e-02 | val 3.54065614e-01
epoch 0095 | 27.86s | horizon 10 | train 1.243528e-02 | val 3.51241452e-01
epoch 0096 | 30.06s | horizon 10 | train 1.655798e-02 | val 3.75277594e-01
epoch 0097 | 31.00s | horizon 10 | train 1.255942e-02 | val 3.64871078e-01
epoch 0098 | 28.28s | horizon 10 | train 1.068237e-02 | val 3.45264531e-01
epoch 0099 | 28.26s | horizon 10 | train 1.133920e-02 | val 3.61811737e-01
epoch 0100 | 91.81s | horizon 40 | train 1.436950e-01 | val 1.08476557e-01
epoch 0101 | 88.45s | horizon 40 | train 9.803416e-02 | val 1.02452005e-01
epoch 0102 | 88.74s | horizon 40 | train 9.439390e-02 | val 8.23450279e-02
epoch 0103 | 88.96s | horizon 40 | train 8.539413e-02 | val 7.05408671e-02
epoch 0104 | 89.85s | horizon 40 | train 7.441344e-02 | val 6.98500928e-02
epoch 0105 | 88.01s | horizon 40 | train 7.134429e-02 | val 6.83912861e-02
epoch 0106 | 87.98s | horizon 40 | train 7.085610e-02 | val 6.98114085e-02
epoch 0107 | 87.72s | horizon 40 | train 6.405081e-02 | val 5.99651495e-02
epoch 0108 | 86.73s | horizon 40 | train 5.983040e-02 | val 5.30344009e-02
epoch 0109 | 85.40s | horizon 40 | train 6.030807e-02 | val 5.84746274e-02
epoch 0110 | 84.99s | horizon 40 | train 6.053500e-02 | val 5.98749977e-02
epoch 0111 | 85.99s | horizon 40 | train 5.729802e-02 | val 5.55150974e-02
epoch 0112 | 85.52s | horizon 40 | train 5.618507e-02 | val 5.30782038e-02
epoch 0113 | 85.36s | horizon 40 | train 5.799841e-02 | val 5.03757615e-02
epoch 0114 | 85.29s | horizon 40 | train 5.751940e-02 | val 5.63160811e-02
epoch 0115 | 86.46s | horizon 40 | train 5.566846e-02 | val 5.99145079e-02
epoch 0116 | 87.98s | horizon 40 | train 5.569855e-02 | val 5.37857684e-02
epoch 0117 | 85.32s | horizon 40 | train 5.369564e-02 | val 4.85789062e-02
epoch 0118 | 86.48s | horizon 40 | train 5.248171e-02 | val 5.45693403e-02
epoch 0119 | 87.19s | horizon 40 | train 5.114799e-02 | val 5.06507121e-02
epoch 0120 | 86.50s | horizon 40 | train 5.140500e-02 | val 4.54888757e-02
epoch 0121 | 82.90s | horizon 40 | train 5.032520e-02 | val 5.80742830e-02
epoch 0122 | 84.21s | horizon 40 | train 5.079490e-02 | val 6.04500672e-02
epoch 0123 | 86.73s | horizon 40 | train 5.122468e-02 | val 5.54505780e-02
epoch 0124 | 85.20s | horizon 40 | train 5.402770e-02 | val 5.92176291e-02
epoch 0125 | 83.93s | horizon 40 | train 5.347273e-02 | val 5.29017295e-02
epoch 0126 | 85.51s | horizon 40 | train 4.802287e-02 | val 5.78163764e-02
epoch 0127 | 84.46s | horizon 40 | train 5.172414e-02 | val 5.85575068e-02
epoch 0128 | 85.52s | horizon 40 | train 5.367261e-02 | val 5.00717860e-02
epoch 0129 | 86.80s | horizon 40 | train 4.966626e-02 | val 4.60530017e-02
epoch 0130 | 82.96s | horizon 40 | train 4.771900e-02 | val 4.97627795e-02
epoch 0131 | 83.29s | horizon 40 | train 5.626004e-02 | val 4.78722847e-02
epoch 0132 | 85.06s | horizon 40 | train 4.946264e-02 | val 4.88183691e-02
epoch 0133 | 89.21s | horizon 40 | train 5.015658e-02 | val 5.19628884e-02
epoch 0134 | 84.37s | horizon 40 | train 4.971107e-02 | val 4.06100388e-02
epoch 0135 | 84.39s | horizon 40 | train 4.795371e-02 | val 4.47014539e-02
epoch 0136 | 86.18s | horizon 40 | train 5.093453e-02 | val 4.37177010e-02
epoch 0137 | 84.15s | horizon 40 | train 4.887240e-02 | val 4.39829557e-02
epoch 0138 | 87.27s | horizon 40 | train 4.712420e-02 | val 3.95990279e-02
epoch 0139 | 85.55s | horizon 40 | train 4.664483e-02 | val 4.78633443e-02
epoch 0140 | 84.56s | horizon 40 | train 4.535419e-02 | val 4.44835870e-02
epoch 0141 | 84.01s | horizon 40 | train 4.750828e-02 | val 4.34815234e-02
epoch 0142 | 87.00s | horizon 40 | train 4.828164e-02 | val 4.07038000e-02
epoch 0143 | 83.97s | horizon 40 | train 4.803287e-02 | val 5.94663557e-02
epoch 0144 | 85.91s | horizon 40 | train 4.528259e-02 | val 4.39703797e-02
epoch 0145 | 84.76s | horizon 40 | train 4.410179e-02 | val 3.96663572e-02
epoch 0146 | 87.18s | horizon 40 | train 4.430110e-02 | val 4.08151263e-02
epoch 0147 | 84.10s | horizon 40 | train 4.524414e-02 | val 4.41381574e-02
epoch 0148 | 85.66s | horizon 40 | train 4.497670e-02 | val 4.36594222e-02
epoch 0149 | 87.08s | horizon 40 | train 4.743975e-02 | val 4.60657459e-02
epoch 0150 | 85.38s | horizon 40 | train 4.828334e-02 | val 4.61429095e-02
epoch 0151 | 85.19s | horizon 40 | train 4.598944e-02 | val 4.88762978e-02
epoch 0152 | 87.45s | horizon 40 | train 4.662348e-02 | val 8.31197670e-02
epoch 0153 | 87.37s | horizon 40 | train 4.318941e-02 | val 4.15696463e-02
epoch 0154 | 86.22s | horizon 40 | train 4.614212e-02 | val 4.38566071e-02
epoch 0155 | 84.64s | horizon 40 | train 4.734504e-02 | val 5.41254467e-02
epoch 0156 | 84.12s | horizon 40 | train 4.639766e-02 | val 4.40994249e-02
epoch 0157 | 84.49s | horizon 40 | train 4.484317e-02 | val 3.94877307e-02
epoch 0158 | 83.20s | horizon 40 | train 4.293963e-02 | val 4.16289018e-02
epoch 0159 | 83.69s | horizon 40 | train 4.310000e-02 | val 3.94007568e-02
epoch 0160 | 87.20s | horizon 40 | train 4.229357e-02 | val 5.17533538e-02
epoch 0161 | 87.15s | horizon 40 | train 4.699209e-02 | val 5.70502117e-02
epoch 0162 | 85.40s | horizon 40 | train 4.512260e-02 | val 7.76034823e-02
epoch 0163 | 85.20s | horizon 40 | train 4.271727e-02 | val 3.45726018e-02
epoch 0164 | 84.36s | horizon 40 | train 4.178281e-02 | val 5.33627626e-02
epoch 0165 | 85.55s | horizon 40 | train 4.321465e-02 | val 4.39841774e-02
epoch 0166 | 86.29s | horizon 40 | train 4.147148e-02 | val 4.02603845e-02
epoch 0167 | 88.08s | horizon 40 | train 4.265024e-02 | val 4.72083329e-02
epoch 0168 | 85.55s | horizon 40 | train 4.833964e-02 | val 4.15606217e-02
epoch 0169 | 84.35s | horizon 40 | train 4.698379e-02 | val 3.62315023e-02
epoch 0170 | 86.27s | horizon 40 | train 4.453016e-02 | val 4.00744569e-02
epoch 0171 | 83.99s | horizon 40 | train 4.275465e-02 | val 3.89457707e-02
epoch 0172 | 84.91s | horizon 40 | train 4.530249e-02 | val 5.15239005e-02
epoch 0173 | 82.57s | horizon 40 | train 4.841410e-02 | val 3.39106470e-02
epoch 0174 | 84.33s | horizon 40 | train 4.156729e-02 | val 4.06603448e-02
epoch 0175 | 88.16s | horizon 40 | train 4.382500e-02 | val 4.32990225e-02
epoch 0176 | 86.07s | horizon 40 | train 4.324423e-02 | val 3.72188483e-02
epoch 0177 | 87.77s | horizon 40 | train 4.378233e-02 | val 4.23710947e-02
epoch 0178 | 86.02s | horizon 40 | train 4.066563e-02 | val 6.03663015e-02
epoch 0179 | 85.14s | horizon 40 | train 4.494661e-02 | val 4.30519906e-02
epoch 0180 | 85.42s | horizon 40 | train 3.910748e-02 | val 3.31097031e-02
epoch 0181 | 87.52s | horizon 40 | train 4.090060e-02 | val 3.74755298e-02
epoch 0182 | 84.92s | horizon 40 | train 4.154012e-02 | val 4.42902929e-02
epoch 0183 | 84.78s | horizon 40 | train 4.737089e-02 | val 3.83386368e-02
epoch 0184 | 87.79s | horizon 40 | train 4.241362e-02 | val 4.32063688e-02
epoch 0185 | 84.05s | horizon 40 | train 4.051846e-02 | val 3.93471743e-02
epoch 0186 | 87.31s | horizon 40 | train 4.098683e-02 | val 3.66026866e-02
epoch 0187 | 83.98s | horizon 40 | train 4.282714e-02 | val 6.38395718e-02
epoch 0188 | 86.04s | horizon 40 | train 4.316862e-02 | val 4.77089749e-02
epoch 0189 | 86.17s | horizon 40 | train 4.361392e-02 | val 4.22716460e-02
