step,mse
0,8.79766606e-03
1,1.20748393e-02
2,1.26955267e-02
3,1.29392073e-02
4,1.30099244e-02
5,1.29994918e-02
6,1.28438566e-02
7,1.30636273e-02
8,1.34841083e-02
9,1.37715479e-02
10,1.41250361e-02
11,1.40913650e-02
12,1.38747748e-02
13,1.35980332e-02
14,1.33054731e-02
15,1.30196605e-02
16,1.27404043e-02
17,1.24759534e-02
18,1.22146364e-02
19,1.19451070e-02
20,1.16729522e-02
21,1.13992095e-02
22,1.11323604e-02
23,1.08789345e-02
24,1.06421039e-02
25,1.04233101e-02
26,1.02224145e-02
27,1.00398269e-02
28,9.87536460e-03
29,9.72914323e-03
30,9.60180443e-03
31,9.49370302e-03
32,9.40501038e-03
33,9.33574233e-03
34,9.28579085e-03
35,9.25447326e-03
36,9.24141239e-03
37,9.24586877e-03
38,9.26688593e-03
39,9.30360612e-03
