step,mse
0,3.50110866e-02
1,9.04338434e-02
2,1.38704598e-01
3,1.80926859e-01
4,2.25681290e-01
5,2.75470167e-01
6,3.30236167e-01
7,3.90074879e-01
8,4.49080706e-01
9,4.99776989e-01
10,5.29928029e-01
11,5.39366305e-01
12,5.48087835e-01
13,5.74258626e-01
14,5.90114772e-01
15,6.01084530e-01
16,6.36307001e-01
17,6.78580642e-01
18,7.28440106e-01
19,8.16603780e-01
20,9.13062274e-01
21,9.62418079e-01
22,9.96980190e-01
23,1.01759684e+00
24,1.04705679e+00
25,1.08675146e+00
26,1.13926661e+00
27,1.20980453e+00
28,1.26726067e+00
29,1.30877841e+00
30,1.35669506e+00
31,1.42503262e+00
32,1.50145137e+00
33,1.58179712e+00
34,1.67943466e+00
35,1.78953779e+00
36,1.91193998e+00
37,2.05317187e+00
38,2.20399642e+00
39,2.35092998e+00
