step,condition_gate,matrix_spectral_mean,matrix_spectral_max,latent_rms,unet_highpass_rms
0.0,1.0,0.9318538904190063,0.9626098275184631,0.5576908588409424,0.04163377359509468
1.0,1.0,0.9318538904190063,0.9626114964485168,0.5529035329818726,0.051036536693573
2.0,1.0,0.9318532943725586,0.9626109600067139,0.551958441734314,0.05169049650430679
3.0,1.0,0.9318515658378601,0.9626099467277527,0.5511652231216431,0.0525335818529129
4.0,1.0,0.9318485260009766,0.9626096487045288,0.5504373908042908,0.0531998872756958
5.0,1.0,0.9318473935127258,0.9626097083091736,0.5498611330986023,0.05382198840379715
6.0,1.0,0.9318477511405945,0.9626105427742004,0.5494111180305481,0.05451253056526184
7.0,1.0,0.9318453073501587,0.9626103639602661,0.5484150648117065,0.05550258606672287
8.0,1.0,0.9318458437919617,0.9626096487045288,0.5475096702575684,0.05651421844959259
9.0,1.0,0.9318458437919617,0.9626091718673706,0.5467541217803955,0.05743410810828209
10.0,1.0,0.9318510293960571,0.9626086950302124,0.5459265112876892,0.05852212756872177
11.0,1.0,0.9318513870239258,0.9626103639602661,0.545555830001831,0.05874556675553322
12.0,1.0,0.9318512082099915,0.9626103639602661,0.545329749584198,0.05886134132742882
13.0,1.0,0.9318512082099915,0.96261066198349,0.5451456904411316,0.058955226093530655
14.0,1.0,0.9318510890007019,0.9626104235649109,0.5449718832969666,0.05903669074177742
15.0,1.0,0.9318510293960571,0.9626096487045288,0.5448128581047058,0.05910497531294823
16.0,1.0,0.9318510293960571,0.9626100063323975,0.5446693301200867,0.059161972254514694
17.0,1.0,0.9318510293960571,0.9626109600067139,0.544530987739563,0.05920998007059097
18.0,1.0,0.9318510293960571,0.9626102447509766,0.5444181561470032,0.059243202209472656
19.0,1.0,0.9318512082099915,0.9626107811927795,0.5443306565284729,0.05926460027694702
20.0,1.0,0.931851327419281,0.9626096487045288,0.5442615747451782,0.059278760105371475
21.0,1.0,0.9318513870239258,0.9626105427742004,0.5442098379135132,0.059288185089826584
22.0,1.0,0.931851327419281,0.9626091122627258,0.5441681742668152,0.059294652193784714
23.0,1.0,0.931851327419281,0.9626107215881348,0.544132649898529,0.05929998308420181
24.0,1.0,0.9318512082099915,0.9626100063323975,0.5441015958786011,0.05930419638752937
25.0,1.0,0.9318512082099915,0.9626094698905945,0.5440749526023865,0.059307761490345
26.0,1.0,0.931851327419281,0.962609589099884,0.5440524816513062,0.059310395270586014
27.0,1.0,0.931851327419281,0.9626104235649109,0.5440338253974915,0.05931278318166733
28.0,1.0,0.931851327419281,0.9626097679138184,0.5440186262130737,0.0593143105506897
29.0,1.0,0.931851327419281,0.9626098871231079,0.5440065264701843,0.059315502643585205
30.0,1.0,0.9318513870239258,0.962609589099884,0.5439965724945068,0.05931663513183594
31.0,1.0,0.9318512082099915,0.9626122117042542,0.5439884066581726,0.05931740999221802
32.0,1.0,0.9318512082099915,0.9626105427742004,0.5439815521240234,0.05931788682937622
33.0,1.0,0.931851327419281,0.9626093506813049,0.5439757704734802,0.05931840091943741
34.0,1.0,0.9318512082099915,0.9626087546348572,0.5439710021018982,0.05931877717375755
35.0,1.0,0.9318512082099915,0.9626092314720154,0.5439670085906982,0.05931912362575531
36.0,1.0,0.9318513870239258,0.9626097679138184,0.5439636707305908,0.05931933969259262
37.0,1.0,0.9318512082099915,0.9626097083091736,0.5439609885215759,0.05931960046291351
38.0,1.0,0.9318512082099915,0.9626100063323975,0.5439587831497192,0.05931979417800903
39.0,1.0,0.9318512082099915,0.9626096487045288,0.5439569354057312,0.05931977182626724
