metric,value
low_band_spectral_rel_l2,1.03330977e-01
mid_band_spectral_rel_l2,1.00650883e+00
high_band_spectral_rel_l2,1.03224480e+00
high_frequency_energy_ratio_error,4.33915545e-07
gradient_rel_l2,9.88869011e-01
