metric,value
low_band_spectral_rel_l2,1.04347169e-02
mid_band_spectral_rel_l2,1.00816667e+00
high_band_spectral_rel_l2,1.08861196e+00
high_frequency_energy_ratio_error,3.84193953e-07
gradient_rel_l2,5.17485201e-01
