step,mse
0,4.23433121e-05
1,8.49437638e-05
2,1.09775079e-04
3,1.16475654e-04
4,1.13719907e-04
5,1.10130255e-04
6,1.09290828e-04
7,1.09895307e-04
8,1.10976092e-04
9,1.13346454e-04
10,1.16310723e-04
11,1.20576682e-04
12,1.29156571e-04
13,1.39609911e-04
14,1.52274108e-04
15,1.67792314e-04
16,1.86143865e-04
17,2.06445460e-04
18,2.28177014e-04
19,2.52722006e-04
20,2.73038662e-04
21,2.88764946e-04
22,3.04240908e-04
23,3.22685606e-04
24,3.35423509e-04
25,3.45778477e-04
26,3.52490111e-04
27,3.68469802e-04
28,3.83508537e-04
29,3.84204788e-04
30,3.84424289e-04
31,3.80878977e-04
32,3.89339984e-04
33,4.03192447e-04
34,4.09979519e-04
35,4.23345831e-04
36,4.47248109e-04
37,4.74068336e-04
38,5.16522327e-04
39,5.70512610e-04
