epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
0,9.456754,1,3.87449422e-02,6.15310749e-04,2.63444693e-02,1.45577848e+00,1.86933002e+00,5.00000000e-04,948353
1,14.333422,1,2.31063145e-03,1.10618108e-04,1.30763487e-02,1.22852923e+00,1.32986183e+00,5.00000000e-04,948353
2,16.243351,1,6.52304825e-04,5.51345933e-05,9.21849391e-03,1.19814001e+00,1.26770602e+00,5.00000000e-04,948353
3,30.858356,1,5.30029012e-04,3.91053419e-05,7.74580850e-03,1.13819998e+00,1.14229506e+00,5.00000000e-04,948353
4,32.070624,1,4.86724920e-04,3.30660127e-05,7.12526969e-03,1.06818404e+00,1.00571314e+00,5.00000000e-04,948353
5,29.825884,1,4.59440942e-04,2.94030751e-05,6.74243909e-03,1.02304297e+00,9.22443110e-01,5.00000000e-04,948353
6,27.899184,1,4.46405590e-04,2.82677179e-05,6.62166434e-03,1.08798991e+00,1.04279020e+00,5.00000000e-04,948353
7,32.920762,1,4.19744885e-04,2.40833912e-05,6.09925053e-03,1.03573485e+00,9.44662765e-01,5.00000000e-04,948353
8,32.754773,1,4.23304572e-04,2.57750329e-05,6.35385881e-03,1.05273160e+00,9.76678076e-01,5.00000000e-04,948353
9,31.866453,1,4.09883620e-04,2.39258954e-05,6.12357796e-03,9.30197959e-01,7.62155387e-01,5.00000000e-04,948353
10,31.551193,1,4.09788513e-04,2.46450454e-05,6.24394674e-03,9.07730474e-01,7.25048608e-01,5.00000000e-04,948353
11,33.024159,1,4.07206264e-04,2.47804281e-05,6.23590903e-03,9.61969190e-01,8.14652762e-01,5.00000000e-04,948353
12,31.814666,1,3.95762473e-04,2.30917802e-05,6.03254378e-03,8.89974465e-01,6.97308314e-01,5.00000000e-04,948353
13,29.381313,1,4.12722141e-04,2.68675759e-05,6.50367216e-03,9.38174310e-01,7.77262580e-01,5.00000000e-04,948353
14,34.809999,1,4.00615609e-04,2.50839510e-05,6.31246881e-03,8.54609938e-01,6.43753105e-01,5.00000000e-04,948353
15,24.790246,1,3.89914075e-04,2.36625951e-05,6.10059941e-03,9.19106088e-01,7.43419242e-01,5.00000000e-04,948353
16,25.460439,1,3.84894191e-04,2.33635975e-05,6.08195739e-03,8.47621102e-01,6.32348582e-01,5.00000000e-04,948353
17,28.644509,1,3.80629018e-04,2.32263974e-05,6.06281358e-03,9.64339705e-01,8.18590349e-01,5.00000000e-04,948353
18,31.059934,1,3.76620720e-04,2.34451877e-05,6.09416711e-03,9.22901888e-01,7.49348566e-01,5.00000000e-04,948353
19,32.345292,1,3.67081950e-04,2.22101060e-05,5.90735892e-03,9.26603022e-01,7.55679098e-01,5.00000000e-04,948353
20,29.426490,1,3.79188323e-04,2.55707660e-05,6.36469181e-03,9.32365670e-01,7.64937574e-01,5.00000000e-04,948353
21,33.406155,1,3.62997399e-04,2.32059233e-05,6.07019617e-03,8.97497802e-01,7.09738323e-01,5.00000000e-04,948353
22,35.635007,1,3.63061561e-04,2.42037549e-05,6.17812164e-03,9.26573215e-01,7.55263671e-01,5.00000000e-04,948353
23,31.472278,1,3.45325886e-04,2.14670326e-05,5.80184700e-03,9.13673687e-01,7.34609449e-01,5.00000000e-04,948353
24,34.114126,1,3.45573114e-04,2.25404529e-05,6.02568203e-03,9.16272674e-01,7.38663295e-01,5.00000000e-04,948353
25,29.129385,1,3.45658281e-04,2.33629469e-05,6.11914676e-03,9.41140313e-01,7.79263261e-01,5.00000000e-04,948353
26,25.396414,1,3.35056727e-04,2.20757964e-05,5.91499319e-03,8.79057198e-01,6.80137122e-01,5.00000000e-04,948353
27,26.711044,1,3.30170833e-04,2.19844283e-05,5.88444537e-03,9.79626961e-01,8.44815552e-01,5.00000000e-04,948353
28,25.220624,1,3.30581952e-04,2.29454957e-05,6.06037277e-03,9.86923418e-01,8.57023895e-01,5.00000000e-04,948353
29,29.992232,1,3.24632404e-04,2.26616080e-05,5.99141290e-03,8.71326203e-01,6.68119588e-01,5.00000000e-04,948353
30,26.017050,1,3.20401084e-04,2.27269921e-05,6.03704393e-03,9.20312548e-01,7.45287266e-01,5.00000000e-04,948353
31,27.406479,1,3.20566097e-04,2.35957151e-05,6.14902487e-03,8.89864731e-01,6.97686270e-01,5.00000000e-04,948353
32,40.304279,1,2.99138132e-04,2.02315283e-05,5.64183322e-03,9.68843474e-01,8.25879893e-01,5.00000000e-04,948353
33,42.378778,1,3.02913253e-04,2.17516300e-05,5.87783011e-03,9.14214191e-01,7.35682601e-01,5.00000000e-04,948353
34,44.911007,1,2.95789653e-04,2.12039175e-05,5.79742164e-03,8.54002991e-01,6.42023924e-01,5.00000000e-04,948353
