step,mse
0,5.00335805e-02
1,5.33936322e-02
2,6.00710884e-02
3,6.79473951e-02
4,7.65416473e-02
5,8.65478143e-02
6,9.76860523e-02
7,1.10385679e-01
8,1.23977967e-01
9,1.38587743e-01
10,1.53432474e-01
11,1.70098513e-01
12,1.88833147e-01
13,2.09017932e-01
14,2.29789719e-01
15,2.50515491e-01
16,2.70858705e-01
17,2.91220427e-01
18,3.11540753e-01
19,3.31316859e-01
20,3.49431336e-01
21,3.64365578e-01
22,3.76662523e-01
23,3.88107061e-01
24,3.99648845e-01
25,4.10938084e-01
26,4.20346379e-01
27,4.25722808e-01
28,4.26840484e-01
29,4.26750898e-01
30,4.29568022e-01
31,4.36553717e-01
32,4.44270551e-01
33,4.47587401e-01
34,4.45350647e-01
35,4.41112816e-01
36,4.39520806e-01
37,4.42467034e-01
38,4.48177069e-01
39,4.52763557e-01
