step,condition_gate,matrix_spectral_mean,matrix_spectral_max,latent_rms,unet_highpass_rms
0.0,0.0,0.9193369150161743,0.9611939787864685,0.3916360139846802,0.0358990803360939
1.0,0.0,0.9193369150161743,0.9611939787864685,0.41053932905197144,0.035971544682979584
2.0,0.0,0.9193369150161743,0.9611939787864685,0.42682358622550964,0.035436034202575684
3.0,0.0,0.9193369150161743,0.9611939787864685,0.43903806805610657,0.03505038842558861
4.0,0.0,0.9193369150161743,0.9611939787864685,0.4495173990726471,0.034704357385635376
5.0,0.0,0.9193369150161743,0.9611939787864685,0.4576360583305359,0.03443299978971481
6.0,0.0,0.9193369150161743,0.9611939787864685,0.46486392617225647,0.034163475036621094
7.0,0.0,0.9193369150161743,0.9611939787864685,0.46981436014175415,0.03397567197680473
8.0,0.0,0.9193369150161743,0.9611939787864685,0.47452211380004883,0.0337851457297802
9.0,0.0,0.9193369150161743,0.9611939787864685,0.47856515645980835,0.033603422343730927
10.0,0.0,0.9193369150161743,0.9611939787864685,0.4804503321647644,0.03339042514562607
11.0,0.0,0.9193369150161743,0.9611939787864685,0.48379456996917725,0.033288322389125824
12.0,0.0,0.9193369150161743,0.9611939787864685,0.48636394739151,0.0331847257912159
13.0,0.0,0.9193369150161743,0.9611939787864685,0.4884220063686371,0.03310246020555496
14.0,0.0,0.9193369150161743,0.9611939787864685,0.4900883138179779,0.03303594887256622
15.0,0.0,0.9193369150161743,0.9611939787864685,0.4914107918739319,0.03298070281744003
16.0,0.0,0.9193369150161743,0.9611939787864685,0.4925355315208435,0.03293569013476372
17.0,0.0,0.9193369150161743,0.9611939787864685,0.49339064955711365,0.03289713338017464
18.0,0.0,0.9193369150161743,0.9611939787864685,0.4941549599170685,0.032865241169929504
19.0,0.0,0.9193369150161743,0.9611939787864685,0.4947998821735382,0.0328381322324276
20.0,0.0,0.9193369150161743,0.9611939787864685,0.49526774883270264,0.032812539488077164
21.0,0.0,0.9193369150161743,0.9611939787864685,0.49576178193092346,0.032796308398246765
22.0,0.0,0.9193369150161743,0.9611939787864685,0.49614661931991577,0.03278178721666336
23.0,0.0,0.9193369150161743,0.9611939787864685,0.4964645802974701,0.03277014195919037
24.0,0.0,0.9193369150161743,0.9611939787864685,0.49672332406044006,0.03276113048195839
25.0,0.0,0.9193369150161743,0.9611939787864685,0.49693384766578674,0.0327533483505249
26.0,0.0,0.9193369150161743,0.9611939787864685,0.4971120059490204,0.03274735063314438
27.0,0.0,0.9193369150161743,0.9611939787864685,0.4972539246082306,0.03274211287498474
28.0,0.0,0.9193369150161743,0.9611939787864685,0.49737831950187683,0.03273811191320419
29.0,0.0,0.9193369150161743,0.9611939787864685,0.4974822700023651,0.03273480385541916
30.0,0.0,0.9193369150161743,0.9611939787864685,0.4975653886795044,0.03273187205195427
31.0,0.0,0.9193369150161743,0.9611939787864685,0.4976421892642975,0.03272971883416176
32.0,0.0,0.9193369150161743,0.9611939787864685,0.49770304560661316,0.03272780030965805
33.0,0.0,0.9193369150161743,0.9611939787864685,0.4977540969848633,0.03272661566734314
34.0,0.0,0.9193369150161743,0.9611939787864685,0.49779602885246277,0.032725200057029724
35.0,0.0,0.9193369150161743,0.9611939787864685,0.49783068895339966,0.03272431716322899
36.0,0.0,0.9193369150161743,0.9611939787864685,0.4978599548339844,0.03272350877523422
37.0,0.0,0.9193369150161743,0.9611939787864685,0.49788376688957214,0.03272280842065811
38.0,0.0,0.9193369150161743,0.9611939787864685,0.4979044497013092,0.03272246569395065
39.0,0.0,0.9193369150161743,0.9611939787864685,0.49792158603668213,0.032721955329179764
