nohup: ignoring input
epoch 0000 | 213.59s | train_full 6.861886e-01 | test_full 5.825454e-01
epoch 0001 | 209.77s | train_full 5.104096e-01 | test_full 4.582127e-01
epoch 0002 | 211.12s | train_full 4.495700e-01 | test_full 4.284128e-01
epoch 0003 | 208.14s | train_full 3.367276e-01 | test_full 2.844183e-01
epoch 0004 | 215.90s | train_full 2.589165e-01 | test_full 2.336098e-01
epoch 0005 | 211.15s | train_full 2.419879e-01 | test_full 2.200178e-01
epoch 0006 | 213.26s | train_full 2.167274e-01 | test_full 2.136428e-01
epoch 0007 | 211.13s | train_full 2.037274e-01 | test_full 1.973341e-01
epoch 0008 | 215.57s | train_full 1.948855e-01 | test_full 1.930819e-01
epoch 0009 | 212.31s | train_full 1.913999e-01 | test_full 1.829093e-01
epoch 0010 | 212.09s | train_full 1.805508e-01 | test_full 1.986836e-01
epoch 0011 | 211.05s | train_full 1.772600e-01 | test_full 1.711009e-01
epoch 0012 | 211.59s | train_full 1.717560e-01 | test_full 1.676231e-01
epoch 0013 | 212.56s | train_full 1.715690e-01 | test_full 1.576911e-01
epoch 0014 | 214.75s | train_full 1.705001e-01 | test_full 1.547645e-01
epoch 0015 | 212.31s | train_full 1.661018e-01 | test_full 1.592534e-01
epoch 0016 | 211.87s | train_full 1.611108e-01 | test_full 1.854596e-01
epoch 0017 | 212.02s | train_full 1.613106e-01 | test_full 1.509402e-01
epoch 0018 | 212.74s | train_full 1.582047e-01 | test_full 1.529894e-01
epoch 0019 | 212.74s | train_full 1.529449e-01 | test_full 1.700148e-01
epoch 0020 | 211.25s | train_full 1.617634e-01 | test_full 1.550816e-01
epoch 0021 | 212.12s | train_full 1.521759e-01 | test_full 1.507312e-01
epoch 0022 | 210.61s | train_full 1.510591e-01 | test_full 1.499057e-01
epoch 0023 | 210.83s | train_full 1.472871e-01 | test_full 1.385828e-01
epoch 0024 | 212.06s | train_full 1.472717e-01 | test_full 1.386132e-01
epoch 0025 | 210.77s | train_full 1.430576e-01 | test_full 1.991966e-01
epoch 0026 | 210.39s | train_full 1.468192e-01 | test_full 1.587095e-01
epoch 0027 | 221.23s | train_full 1.431190e-01 | test_full 1.317347e-01
epoch 0028 | 213.71s | train_full 1.389351e-01 | test_full 1.353619e-01
epoch 0029 | 210.76s | train_full 1.362100e-01 | test_full 1.316446e-01
epoch 0030 | 213.17s | train_full 1.405851e-01 | test_full 1.334579e-01
epoch 0031 | 212.74s | train_full 1.322646e-01 | test_full 1.305807e-01
epoch 0032 | 215.49s | train_full 1.346236e-01 | test_full 1.383134e-01
epoch 0033 | 214.02s | train_full 1.317150e-01 | test_full 1.455250e-01
epoch 0034 | 215.32s | train_full 1.343166e-01 | test_full 1.279448e-01
epoch 0035 | 215.47s | train_full 1.283634e-01 | test_full 1.277817e-01
epoch 0036 | 212.46s | train_full 1.333862e-01 | test_full 1.248524e-01
epoch 0037 | 211.91s | train_full 1.280719e-01 | test_full 1.204190e-01
epoch 0038 | 211.70s | train_full 1.301462e-01 | test_full 1.268298e-01
epoch 0039 | 212.20s | train_full 1.298953e-01 | test_full 1.308884e-01
epoch 0040 | 210.99s | train_full 1.251872e-01 | test_full 1.226600e-01
epoch 0041 | 211.51s | train_full 1.331951e-01 | test_full 1.452290e-01
epoch 0042 | 210.41s | train_full 1.310348e-01 | test_full 1.187924e-01
epoch 0043 | 210.33s | train_full 1.311753e-01 | test_full 1.135136e-01
epoch 0044 | 211.02s | train_full 1.253818e-01 | test_full 1.242178e-01
epoch 0045 | 211.74s | train_full 1.309755e-01 | test_full 1.255239e-01
epoch 0046 | 211.44s | train_full 1.211263e-01 | test_full 1.194569e-01
epoch 0047 | 211.37s | train_full 1.283555e-01 | test_full 1.344211e-01
epoch 0048 | 211.49s | train_full 1.232254e-01 | test_full 1.260444e-01
epoch 0049 | 212.31s | train_full 1.216219e-01 | test_full 1.193159e-01
epoch 0050 | 210.11s | train_full 1.212764e-01 | test_full 1.131408e-01
epoch 0051 | 210.23s | train_full 1.212264e-01 | test_full 1.213367e-01
epoch 0052 | 211.53s | train_full 1.230609e-01 | test_full 1.272430e-01
epoch 0053 | 212.99s | train_full 1.220028e-01 | test_full 1.346490e-01
epoch 0054 | 210.29s | train_full 1.197466e-01 | test_full 1.154243e-01
epoch 0055 | 203.30s | train_full 1.188219e-01 | test_full 1.153304e-01
epoch 0056 | 204.29s | train_full 1.166524e-01 | test_full 1.091358e-01
