nohup: ignoring input
epoch 0081 | 104.71s | train_full 3.393679e-01 | test_full 3.222325e-01
epoch 0082 | 104.19s | train_full 3.375237e-01 | test_full 3.461168e-01
epoch 0083 | 104.24s | train_full 3.396291e-01 | test_full 3.459952e-01
epoch 0084 | 107.28s | train_full 3.402314e-01 | test_full 3.336236e-01
epoch 0085 | 104.95s | train_full 3.357843e-01 | test_full 3.284745e-01
epoch 0086 | 106.42s | train_full 3.346678e-01 | test_full 3.511619e-01
epoch 0087 | 105.46s | train_full 3.329645e-01 | test_full 3.262918e-01
epoch 0088 | 104.64s | train_full 3.335990e-01 | test_full 3.216924e-01
epoch 0089 | 106.69s | train_full 3.340979e-01 | test_full 3.355531e-01
epoch 0090 | 105.09s | train_full 3.340538e-01 | test_full 3.341634e-01
epoch 0091 | 105.28s | train_full 3.341085e-01 | test_full 3.380893e-01
epoch 0092 | 105.34s | train_full 3.342371e-01 | test_full 3.289164e-01
epoch 0093 | 105.26s | train_full 3.367215e-01 | test_full 3.245855e-01
epoch 0094 | 103.96s | train_full 3.320010e-01 | test_full 3.360714e-01
epoch 0095 | 105.22s | train_full 3.320695e-01 | test_full 3.304854e-01
epoch 0096 | 105.68s | train_full 3.340089e-01 | test_full 3.410630e-01
epoch 0097 | 105.05s | train_full 3.351344e-01 | test_full 3.222875e-01
epoch 0098 | 105.98s | train_full 3.324733e-01 | test_full 3.388241e-01
epoch 0099 | 105.26s | train_full 3.303150e-01 | test_full 3.374876e-01
epoch 0100 | 107.07s | train_full 3.255927e-01 | test_full 3.174828e-01
epoch 0101 | 105.87s | train_full 3.176087e-01 | test_full 3.122430e-01
epoch 0102 | 106.66s | train_full 3.204043e-01 | test_full 3.111420e-01
epoch 0103 | 105.53s | train_full 3.169180e-01 | test_full 3.114860e-01
epoch 0104 | 107.69s | train_full 3.169727e-01 | test_full 3.113127e-01
epoch 0105 | 104.15s | train_full 3.182114e-01 | test_full 3.116914e-01
epoch 0106 | 104.02s | train_full 3.187106e-01 | test_full 3.104286e-01
epoch 0107 | 101.30s | train_full 3.178832e-01 | test_full 3.088367e-01
epoch 0108 | 101.25s | train_full 3.146836e-01 | test_full 3.178969e-01
epoch 0109 | 101.25s | train_full 3.176152e-01 | test_full 3.077863e-01
epoch 0110 | 99.98s | train_full 3.161143e-01 | test_full 3.130103e-01
epoch 0111 | 99.79s | train_full 3.160803e-01 | test_full 3.284249e-01
epoch 0112 | 106.77s | train_full 3.163464e-01 | test_full 3.142746e-01
epoch 0113 | 107.18s | train_full 3.161795e-01 | test_full 3.134642e-01
epoch 0114 | 102.12s | train_full 3.147949e-01 | test_full 3.092064e-01
epoch 0115 | 104.51s | train_full 3.132109e-01 | test_full 3.217000e-01
epoch 0116 | 101.32s | train_full 3.148538e-01 | test_full 3.036207e-01
epoch 0117 | 102.65s | train_full 3.120837e-01 | test_full 3.115514e-01
epoch 0118 | 102.18s | train_full 3.130112e-01 | test_full 3.077088e-01
epoch 0119 | 101.59s | train_full 3.144198e-01 | test_full 3.142311e-01
epoch 0120 | 100.90s | train_full 3.127069e-01 | test_full 3.039766e-01
epoch 0121 | 100.45s | train_full 3.126513e-01 | test_full 3.083275e-01
epoch 0122 | 102.11s | train_full 3.111285e-01 | test_full 3.128262e-01
epoch 0123 | 101.20s | train_full 3.112748e-01 | test_full 3.040405e-01
epoch 0124 | 102.15s | train_full 3.114055e-01 | test_full 3.233743e-01
epoch 0125 | 102.12s | train_full 3.120586e-01 | test_full 3.086548e-01
epoch 0126 | 100.51s | train_full 3.107845e-01 | test_full 3.204660e-01
epoch 0127 | 101.19s | train_full 3.116235e-01 | test_full 3.026589e-01
epoch 0128 | 100.64s | train_full 3.117168e-01 | test_full 3.088792e-01
epoch 0129 | 102.31s | train_full 3.105527e-01 | test_full 3.090324e-01
epoch 0130 | 103.05s | train_full 3.095963e-01 | test_full 3.059581e-01
epoch 0131 | 102.43s | train_full 3.094258e-01 | test_full 3.023915e-01
epoch 0132 | 102.17s | train_full 3.114667e-01 | test_full 3.140679e-01
epoch 0133 | 101.31s | train_full 3.083073e-01 | test_full 3.019220e-01
epoch 0134 | 100.34s | train_full 3.077120e-01 | test_full 3.418736e-01
epoch 0135 | 101.66s | train_full 3.104155e-01 | test_full 3.424045e-01
epoch 0136 | 103.50s | train_full 3.093066e-01 | test_full 3.078613e-01
epoch 0137 | 102.00s | train_full 3.087606e-01 | test_full 3.007627e-01
epoch 0138 | 103.07s | train_full 3.128793e-01 | test_full 3.047916e-01
epoch 0139 | 102.23s | train_full 3.104955e-01 | test_full 3.064718e-01
epoch 0140 | 101.52s | train_full 3.111215e-01 | test_full 3.470365e-01
epoch 0141 | 100.87s | train_full 3.096080e-01 | test_full 3.015254e-01
epoch 0142 | 102.93s | train_full 3.092294e-01 | test_full 3.082242e-01
epoch 0143 | 102.10s | train_full 3.091972e-01 | test_full 3.185497e-01
epoch 0144 | 100.89s | train_full 3.058626e-01 | test_full 3.223636e-01
epoch 0145 | 100.86s | train_full 3.096292e-01 | test_full 3.082320e-01
epoch 0146 | 103.24s | train_full 3.074881e-01 | test_full 3.019429e-01
epoch 0147 | 101.97s | train_full 3.069113e-01 | test_full 3.209434e-01
epoch 0148 | 101.32s | train_full 3.106856e-01 | test_full 3.043683e-01
epoch 0149 | 102.28s | train_full 3.079756e-01 | test_full 3.097846e-01
epoch 0150 | 102.54s | train_full 3.096010e-01 | test_full 3.081191e-01
epoch 0151 | 101.93s | train_full 3.080839e-01 | test_full 2.984982e-01
epoch 0152 | 102.29s | train_full 3.060315e-01 | test_full 3.038872e-01
epoch 0153 | 103.38s | train_full 3.047722e-01 | test_full 2.994018e-01
epoch 0154 | 102.32s | train_full 3.065951e-01 | test_full 3.126829e-01
epoch 0155 | 104.54s | train_full 3.054407e-01 | test_full 3.029103e-01
epoch 0156 | 102.78s | train_full 3.045154e-01 | test_full 3.095720e-01
epoch 0157 | 103.19s | train_full 3.058053e-01 | test_full 3.080195e-01
epoch 0158 | 101.95s | train_full 3.086524e-01 | test_full 3.043182e-01
epoch 0159 | 102.42s | train_full 3.086540e-01 | test_full 3.138062e-01
epoch 0160 | 102.85s | train_full 3.052967e-01 | test_full 3.216460e-01
epoch 0161 | 101.85s | train_full 3.072315e-01 | test_full 3.006313e-01
epoch 0162 | 103.27s | train_full 3.083179e-01 | test_full 3.018335e-01
epoch 0163 | 101.91s | train_full 3.044675e-01 | test_full 2.979045e-01
epoch 0164 | 102.34s | train_full 3.041055e-01 | test_full 3.079309e-01
epoch 0165 | 102.82s | train_full 3.063550e-01 | test_full 3.107285e-01
epoch 0166 | 101.19s | train_full 3.077558e-01 | test_full 3.130073e-01
epoch 0167 | 101.57s | train_full 3.083192e-01 | test_full 3.040747e-01
epoch 0168 | 103.01s | train_full 3.051883e-01 | test_full 3.063095e-01
epoch 0169 | 102.40s | train_full 3.109015e-01 | test_full 3.014885e-01
epoch 0170 | 102.02s | train_full 3.042343e-01 | test_full 3.101053e-01
epoch 0171 | 102.44s | train_full 3.067736e-01 | test_full 2.998613e-01
epoch 0172 | 101.92s | train_full 3.035770e-01 | test_full 2.972409e-01
epoch 0173 | 100.78s | train_full 3.038006e-01 | test_full 3.093622e-01
epoch 0174 | 102.24s | train_full 3.038908e-01 | test_full 2.943876e-01
epoch 0175 | 101.77s | train_full 3.007158e-01 | test_full 2.965616e-01
epoch 0176 | 103.05s | train_full 3.043509e-01 | test_full 2.959582e-01
epoch 0177 | 102.39s | train_full 3.045612e-01 | test_full 3.020552e-01
epoch 0178 | 102.29s | train_full 3.040468e-01 | test_full 2.975233e-01
epoch 0179 | 102.39s | train_full 3.032544e-01 | test_full 3.126937e-01
epoch 0180 | 101.88s | train_full 3.030930e-01 | test_full 3.076684e-01
epoch 0181 | 103.13s | train_full 3.033718e-01 | test_full 3.054038e-01
epoch 0182 | 101.92s | train_full 3.036905e-01 | test_full 3.013411e-01
epoch 0183 | 102.48s | train_full 3.004822e-01 | test_full 3.017389e-01
epoch 0184 | 101.26s | train_full 3.054838e-01 | test_full 2.978471e-01
epoch 0185 | 101.87s | train_full 3.020860e-01 | test_full 3.115011e-01
epoch 0186 | 102.74s | train_full 3.026350e-01 | test_full 2.984042e-01
epoch 0187 | 100.96s | train_full 2.998836e-01 | test_full 3.082611e-01
epoch 0188 | 101.99s | train_full 3.050581e-01 | test_full 3.023598e-01
epoch 0189 | 102.40s | train_full 3.014192e-01 | test_full 3.103994e-01
epoch 0190 | 101.97s | train_full 3.006538e-01 | test_full 2.971376e-01
epoch 0191 | 102.29s | train_full 3.014779e-01 | test_full 2.994371e-01
epoch 0192 | 101.71s | train_full 3.031915e-01 | test_full 2.926646e-01
epoch 0193 | 101.86s | train_full 3.006446e-01 | test_full 2.982638e-01
epoch 0194 | 103.60s | train_full 3.006433e-01 | test_full 2.944031e-01
epoch 0195 | 101.83s | train_full 3.034416e-01 | test_full 3.165154e-01
epoch 0196 | 103.86s | train_full 3.015016e-01 | test_full 3.078991e-01
epoch 0197 | 102.48s | train_full 3.016794e-01 | test_full 3.089827e-01
epoch 0198 | 102.58s | train_full 3.015934e-01 | test_full 3.014660e-01
epoch 0199 | 98.98s | train_full 2.983995e-01 | test_full 2.925205e-01
epoch 0200 | 102.31s | train_full 2.942524e-01 | test_full 2.920182e-01
epoch 0201 | 100.66s | train_full 2.926435e-01 | test_full 2.899811e-01
epoch 0202 | 101.58s | train_full 2.930532e-01 | test_full 2.916036e-01
epoch 0203 | 102.72s | train_full 2.924138e-01 | test_full 2.910518e-01
epoch 0204 | 102.16s | train_full 2.906998e-01 | test_full 2.922274e-01
epoch 0205 | 102.76s | train_full 2.919408e-01 | test_full 2.926697e-01
epoch 0206 | 103.05s | train_full 2.918751e-01 | test_full 2.919782e-01
epoch 0207 | 101.77s | train_full 2.927443e-01 | test_full 2.877641e-01
epoch 0208 | 102.33s | train_full 2.894132e-01 | test_full 2.887881e-01
epoch 0209 | 103.30s | train_full 2.908670e-01 | test_full 2.906652e-01
epoch 0210 | 102.50s | train_full 2.904022e-01 | test_full 2.930261e-01
epoch 0211 | 105.38s | train_full 2.930284e-01 | test_full 2.876623e-01
epoch 0212 | 102.78s | train_full 2.894238e-01 | test_full 2.892528e-01
epoch 0213 | 101.93s | train_full 2.909913e-01 | test_full 2.929331e-01
epoch 0214 | 101.87s | train_full 2.899732e-01 | test_full 2.881157e-01
epoch 0215 | 102.82s | train_full 2.888078e-01 | test_full 2.900157e-01
epoch 0216 | 101.98s | train_full 2.886414e-01 | test_full 2.937677e-01
epoch 0217 | 103.46s | train_full 2.910340e-01 | test_full 2.878096e-01
epoch 0218 | 103.23s | train_full 2.892216e-01 | test_full 2.916288e-01
epoch 0219 | 102.30s | train_full 2.885011e-01 | test_full 2.871278e-01
epoch 0220 | 102.99s | train_full 2.889485e-01 | test_full 2.921357e-01
epoch 0221 | 101.57s | train_full 2.886558e-01 | test_full 2.916464e-01
epoch 0222 | 102.25s | train_full 2.952431e-01 | test_full 2.933782e-01
epoch 0223 | 102.46s | train_full 2.890344e-01 | test_full 2.891428e-01
epoch 0224 | 104.04s | train_full 2.890109e-01 | test_full 2.875601e-01
epoch 0225 | 101.83s | train_full 2.885623e-01 | test_full 2.872186e-01
epoch 0226 | 102.64s | train_full 2.891272e-01 | test_full 2.847959e-01
epoch 0227 | 102.91s | train_full 2.885375e-01 | test_full 3.072167e-01
epoch 0228 | 103.10s | train_full 2.904773e-01 | test_full 2.924019e-01
epoch 0229 | 102.86s | train_full 2.869634e-01 | test_full 3.036349e-01
epoch 0230 | 102.70s | train_full 2.885453e-01 | test_full 2.871239e-01
epoch 0231 | 102.49s | train_full 2.876262e-01 | test_full 2.862988e-01
epoch 0232 | 102.93s | train_full 2.864225e-01 | test_full 2.853898e-01
epoch 0233 | 103.09s | train_full 2.881856e-01 | test_full 2.881616e-01
epoch 0234 | 102.75s | train_full 2.884432e-01 | test_full 2.850111e-01
epoch 0235 | 102.23s | train_full 2.905511e-01 | test_full 2.841399e-01
epoch 0236 | 102.60s | train_full 2.861088e-01 | test_full 2.852058e-01
epoch 0237 | 100.90s | train_full 2.871206e-01 | test_full 2.961454e-01
epoch 0238 | 101.61s | train_full 2.882427e-01 | test_full 2.847261e-01
epoch 0239 | 103.39s | train_full 2.875565e-01 | test_full 2.861728e-01
epoch 0240 | 102.48s | train_full 2.860676e-01 | test_full 2.859513e-01
epoch 0241 | 101.84s | train_full 2.882268e-01 | test_full 3.045778e-01
epoch 0242 | 102.58s | train_full 2.878140e-01 | test_full 2.936354e-01
epoch 0243 | 100.73s | train_full 2.864534e-01 | test_full 2.827952e-01
epoch 0244 | 102.54s | train_full 2.856987e-01 | test_full 2.934441e-01
epoch 0245 | 103.04s | train_full 2.859998e-01 | test_full 2.862843e-01
