nohup: ignoring input
epoch 0000 | 118.15s | train_full 8.044399e-01 | test_full 6.999394e-01
epoch 0001 | 114.20s | train_full 6.383451e-01 | test_full 5.550817e-01
epoch 0002 | 111.70s | train_full 5.203363e-01 | test_full 5.178199e-01
epoch 0003 | 113.61s | train_full 4.781732e-01 | test_full 4.584756e-01
epoch 0004 | 114.41s | train_full 4.616878e-01 | test_full 4.549067e-01
epoch 0005 | 114.91s | train_full 4.520209e-01 | test_full 4.449458e-01
epoch 0006 | 113.42s | train_full 4.469482e-01 | test_full 4.421989e-01
epoch 0007 | 114.95s | train_full 4.465883e-01 | test_full 4.347629e-01
epoch 0008 | 115.94s | train_full 4.387010e-01 | test_full 4.300196e-01
epoch 0009 | 114.63s | train_full 4.347248e-01 | test_full 4.202321e-01
epoch 0010 | 114.56s | train_full 4.292761e-01 | test_full 4.257917e-01
epoch 0011 | 117.52s | train_full 4.235027e-01 | test_full 4.165063e-01
epoch 0012 | 117.70s | train_full 4.224921e-01 | test_full 4.228932e-01
epoch 0013 | 116.98s | train_full 4.236262e-01 | test_full 4.087486e-01
epoch 0014 | 116.90s | train_full 4.161784e-01 | test_full 4.072082e-01
epoch 0015 | 117.98s | train_full 4.147855e-01 | test_full 3.973266e-01
epoch 0016 | 117.60s | train_full 4.100009e-01 | test_full 3.940191e-01
epoch 0017 | 118.26s | train_full 4.031321e-01 | test_full 3.966308e-01
epoch 0018 | 117.49s | train_full 4.000270e-01 | test_full 4.152162e-01
epoch 0019 | 120.54s | train_full 4.004848e-01 | test_full 3.898664e-01
epoch 0020 | 119.79s | train_full 3.971356e-01 | test_full 4.053185e-01
epoch 0021 | 115.45s | train_full 3.959034e-01 | test_full 3.853603e-01
epoch 0022 | 118.34s | train_full 3.948353e-01 | test_full 4.139790e-01
epoch 0023 | 116.75s | train_full 3.936882e-01 | test_full 3.859235e-01
epoch 0024 | 118.56s | train_full 3.927637e-01 | test_full 3.914480e-01
epoch 0025 | 118.06s | train_full 3.889230e-01 | test_full 3.788920e-01
epoch 0026 | 115.25s | train_full 3.884026e-01 | test_full 3.888766e-01
epoch 0027 | 118.02s | train_full 3.846958e-01 | test_full 3.869823e-01
epoch 0028 | 116.75s | train_full 3.832238e-01 | test_full 3.752720e-01
epoch 0029 | 117.36s | train_full 3.843950e-01 | test_full 3.738044e-01
epoch 0030 | 117.64s | train_full 3.791880e-01 | test_full 4.025697e-01
epoch 0031 | 115.88s | train_full 3.772916e-01 | test_full 3.703069e-01
epoch 0032 | 118.43s | train_full 3.764275e-01 | test_full 3.690639e-01
epoch 0033 | 116.52s | train_full 3.773506e-01 | test_full 3.916397e-01
epoch 0034 | 115.78s | train_full 3.761545e-01 | test_full 3.738461e-01
epoch 0035 | 118.25s | train_full 3.764937e-01 | test_full 3.735089e-01
epoch 0036 | 116.03s | train_full 3.742866e-01 | test_full 3.596821e-01
epoch 0037 | 117.75s | train_full 3.731439e-01 | test_full 3.655132e-01
epoch 0038 | 116.57s | train_full 3.791043e-01 | test_full 3.612259e-01
epoch 0039 | 116.71s | train_full 3.685724e-01 | test_full 3.602680e-01
epoch 0040 | 115.56s | train_full 3.704617e-01 | test_full 3.638276e-01
epoch 0041 | 116.35s | train_full 3.653424e-01 | test_full 3.582859e-01
epoch 0042 | 115.21s | train_full 3.666470e-01 | test_full 3.595884e-01
epoch 0043 | 117.74s | train_full 3.666356e-01 | test_full 3.752238e-01
epoch 0044 | 116.78s | train_full 3.687924e-01 | test_full 3.581355e-01
epoch 0045 | 116.93s | train_full 3.646663e-01 | test_full 3.522696e-01
epoch 0046 | 117.41s | train_full 3.681475e-01 | test_full 3.548073e-01
epoch 0047 | 116.78s | train_full 3.643789e-01 | test_full 3.796762e-01
epoch 0048 | 114.01s | train_full 3.618551e-01 | test_full 3.538907e-01
epoch 0049 | 114.89s | train_full 3.642800e-01 | test_full 3.575052e-01
epoch 0050 | 112.27s | train_full 3.640160e-01 | test_full 3.623835e-01
epoch 0051 | 113.26s | train_full 3.574819e-01 | test_full 3.477279e-01
epoch 0052 | 115.02s | train_full 3.599431e-01 | test_full 3.535474e-01
epoch 0053 | 114.24s | train_full 3.604730e-01 | test_full 3.618680e-01
epoch 0054 | 115.71s | train_full 3.587454e-01 | test_full 3.515484e-01
epoch 0055 | 113.32s | train_full 3.600598e-01 | test_full 3.520071e-01
epoch 0056 | 114.99s | train_full 3.576373e-01 | test_full 3.497251e-01
epoch 0057 | 114.97s | train_full 3.588524e-01 | test_full 3.483192e-01
epoch 0058 | 113.97s | train_full 3.553228e-01 | test_full 3.496745e-01
epoch 0059 | 114.84s | train_full 3.585869e-01 | test_full 3.456890e-01
epoch 0060 | 114.47s | train_full 3.538662e-01 | test_full 3.745473e-01
epoch 0061 | 114.78s | train_full 3.549663e-01 | test_full 3.621535e-01
epoch 0062 | 115.49s | train_full 3.544830e-01 | test_full 3.467853e-01
epoch 0063 | 115.25s | train_full 3.565262e-01 | test_full 3.486179e-01
epoch 0064 | 114.86s | train_full 3.525805e-01 | test_full 3.499277e-01
epoch 0065 | 114.38s | train_full 3.511485e-01 | test_full 3.604902e-01
epoch 0066 | 115.79s | train_full 3.533194e-01 | test_full 3.419202e-01
epoch 0067 | 116.59s | train_full 3.496526e-01 | test_full 3.489342e-01
epoch 0068 | 115.30s | train_full 3.505596e-01 | test_full 3.388470e-01
epoch 0069 | 114.30s | train_full 3.522768e-01 | test_full 3.503716e-01
epoch 0070 | 117.85s | train_full 3.523568e-01 | test_full 3.411917e-01
epoch 0071 | 114.21s | train_full 3.480170e-01 | test_full 3.548525e-01
epoch 0072 | 114.01s | train_full 3.517962e-01 | test_full 3.395145e-01
epoch 0073 | 114.49s | train_full 3.511426e-01 | test_full 3.529623e-01
epoch 0074 | 112.83s | train_full 3.458063e-01 | test_full 3.351286e-01
epoch 0075 | 114.62s | train_full 3.474400e-01 | test_full 3.420533e-01
epoch 0076 | 114.27s | train_full 3.538684e-01 | test_full 3.338550e-01
epoch 0077 | 115.74s | train_full 3.520179e-01 | test_full 3.374777e-01
epoch 0078 | 115.18s | train_full 3.451102e-01 | test_full 3.389281e-01
epoch 0079 | 116.53s | train_full 3.449435e-01 | test_full 3.405855e-01
epoch 0080 | 116.08s | train_full 3.474155e-01 | test_full 3.318100e-01
epoch 0081 | 117.09s | train_full 3.433720e-01 | test_full 3.607413e-01
epoch 0082 | 117.03s | train_full 3.421519e-01 | test_full 3.413016e-01
epoch 0083 | 115.02s | train_full 3.454342e-01 | test_full 3.334699e-01
epoch 0084 | 113.89s | train_full 3.469086e-01 | test_full 3.353544e-01
epoch 0085 | 113.73s | train_full 3.402102e-01 | test_full 3.374902e-01
epoch 0086 | 115.58s | train_full 3.479318e-01 | test_full 3.712258e-01
epoch 0087 | 113.92s | train_full 3.467007e-01 | test_full 3.469469e-01
epoch 0088 | 114.71s | train_full 3.402624e-01 | test_full 3.342003e-01
epoch 0089 | 108.93s | train_full 3.453342e-01 | test_full 3.427351e-01
epoch 0090 | 100.68s | train_full 3.415892e-01 | test_full 3.337374e-01
epoch 0091 | 102.46s | train_full 3.510978e-01 | test_full 3.373733e-01
epoch 0092 | 102.50s | train_full 3.398371e-01 | test_full 3.314995e-01
epoch 0093 | 102.81s | train_full 3.378043e-01 | test_full 3.314702e-01
epoch 0094 | 102.31s | train_full 3.417107e-01 | test_full 3.291702e-01
epoch 0095 | 102.68s | train_full 3.423171e-01 | test_full 3.379090e-01
epoch 0096 | 102.59s | train_full 3.503016e-01 | test_full 3.269394e-01
epoch 0097 | 102.41s | train_full 3.389231e-01 | test_full 3.469406e-01
epoch 0098 | 102.21s | train_full 3.382509e-01 | test_full 3.390577e-01
epoch 0099 | 102.68s | train_full 3.381314e-01 | test_full 3.509792e-01
epoch 0100 | 102.49s | train_full 3.300687e-01 | test_full 3.216164e-01
epoch 0101 | 101.75s | train_full 3.287586e-01 | test_full 3.298758e-01
epoch 0102 | 102.46s | train_full 3.282780e-01 | test_full 3.223788e-01
epoch 0103 | 102.78s | train_full 3.262070e-01 | test_full 3.225128e-01
epoch 0104 | 101.93s | train_full 3.260840e-01 | test_full 3.343179e-01
epoch 0105 | 102.79s | train_full 3.263395e-01 | test_full 3.219484e-01
epoch 0106 | 103.74s | train_full 3.234432e-01 | test_full 3.262158e-01
