nohup: ignoring input
epoch 0000 | 103.49s | train_full 8.340282e-01 | test_full 7.368993e-01
epoch 0001 | 103.07s | train_full 7.224444e-01 | test_full 7.039352e-01
epoch 0002 | 101.46s | train_full 7.041922e-01 | test_full 6.525871e-01
epoch 0003 | 101.35s | train_full 6.120654e-01 | test_full 5.792278e-01
epoch 0004 | 101.32s | train_full 5.374263e-01 | test_full 5.003872e-01
epoch 0005 | 101.24s | train_full 5.008270e-01 | test_full 4.782422e-01
epoch 0006 | 101.79s | train_full 4.886945e-01 | test_full 4.780213e-01
epoch 0007 | 101.79s | train_full 4.724522e-01 | test_full 4.523454e-01
epoch 0008 | 101.72s | train_full 4.541117e-01 | test_full 4.424146e-01
epoch 0009 | 101.70s | train_full 4.525425e-01 | test_full 4.302321e-01
epoch 0010 | 101.59s | train_full 4.387863e-01 | test_full 4.552293e-01
epoch 0011 | 101.58s | train_full 4.393537e-01 | test_full 4.180923e-01
epoch 0012 | 101.54s | train_full 4.255238e-01 | test_full 4.072079e-01
epoch 0013 | 101.77s | train_full 4.202495e-01 | test_full 4.481068e-01
epoch 0014 | 102.14s | train_full 4.157735e-01 | test_full 3.962339e-01
epoch 0015 | 101.76s | train_full 4.043907e-01 | test_full 3.928072e-01
epoch 0016 | 101.70s | train_full 3.975887e-01 | test_full 4.082030e-01
epoch 0017 | 101.42s | train_full 4.006769e-01 | test_full 3.916016e-01
epoch 0018 | 101.30s | train_full 3.908833e-01 | test_full 4.274430e-01
epoch 0019 | 101.47s | train_full 3.877314e-01 | test_full 3.913868e-01
epoch 0020 | 101.36s | train_full 3.840709e-01 | test_full 3.880027e-01
epoch 0021 | 101.28s | train_full 3.843116e-01 | test_full 3.998744e-01
epoch 0022 | 101.37s | train_full 3.817369e-01 | test_full 3.742711e-01
epoch 0023 | 101.69s | train_full 3.754831e-01 | test_full 3.886554e-01
epoch 0024 | 101.45s | train_full 3.631048e-01 | test_full 3.429590e-01
epoch 0025 | 101.89s | train_full 3.627005e-01 | test_full 3.627919e-01
epoch 0026 | 101.49s | train_full 3.666990e-01 | test_full 3.698247e-01
epoch 0027 | 101.71s | train_full 3.606744e-01 | test_full 3.493631e-01
epoch 0028 | 101.36s | train_full 3.579084e-01 | test_full 3.523288e-01
epoch 0029 | 101.37s | train_full 3.542190e-01 | test_full 3.381150e-01
epoch 0030 | 101.26s | train_full 3.499239e-01 | test_full 3.331747e-01
epoch 0031 | 101.13s | train_full 3.474821e-01 | test_full 3.369595e-01
epoch 0032 | 101.36s | train_full 3.465258e-01 | test_full 3.250934e-01
epoch 0033 | 101.57s | train_full 3.451210e-01 | test_full 3.767513e-01
epoch 0034 | 102.73s | train_full 3.528649e-01 | test_full 3.344045e-01
epoch 0035 | 102.89s | train_full 3.421555e-01 | test_full 3.331412e-01
epoch 0036 | 103.11s | train_full 3.428584e-01 | test_full 3.470924e-01
epoch 0037 | 102.70s | train_full 3.463825e-01 | test_full 3.296686e-01
epoch 0038 | 102.82s | train_full 3.359251e-01 | test_full 3.291614e-01
epoch 0039 | 102.93s | train_full 3.364571e-01 | test_full 3.343822e-01
epoch 0040 | 102.34s | train_full 3.360284e-01 | test_full 3.149780e-01
epoch 0041 | 102.36s | train_full 3.401333e-01 | test_full 3.570464e-01
epoch 0042 | 102.26s | train_full 3.354381e-01 | test_full 3.180338e-01
epoch 0043 | 102.41s | train_full 3.255615e-01 | test_full 3.424884e-01
epoch 0044 | 102.54s | train_full 3.314424e-01 | test_full 3.434180e-01
epoch 0045 | 102.40s | train_full 3.275228e-01 | test_full 3.211461e-01
epoch 0046 | 102.47s | train_full 3.256353e-01 | test_full 3.183658e-01
epoch 0047 | 102.13s | train_full 3.337981e-01 | test_full 3.552193e-01
epoch 0048 | 101.89s | train_full 3.258448e-01 | test_full 3.079972e-01
epoch 0049 | 101.91s | train_full 3.256239e-01 | test_full 3.089839e-01
epoch 0050 | 101.99s | train_full 3.283816e-01 | test_full 3.143479e-01
epoch 0051 | 101.94s | train_full 3.200578e-01 | test_full 3.197826e-01
epoch 0052 | 101.88s | train_full 3.232034e-01 | test_full 3.069361e-01
epoch 0053 | 102.10s | train_full 3.153224e-01 | test_full 3.293395e-01
epoch 0054 | 101.67s | train_full 3.205514e-01 | test_full 3.074171e-01
epoch 0055 | 101.61s | train_full 3.187182e-01 | test_full 3.136617e-01
epoch 0056 | 101.60s | train_full 3.230444e-01 | test_full 3.208583e-01
epoch 0057 | 101.75s | train_full 3.100142e-01 | test_full 3.248667e-01
epoch 0058 | 101.58s | train_full 3.091374e-01 | test_full 3.358081e-01
epoch 0059 | 101.68s | train_full 3.112926e-01 | test_full 3.132700e-01
epoch 0060 | 101.55s | train_full 3.119044e-01 | test_full 2.967012e-01
epoch 0061 | 101.65s | train_full 3.180662e-01 | test_full 2.988653e-01
epoch 0062 | 101.90s | train_full 3.099164e-01 | test_full 2.955586e-01
epoch 0063 | 101.95s | train_full 3.091886e-01 | test_full 2.913819e-01
epoch 0064 | 101.84s | train_full 3.087708e-01 | test_full 2.936664e-01
