epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
54,43.429833,5,3.74952155e-04,4.91558718e-05,6.68858139e-03,,,5.00000000e-05,948353
55,37.025278,5,3.86016083e-04,4.99918675e-05,6.71841145e-03,,,5.00000000e-05,948353
56,35.233118,5,3.72749364e-04,4.55883281e-05,6.44254178e-03,,,5.00000000e-05,948353
57,33.382623,5,3.79727769e-04,4.53663380e-05,6.41808970e-03,,,5.00000000e-05,948353
58,31.308783,5,3.84831537e-04,4.49612999e-05,6.38971987e-03,,,5.00000000e-05,948353
59,30.374112,5,3.86822156e-04,4.38259655e-05,6.30951772e-03,,,5.00000000e-05,948353
60,26.270925,5,3.95164299e-04,4.42388505e-05,6.33320464e-03,,,5.00000000e-05,948353
61,28.031722,5,3.94601146e-04,4.27331188e-05,6.23139474e-03,,,5.00000000e-05,948353
62,29.335378,5,4.05416589e-04,4.37337259e-05,6.29677025e-03,,,5.00000000e-05,948353
63,25.797657,5,4.03097345e-04,4.20057545e-05,6.17927099e-03,,,5.00000000e-05,948353
64,26.114014,5,4.08374443e-04,4.18415170e-05,6.16798272e-03,,,5.00000000e-05,948353
65,24.404611,5,4.13071292e-04,4.16297854e-05,6.15254153e-03,,,5.00000000e-05,948353
66,24.452166,5,4.18090530e-04,4.15779066e-05,6.14719831e-03,,,5.00000000e-05,948353
67,25.826013,5,4.23332254e-04,4.15685754e-05,6.14624991e-03,,,5.00000000e-05,948353
68,25.536551,5,4.27022333e-04,4.13599907e-05,6.13149357e-03,,,5.00000000e-05,948353
69,28.808644,5,4.30168391e-04,4.10940553e-05,6.11242146e-03,,,5.00000000e-05,948353
70,29.295816,5,4.35788271e-04,4.14113960e-05,6.13329212e-03,,,5.00000000e-05,948353
71,28.916015,5,4.36400820e-04,4.07458313e-05,6.08469526e-03,,,5.00000000e-05,948353
72,29.440854,5,4.40433822e-04,4.08351154e-05,6.09001687e-03,,,5.00000000e-05,948353
73,27.555785,5,4.45625857e-04,4.12833254e-05,6.12124192e-03,,,5.00000000e-05,948353
74,25.896328,5,4.47497980e-04,4.10024765e-05,6.10076047e-03,,,5.00000000e-05,948353
75,45.675050,10,9.78183449e-04,1.48353982e-04,1.13107832e-02,,,5.00000000e-05,948353
76,46.375673,10,9.08959729e-04,1.32503515e-04,1.08863447e-02,,,5.00000000e-05,948353
77,44.610063,10,8.58366313e-04,1.20902623e-04,1.04120201e-02,,,5.00000000e-05,948353
78,46.552420,10,8.51156440e-04,1.18382925e-04,1.03012353e-02,,,5.00000000e-05,948353
79,44.969178,10,8.06961751e-04,1.08374291e-04,9.87283032e-03,,,5.00000000e-05,948353
80,44.936025,10,8.17601007e-04,1.09278644e-04,9.91899174e-03,,,5.00000000e-05,948353
81,47.108909,10,8.25492249e-04,1.09573792e-04,9.91497355e-03,,,5.00000000e-05,948353
82,44.256696,10,8.17489250e-04,1.07245114e-04,9.84018593e-03,,,5.00000000e-05,948353
83,43.329382,10,7.92211612e-04,1.01161546e-04,9.57338034e-03,,,5.00000000e-05,948353
84,41.987043,10,8.04884469e-04,1.02930777e-04,9.64668880e-03,,,5.00000000e-05,948353
85,42.864185,10,7.93807898e-04,9.98677526e-05,9.51881749e-03,,,5.00000000e-05,948353
86,41.212826,10,7.89877467e-04,9.84259033e-05,9.44690206e-03,,,5.00000000e-05,948353
87,41.232656,10,7.78160702e-04,9.53848413e-05,9.29714173e-03,,,5.00000000e-05,948353
88,41.181209,10,8.06460681e-04,1.00261473e-04,9.52093330e-03,,,5.00000000e-05,948353
89,41.803303,10,7.85490121e-04,9.54081984e-05,9.29956332e-03,,,5.00000000e-05,948353
90,41.963723,10,7.89560453e-04,9.56143417e-05,9.31340910e-03,,,5.00000000e-05,948353
91,42.175090,10,7.81605708e-04,9.33974716e-05,9.21352301e-03,,,5.00000000e-05,948353
92,42.641189,10,7.92230273e-04,9.48663236e-05,9.27062961e-03,,,5.00000000e-05,948353
93,42.219803,10,7.82039085e-04,9.22969118e-05,9.16044993e-03,,,5.00000000e-05,948353
94,42.633450,10,7.86262917e-04,9.25430663e-05,9.17242219e-03,,,5.00000000e-05,948353
95,41.690731,10,7.86182699e-04,9.19735406e-05,9.14326672e-03,,,5.00000000e-05,948353
96,41.668210,10,7.72431260e-04,8.86902195e-05,8.98487336e-03,,,5.00000000e-05,948353
97,42.538389,10,7.95404747e-04,9.27145590e-05,9.17550845e-03,,,5.00000000e-05,948353
98,41.081284,10,7.71815729e-04,8.74817979e-05,8.92725063e-03,,,5.00000000e-05,948353
99,43.518613,10,7.77038511e-04,8.79967280e-05,8.95261496e-03,,,2.50000000e-05,948353
100,158.108802,40,8.17498170e-02,1.55683486e-02,1.11169024e-01,,,2.50000000e-05,948353
101,157.019005,40,3.93326934e-02,5.96376565e-03,7.01765890e-02,,,2.50000000e-05,948353
102,158.327645,40,3.58765737e-02,5.58884397e-03,6.66951131e-02,,,2.50000000e-05,948353
103,158.369014,40,1.22875249e-02,1.54267830e-03,3.73105249e-02,,,2.50000000e-05,948353
104,158.324475,40,9.30070846e-03,1.30656124e-03,3.43363413e-02,,,2.50000000e-05,948353
105,159.863524,40,8.41447034e-03,1.24474451e-03,3.34773867e-02,,,2.50000000e-05,948353
106,159.760185,40,8.03781002e-03,1.19940500e-03,3.28734009e-02,,,2.50000000e-05,948353
107,158.521637,40,7.71036225e-03,1.16316119e-03,3.23714026e-02,,,2.50000000e-05,948353
108,158.764480,40,1.92788451e-02,3.53868160e-03,5.22900960e-02,,,2.50000000e-05,948353
109,157.777554,40,1.27118941e-02,2.23859487e-03,4.20770288e-02,,,2.50000000e-05,948353
110,156.627378,40,6.13259819e-03,9.62977572e-04,2.96891236e-02,,,2.50000000e-05,948353
111,157.222163,40,5.53523783e-03,8.86666272e-04,2.84571273e-02,,,2.50000000e-05,948353
112,157.449741,40,5.42927034e-03,8.49488280e-04,2.78842435e-02,,,2.50000000e-05,948353
113,159.646664,40,5.25007047e-03,8.27066778e-04,2.74811701e-02,,,2.50000000e-05,948353
114,159.444291,40,5.02184355e-03,7.94702125e-04,2.69448060e-02,,,2.50000000e-05,948353
115,157.364395,40,5.13541567e-03,7.93146931e-04,2.69646363e-02,,,2.50000000e-05,948353
116,158.360483,40,5.16649895e-03,7.88683096e-04,2.68605533e-02,,,2.50000000e-05,948353
117,158.593176,40,5.31093777e-03,7.93242306e-04,2.69641520e-02,,,2.50000000e-05,948353
118,158.919513,40,9.07676041e-03,1.59897656e-03,3.58945594e-02,,,2.50000000e-05,948353
119,158.186957,40,1.17595029e-02,2.12333951e-03,4.29521309e-02,,,2.50000000e-05,948353
120,158.666820,40,1.09525211e-02,1.84390886e-03,4.03124682e-02,,,2.50000000e-05,948353
121,157.487993,40,1.04310289e-02,1.81592423e-03,4.00430999e-02,,,2.50000000e-05,948353
122,158.593020,40,9.31569513e-03,1.65432613e-03,3.79859774e-02,,,2.50000000e-05,948353
123,159.191778,40,3.95627610e-03,6.62512535e-04,2.47128738e-02,,,2.50000000e-05,948353
124,161.165513,40,3.84377086e-03,6.19525575e-04,2.39553717e-02,,,2.50000000e-05,948353
125,159.193958,40,3.87780454e-03,6.12768388e-04,2.38233180e-02,,,2.50000000e-05,948353
126,159.542715,40,3.83453815e-03,6.00009169e-04,2.35718886e-02,,,2.50000000e-05,948353
127,156.459940,40,3.80884716e-03,5.92274085e-04,2.34146472e-02,,,2.50000000e-05,948353
128,159.895511,40,3.79105759e-03,5.97361005e-04,2.34763511e-02,,,2.50000000e-05,948353
129,158.653281,40,1.14169350e-02,2.16464626e-03,4.10420578e-02,,,2.50000000e-05,948353
130,157.377314,40,5.12837664e-03,8.65155355e-04,2.82343586e-02,,,2.50000000e-05,948353
131,162.555460,40,5.29159230e-03,8.37654319e-04,2.77797694e-02,,,2.50000000e-05,948353
132,160.809198,40,5.27276279e-03,8.24562055e-04,2.75318291e-02,,,2.50000000e-05,948353
133,159.130553,40,5.09623898e-03,8.07450118e-04,2.72097135e-02,,,2.50000000e-05,948353
134,158.427494,40,4.87062162e-03,7.82561384e-04,2.67754032e-02,,,2.50000000e-05,948353
135,156.099737,40,4.79138473e-03,7.75049483e-04,2.66427448e-02,,,2.50000000e-05,948353
136,159.665574,40,4.67599235e-03,7.57361295e-04,2.63314574e-02,,,2.50000000e-05,948353
137,160.795576,40,4.61709590e-03,7.60738314e-04,2.63568844e-02,,,2.50000000e-05,948353
138,160.323676,40,4.51524401e-03,7.42491591e-04,2.60398430e-02,,,2.50000000e-05,948353
139,160.251306,40,4.53361727e-03,7.48334690e-04,2.60980995e-02,,,2.50000000e-05,948353
140,158.520786,40,8.90486131e-03,1.68587765e-03,3.63987935e-02,,,2.50000000e-05,948353
141,160.208790,40,4.29000247e-03,7.87565489e-04,2.66733122e-02,,,2.50000000e-05,948353
142,161.299580,40,3.79116282e-03,6.37193317e-04,2.42313003e-02,,,2.50000000e-05,948353
143,160.385709,40,4.02828717e-03,6.58759729e-04,2.46240009e-02,,,2.50000000e-05,948353
144,159.166144,40,5.35502026e-03,9.82864589e-04,2.93890993e-02,,,2.50000000e-05,948353
145,160.262407,40,5.19683052e-03,9.21871723e-04,2.87408316e-02,,,2.50000000e-05,948353
146,160.190876,40,5.17277869e-03,8.98867495e-04,2.84718609e-02,,,2.50000000e-05,948353
147,160.257188,40,5.14537932e-03,8.84023317e-04,2.82731216e-02,,,2.50000000e-05,948353
148,157.977612,40,5.22303171e-03,8.83144236e-04,2.82694549e-02,,,2.50000000e-05,948353
149,158.980517,40,5.07890195e-03,8.65285552e-04,2.79807467e-02,,,2.50000000e-05,948353
150,158.124027,40,4.96884327e-03,8.55819341e-04,2.78024029e-02,,,2.50000000e-05,948353
151,160.687592,40,4.97841812e-03,8.51925964e-04,2.77391288e-02,,,2.50000000e-05,948353
152,160.979677,40,4.80175719e-03,8.23692485e-04,2.72972450e-02,,,2.50000000e-05,948353
153,158.114610,40,4.68777526e-03,8.02849688e-04,2.69552007e-02,,,2.50000000e-05,948353
154,160.425681,40,4.74837943e-03,8.26429944e-04,2.72966692e-02,,,2.50000000e-05,948353
155,161.030134,40,4.57732102e-03,8.14974735e-04,2.70113116e-02,,,2.50000000e-05,948353
156,163.590569,40,4.85062989e-03,8.79699780e-04,2.74962244e-02,,,2.50000000e-05,948353
157,161.421635,40,4.32422438e-03,7.45843591e-04,2.60518458e-02,,,2.50000000e-05,948353
158,160.143878,40,4.31159905e-03,7.32993887e-04,2.58445178e-02,,,2.50000000e-05,948353
159,159.536208,40,4.22320360e-03,7.18386876e-04,2.55774525e-02,,,2.50000000e-05,948353
160,159.734406,40,4.07367596e-03,6.96088756e-04,2.51899871e-02,,,2.50000000e-05,948353
161,160.266915,40,3.97221183e-03,7.05494201e-04,2.49318955e-02,,,2.50000000e-05,948353
162,159.577924,40,5.23352348e-03,9.60059452e-04,2.88465909e-02,,,2.50000000e-05,948353
163,157.448598,40,3.87909795e-03,6.79232486e-04,2.48339099e-02,,,2.50000000e-05,948353
164,159.307781,40,3.67557645e-03,6.34056376e-04,2.40441188e-02,,,2.50000000e-05,948353
165,160.744571,40,3.67905486e-03,6.30549944e-04,2.39703505e-02,,,2.50000000e-05,948353
166,159.368359,40,3.61641494e-03,6.19193244e-04,2.37412791e-02,,,2.50000000e-05,948353
167,162.151453,40,3.54089580e-03,6.12728678e-04,2.34003139e-02,,,2.50000000e-05,948353
168,160.535522,40,3.31915590e-03,5.87077099e-04,2.28986616e-02,,,2.50000000e-05,948353
169,159.670817,40,3.37821229e-03,5.76863822e-04,2.29194102e-02,,,2.50000000e-05,948353
170,158.260508,40,5.20472528e-03,9.51129454e-04,2.78023803e-02,,,2.50000000e-05,948353
171,160.687931,40,3.89837486e-03,6.96566064e-04,2.49849540e-02,,,2.50000000e-05,948353
172,159.447481,40,3.12186876e-03,5.41799714e-04,2.21034353e-02,,,2.50000000e-05,948353
173,159.431231,40,2.67688897e-03,4.58183760e-04,2.01927315e-02,,,2.50000000e-05,948353
174,160.333903,40,3.07566726e-03,5.41663782e-04,2.17409898e-02,,,2.50000000e-05,948353
175,158.920415,40,3.68122888e-03,6.62493607e-04,2.38999503e-02,,,2.50000000e-05,948353
176,157.269208,40,3.27754866e-03,5.77430073e-04,2.27826233e-02,,,2.50000000e-05,948353
177,158.422275,40,3.13824831e-03,5.29424700e-04,2.19733601e-02,,,2.50000000e-05,948353
178,158.709060,40,3.14380111e-03,5.29030078e-04,2.19763276e-02,,,2.50000000e-05,948353
179,167.807416,40,3.07443869e-03,5.19453073e-04,2.17521434e-02,,,2.50000000e-05,948353
180,160.218779,40,3.79282370e-03,6.71587475e-04,2.34395405e-02,,,2.50000000e-05,948353
181,158.147134,40,3.06933422e-03,5.40449774e-04,2.15847327e-02,,,2.50000000e-05,948353
182,158.080891,40,2.60131936e-03,4.47352359e-04,1.96458305e-02,,,2.50000000e-05,948353
183,159.769128,40,3.79499029e-03,6.83446899e-04,2.39315542e-02,,,2.50000000e-05,948353
184,161.050932,40,4.84317884e-03,8.92699922e-04,2.79319140e-02,,,2.50000000e-05,948353
185,163.084094,40,2.88477195e-03,4.99269596e-04,2.11475045e-02,,,2.50000000e-05,948353
186,158.427918,40,2.98622926e-03,5.23131320e-04,2.15347562e-02,,,2.50000000e-05,948353
187,160.945841,40,2.97797081e-03,5.08526610e-04,2.15138561e-02,,,2.50000000e-05,948353
188,158.783922,40,2.96312293e-03,4.92185378e-04,2.11932031e-02,,,2.50000000e-05,948353
189,158.106606,40,2.94838180e-03,4.89190117e-04,2.11149336e-02,,,2.50000000e-05,948353
190,158.114638,40,2.91739510e-03,4.88421292e-04,2.10892829e-02,,,2.50000000e-05,948353
191,157.051825,40,3.49057844e-03,6.10540298e-04,2.28837405e-02,,,2.50000000e-05,948353
192,159.654681,40,2.77569083e-03,4.81210952e-04,2.05216269e-02,,,2.50000000e-05,948353
193,159.980170,40,2.04841877e-03,3.31869373e-04,1.74320456e-02,,,2.50000000e-05,948353
194,157.032104,40,2.20998719e-03,3.65841145e-04,1.81295561e-02,,,2.50000000e-05,948353
195,158.694520,40,2.04111381e-03,3.26258164e-04,1.73180973e-02,,,2.50000000e-05,948353
196,161.120707,40,2.06180673e-03,3.30482860e-04,1.74224253e-02,,,2.50000000e-05,948353
197,161.443574,40,2.07032003e-03,3.31319608e-04,1.74395825e-02,,,2.50000000e-05,948353
