metric,value
low_band_spectral_rel_l2,5.79299808e-01
mid_band_spectral_rel_l2,4.24945793e+01
high_band_spectral_rel_l2,5.32616615e+01
high_frequency_energy_ratio_error,1.66016575e-11
gradient_rel_l2,6.24675393e-01
