step,mse
0,1.61566368e-05
1,4.05900828e-05
2,6.38834681e-05
3,8.44587485e-05
4,1.01934791e-04
5,1.16636322e-04
6,1.29116597e-04
7,1.39690281e-04
8,1.48357707e-04
9,1.55127680e-04
10,1.59798059e-04
11,1.62208977e-04
12,1.62751589e-04
13,1.61368778e-04
14,1.58519411e-04
15,1.54640409e-04
16,1.50434411e-04
17,1.46301085e-04
18,1.42872581e-04
19,1.40401477e-04
20,1.39015974e-04
21,1.38778487e-04
22,1.39420532e-04
23,1.40746328e-04
24,1.42356541e-04
25,1.44006743e-04
26,1.45303886e-04
27,1.46254766e-04
28,1.46853286e-04
29,1.47307815e-04
30,1.48159335e-04
31,1.50042775e-04
32,1.53805478e-04
33,1.60391399e-04
34,1.70945132e-04
35,1.86435151e-04
36,2.08056241e-04
37,2.36917767e-04
38,2.74022750e-04
39,3.20456922e-04
