step,mse
0,2.84567088e-01
1,3.87908012e-01
2,4.81489748e-01
3,5.96754670e-01
4,7.22640216e-01
5,8.58252466e-01
6,1.00028026e+00
7,1.15577245e+00
8,1.30574358e+00
9,1.44266617e+00
10,1.56807101e+00
11,1.66768253e+00
12,1.77522969e+00
13,1.87950075e+00
14,1.98418462e+00
15,2.10089946e+00
16,2.20513439e+00
17,2.32741904e+00
18,2.49484539e+00
19,2.66377568e+00
20,2.81347179e+00
21,2.94866967e+00
22,3.03475428e+00
23,3.05982828e+00
24,3.06764317e+00
25,3.08688641e+00
26,3.11519814e+00
27,3.13521218e+00
28,3.12144041e+00
29,3.07571006e+00
30,3.03234768e+00
31,2.99804068e+00
32,2.97154784e+00
33,2.94385290e+00
34,2.92432046e+00
35,2.92122650e+00
36,2.92497063e+00
37,2.94156790e+00
38,2.98039222e+00
39,3.02465749e+00
