epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,107.960779,7.75625777e-01,8.04892780e-01,6.53878967e-01,7.03226666e-01,3.26506562e+01,1.62571728e-01,2.47165984e+01,3.51873389e-02,1135553,3.00000000e-04
1,106.115347,5.93613184e-01,6.39692700e-01,5.01824137e-01,5.42785830e-01,2.04669662e+01,9.60649346e-02,1.48789879e+01,1.45211007e-01,1135553,3.00000000e-04
2,104.403010,4.68669360e-01,5.10256124e-01,4.36455797e-01,4.83862908e-01,1.30594046e+01,1.09672688e-01,1.18077710e+01,9.57837245e-02,1135553,3.00000000e-04
3,103.948215,4.33170403e-01,4.73367550e-01,4.25583941e-01,4.64892137e-01,1.12007726e+01,1.00152399e-01,1.08737433e+01,8.44110042e-02,1135553,3.00000000e-04
4,106.261534,4.26063042e-01,4.62281499e-01,4.19660429e-01,4.53373306e-01,1.06560990e+01,8.29748963e-02,1.03696883e+01,7.71332225e-02,1135553,3.00000000e-04
5,105.058752,4.17610445e-01,4.50434110e-01,4.09445127e-01,4.41749222e-01,1.01125664e+01,5.75891200e-02,9.80874062e+00,4.15243173e-02,1135553,3.00000000e-04
6,110.339582,4.13834105e-01,4.47077840e-01,4.17719362e-01,4.54219110e-01,9.96372672e+00,3.71719212e-02,1.03713849e+01,3.14727286e-02,1135553,3.00000000e-04
7,107.069963,4.09873298e-01,4.42421889e-01,4.00777430e-01,4.31830783e-01,9.75927907e+00,3.09544197e-02,9.38170457e+00,3.04446831e-02,1135553,3.00000000e-04
8,106.400614,4.08170635e-01,4.40854930e-01,3.97874744e-01,4.28383462e-01,9.68162694e+00,2.92023010e-02,9.22859826e+00,3.03710236e-02,1135553,3.00000000e-04
9,104.920665,4.04790350e-01,4.37347291e-01,4.10437880e-01,4.47611547e-01,9.53540163e+00,2.87384558e-02,1.00705174e+01,2.69948581e-02,1135553,3.00000000e-04
10,105.251014,4.02347555e-01,4.34876849e-01,3.95977495e-01,4.27943175e-01,9.42604236e+00,2.80624948e-02,9.22563548e+00,2.85134195e-02,1135553,3.00000000e-04
