step,mse
0,1.34374699e-04
1,7.84439690e-05
2,6.72607930e-05
3,6.39832069e-05
4,5.94185403e-05
5,5.38932145e-05
6,5.40483088e-05
7,5.01830655e-05
8,5.10577775e-05
9,5.17927983e-05
10,5.14701424e-05
11,5.34849241e-05
12,5.73414982e-05
13,5.95423189e-05
14,6.52949238e-05
15,7.20182215e-05
16,7.60811454e-05
17,8.25891839e-05
18,8.80862062e-05
19,9.13345502e-05
20,9.61368642e-05
21,9.85127190e-05
22,1.01520287e-04
23,1.07184111e-04
24,1.12722933e-04
25,1.18246389e-04
26,1.22000405e-04
27,1.25584411e-04
28,1.28400425e-04
29,1.29768450e-04
30,1.33928537e-04
31,1.34378497e-04
32,1.37510360e-04
33,1.43030149e-04
34,1.46592720e-04
35,1.54726353e-04
36,1.64878729e-04
37,1.78536997e-04
38,1.98855108e-04
39,2.23794967e-04
