metric,value
low_band_spectral_rel_l2,1.11149698e-02
mid_band_spectral_rel_l2,2.53195145e+02
high_band_spectral_rel_l2,4.34247803e+03
high_frequency_energy_ratio_error,9.12809881e-08
gradient_rel_l2,4.06721719e-02
